name,team,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,url
Bartolo Colon,TEX,--,--,19.29,--,--,--,--,--,--,2.1,1,6,5,0,0,0,1,0.43,.200,https://www.mlb.com/player/112526
Tommy Hunter,PHI,--,--,40.50,--,--,--,--,--,--,0.2,2,3,3,0,0,0,0,3.00,.500,https://www.mlb.com/player/488984
John Lamb,LAA,--,--,-.--,--,--,--,--,--,--,0.0,1,1,0,0,0,0,0,-.--,1.000,https://www.mlb.com/player/543424
Matt Koch,ARI,--,--,-.--,--,--,--,--,--,--,0.0,3,6,6,0,0,0,0,-.--,1.000,https://www.mlb.com/player/571863
Matt Hall,DET,--,--,54.00,--,--,--,--,--,--,0.1,0,3,2,0,1,0,0,0.00,.000,https://www.mlb.com/player/664180
Sam Dyson,SF,--,--,4.50,--,--,--,--,--,--,2.0,0,1,1,0,0,2,1,1.00,.000,https://www.mlb.com/player/473879
Yefry Ramirez,BAL,--,--,36.00,--,--,--,--,--,--,2.0,1,8,8,0,0,2,2,1.50,.167,https://www.mlb.com/player/606162
Seunghwan Oh,COL,--,--,27.00,--,--,--,--,--,--,1.2,3,6,5,1,0,0,1,1.80,.375,https://www.mlb.com/player/493200
Jorge De La Rosa,CHC,--,--,22.50,--,--,--,--,--,--,2.0,3,5,5,0,0,1,2,2.00,.375,https://www.mlb.com/player/407822
Andrew Kittredge,TB,--,--,45.00,--,--,--,--,--,--,1.0,2,5,5,0,0,0,2,2.00,.400,https://www.mlb.com/player/552640
Frankie Montas,OAK,--,--,13.50,--,--,--,--,--,--,1.1,1,4,2,0,0,1,0,1.50,.250,https://www.mlb.com/player/593423
Rich Hill,LAD,--,--,21.60,--,--,--,--,--,--,1.2,1,4,4,1,0,0,2,0.60,.167,https://www.mlb.com/player/448179
Randall Delgado,ARI,--,--,0.00,--,--,--,--,--,--,0.1,0,0,0,0,0,0,0,0.00,.000,https://www.mlb.com/player/517414
Thomas Pannone,TOR,--,--,0.00,--,--,--,--,--,--,0.1,0,0,0,0,0,0,1,0.00,.000,https://www.mlb.com/player/623381
Chaz Roe,TB,--,--,94.50,--,--,--,--,--,--,0.2,1,7,7,1,0,0,1,1.50,.333,https://www.mlb.com/player/475054
Noah Syndergaard,NYM,--,--,38.57,--,--,--,--,--,--,2.1,5,12,10,0,0,1,1,2.57,.455,https://www.mlb.com/player/592789
Jose Leclerc,TEX,--,--,7.36,--,--,--,--,--,--,3.2,2,6,3,0,0,2,7,1.09,.154,https://www.mlb.com/player/600917
Ariel Miranda,SEA,--,--,0.00,--,--,--,--,--,--,1.0,0,0,0,0,0,0,2,0.00,.000,https://www.mlb.com/player/664641
Ray Black,SF,--,--,-.--,--,--,--,--,--,--,0.0,0,0,0,0,0,0,0,-,.000,https://www.mlb.com/player/605143
Jordan Hicks,STL,--,--,21.60,--,--,--,--,--,--,5.0,6,12,12,0,1,1,3,1.40,.333,https://www.mlb.com/player/663855
A.J. Minter,ATL,--,--,10.13,--,--,--,--,--,--,2.2,2,3,3,0,1,0,5,0.75,.200,https://www.mlb.com/player/621345
Max Fried,ATL,--,--,0.00,--,--,--,--,--,--,0.2,0,1,0,0,0,1,1,1.50,.000,https://www.mlb.com/player/608331
Wade LeBlanc,SEA,--,--,18.00,--,--,--,--,--,--,1.0,1,2,2,0,0,0,2,1.00,.250,https://www.mlb.com/player/453281
Tyson Ross,STL,--,--,36.00,--,--,--,--,--,--,4.0,9,17,16,1,0,0,4,2.25,.450,https://www.mlb.com/player/475115
Aaron Wilkerson,MIL,--,--,81.00,--,--,--,--,--,--,0.2,2,6,6,1,0,0,1,3.00,.500,https://www.mlb.com/player/658792
Amir Garrett,CIN,--,--,14.73,--,--,--,--,--,--,3.2,1,6,6,0,0,1,6,0.55,.091,https://www.mlb.com/player/607237
Nick Wittgren,MIA,--,--,33.75,--,--,--,--,--,--,1.1,3,6,5,0,0,0,2,2.25,.375,https://www.mlb.com/player/621295
Luis Perdomo,SD,--,--,6.75,--,--,--,--,--,--,1.1,1,1,1,0,0,0,1,0.75,.250,https://www.mlb.com/player/606131
James Shields,CWS,--,--,9.00,--,--,--,--,--,--,4.0,2,6,4,0,0,0,2,0.50,.167,https://www.mlb.com/player/448306
Adam Warren,SEA,--,--,20.25,--,--,--,--,--,--,1.1,2,3,3,0,0,0,1,1.50,.333,https://www.mlb.com/player/476589
Aroldis Chapman,NYY,--,--,33.75,--,--,--,--,--,--,1.1,1,5,5,0,1,1,2,1.50,.250,https://www.mlb.com/player/547973
Michael Feliz,PIT,--,--,34.71,--,--,--,--,--,--,2.1,1,10,9,0,0,2,3,1.29,.167,https://www.mlb.com/player/593140
Braden Shipley,ARI,--,--,-.--,--,--,--,--,--,--,0.0,1,3,3,0,0,1,0,-.--,1.000,https://www.mlb.com/player/640463
Josh Osich,SF,--,--,-.--,--,--,--,--,--,--,0.0,0,2,2,0,0,0,0,-,.000,https://www.mlb.com/player/592612
Eric Skoglund,KC,--,--,0.00,--,--,--,--,--,--,0.2,0,0,0,0,0,0,1,0.00,.000,https://www.mlb.com/player/607215
Alex Wood,LAD,--,--,21.21,--,--,--,--,--,--,4.2,3,11,11,0,1,2,3,1.07,.200,https://www.mlb.com/player/622072
Chad Bell,ATL,--,--,16.20,--,--,--,--,--,--,1.2,0,3,3,0,0,0,1,0.00,.000,https://www.mlb.com/player/518445
Giovanny Gallegos,STL,--,--,-.--,--,--,--,--,--,--,0.0,0,0,0,0,0,0,0,-,.000,https://www.mlb.com/player/606149
Eric Lauer,SD,--,--,30.00,--,--,--,--,--,--,3.0,2,13,10,1,0,1,4,1.00,.200,https://www.mlb.com/player/641778
Matthew Boyd,DET,--,--,36.00,--,--,--,--,--,--,2.0,2,8,8,1,0,1,1,1.50,.333,https://www.mlb.com/player/571510
Cam Bedrosian,LAA,--,--,16.88,--,--,--,--,--,--,2.2,2,5,5,0,0,0,5,0.75,.250,https://www.mlb.com/player/592135
Gregory Infante,CWS,--,--,3.86,--,--,--,--,--,--,2.1,0,1,1,0,0,0,3,0.00,.000,https://www.mlb.com/player/500872
Roenis Elias,SEA,--,--,27.00,--,--,--,--,--,--,1.0,1,3,3,0,0,1,0,2.00,.333,https://www.mlb.com/player/606273
Michael Kopech,CWS,--,--,0.00,--,--,--,--,--,--,1.0,0,0,0,0,0,0,0,0.00,.000,https://www.mlb.com/player/656629
Pat Venditte,LAD,--,--,0.00,--,--,--,--,--,--,1.1,0,0,0,0,0,0,1,0.00,.000,https://www.mlb.com/player/519381
Jordan Lyles,MIL,--,--,40.50,--,--,--,--,--,--,0.2,1,3,3,0,0,2,0,4.50,.333,https://www.mlb.com/player/543475
Jonny Venters,ATL,--,--,27.00,--,--,--,--,--,--,2.0,2,6,6,0,0,0,3,1.00,.286,https://www.mlb.com/player/458924
Mike Foltynewicz,ATL,--,--,40.50,--,--,--,--,--,--,2.0,2,9,9,1,1,0,4,1.00,.250,https://www.mlb.com/player/592314
Clayton Richard,SD,--,--,51.00,--,--,--,--,--,--,3.0,8,19,17,0,0,1,1,3.00,.615,https://www.mlb.com/player/453385
Jhoulys Chacin,MIL,--,--,50.63,--,--,--,--,--,--,2.2,4,15,15,1,0,0,1,1.50,.400,https://www.mlb.com/player/468504
Dan Altavilla,SEA,--,--,40.50,--,--,--,--,--,--,0.2,2,3,3,0,0,1,1,4.50,.500,https://www.mlb.com/player/656186
Stephen Strasburg,WSH,--,--,0.00,--,--,--,--,--,--,3.2,1,3,0,0,0,0,7,0.27,.091,https://www.mlb.com/player/544931
Aaron Bummer,CWS,--,--,18.00,--,--,--,--,--,--,2.0,2,7,4,0,0,1,4,1.50,.250,https://www.mlb.com/player/607481
Phil Maton,SD,--,--,0.00,--,--,--,--,--,--,0.2,0,0,0,0,0,0,1,0.00,.000,https://www.mlb.com/player/664208
Matt Harvey,CIN,--,--,13.50,--,--,--,--,--,--,3.1,2,5,5,0,0,0,3,0.60,.182,https://www.mlb.com/player/518774
Neil Ramirez,CLE,--,--,0.00,--,--,--,--,--,--,2.2,0,0,0,0,0,0,3,0.00,.000,https://www.mlb.com/player/519166
Ross Stripling,LAD,--,--,0.00,--,--,--,--,--,--,2.1,0,0,0,0,0,0,4,0.00,.000,https://www.mlb.com/player/548389
Sean Gilmartin,BAL,--,--,81.00,--,--,--,--,--,--,0.1,1,3,3,1,0,0,1,3.00,.500,https://www.mlb.com/player/543219
Brian Duensing,CHC,--,--,37.13,--,--,--,--,--,--,2.2,4,11,11,2,0,0,1,1.50,.364,https://www.mlb.com/player/488846
John Brebbia,STL,--,--,18.00,--,--,--,--,--,--,1.0,1,2,2,0,0,0,2,1.00,.250,https://www.mlb.com/player/605154
Carlos Carrasco,CLE,--,--,19.29,--,--,--,--,--,--,2.1,2,5,5,0,0,0,2,0.86,.222,https://www.mlb.com/player/471911
Colten Brewer,SD,--,--,54.00,--,--,--,--,--,--,0.1,1,4,2,0,0,0,0,3.00,.333,https://www.mlb.com/player/605155
Ranger Suarez,PHI,--,--,0.00,--,--,--,--,--,--,0.1,0,1,0,0,0,1,0,3.00,.000,https://www.mlb.com/player/624133
Cody Reed,CIN,--,--,18.00,--,--,--,--,--,--,1.0,0,2,2,0,0,1,1,1.00,.000,https://www.mlb.com/player/642003
Rex Brothers,ATL,--,--,-.--,--,--,--,--,--,--,0.0,0,1,1,0,0,1,0,-.--,.000,https://www.mlb.com/player/571521
Mike Minor,TEX,--,--,33.75,--,--,--,--,--,--,2.2,5,11,10,0,0,0,2,1.88,.417,https://www.mlb.com/player/501985
Sean Doolittle,WSH,--,--,0.00,--,--,--,--,--,--,0.1,0,0,0,0,0,0,0,0.00,.000,https://www.mlb.com/player/448281
Tommy Milone,WSH,--,--,0.00,--,--,--,--,--,--,0.1,0,0,0,0,0,0,0,0.00,.000,https://www.mlb.com/player/543548
Sal Romano,CIN,--,--,58.50,--,--,--,--,--,--,2.0,5,13,13,0,0,2,1,3.50,.500,https://www.mlb.com/player/607219
Spencer Turnbull,DET,--,--,-.--,--,--,--,--,--,--,0.0,0,1,1,0,0,0,0,-,.000,https://www.mlb.com/player/605513
Buck Farmer,DET,--,--,27.00,--,--,--,--,--,--,1.0,0,3,3,0,1,0,0,0.00,.000,https://www.mlb.com/player/571656
Anthony DeSclafani,CIN,--,--,27.00,--,--,--,--,--,--,1.2,3,5,5,0,0,0,3,1.80,.500,https://www.mlb.com/player/543101
Austin Davis,PHI,--,--,6.75,--,--,--,--,--,--,1.1,1,1,1,0,0,2,1,2.25,.333,https://www.mlb.com/player/656354
Peter Moylan,ATL,--,--,45.00,--,--,--,--,--,--,1.0,4,5,5,0,0,0,1,4.00,.571,https://www.mlb.com/player/493247
Jaime Schultz,TB,--,--,-.--,--,--,--,--,--,--,0.0,0,2,2,0,0,0,0,-,.000,https://www.mlb.com/player/621289
Erik Goeddel,LAD,--,--,27.00,--,--,--,--,--,--,0.2,1,2,2,0,0,0,1,1.50,.333,https://www.mlb.com/player/592340
Tony Sipp,HOU,--,--,7.71,--,--,--,--,--,--,2.1,0,2,2,0,0,0,2,0.00,.000,https://www.mlb.com/player/448609
Martin Perez,TEX,--,--,18.69,--,--,--,--,--,--,4.1,2,14,9,0,0,1,3,0.69,.154,https://www.mlb.com/player/527048
Scott Oberg,COL,--,--,22.50,--,--,--,--,--,--,2.0,5,5,5,0,0,1,2,3.00,.500,https://www.mlb.com/player/623184
Matt Albers,MIL,--,--,3.38,--,--,--,--,--,--,2.2,0,2,1,0,0,0,0,0.00,.000,https://www.mlb.com/player/458006
Caleb Ferguson,LAD,--,--,27.00,--,--,--,--,--,--,1.1,1,4,4,0,0,0,2,0.75,.200,https://www.mlb.com/player/657571
Jeff Brigham,MIA,--,--,0.00,--,--,--,--,--,--,1.0,0,0,0,0,0,0,0,0.00,.000,https://www.mlb.com/player/656257
Brent Suter,MIL,--,--,189.00,--,--,--,--,--,--,0.1,1,7,7,1,0,0,0,3.00,.500,https://www.mlb.com/player/608718
Chris Volstad,CWS,--,--,13.50,--,--,--,--,--,--,3.1,4,6,5,1,0,0,3,1.20,.333,https://www.mlb.com/player/458690
Diego Castillo,TB,--,--,27.00,--,--,--,--,--,--,1.1,1,4,4,0,0,0,1,0.75,.200,https://www.mlb.com/player/650895
A.J. Cole,NYY,--,--,5.40,--,--,--,--,--,--,1.2,1,1,1,1,0,0,2,0.60,.167,https://www.mlb.com/player/595918
Brad Peacock,HOU,--,--,4.50,--,--,--,--,--,--,2.0,2,1,1,0,1,0,6,1.00,.250,https://www.mlb.com/player/502748
Noe Ramirez,LAA,--,--,13.50,--,--,--,--,--,--,4.2,5,7,7,1,0,1,6,1.29,.294,https://www.mlb.com/player/598287
Zack Britton,NYY,--,--,23.63,--,--,--,--,--,--,2.2,3,8,7,0,0,3,0,2.25,.375,https://www.mlb.com/player/502154
Ty Buttrey,LAA,--,--,27.00,--,--,--,--,--,--,1.0,3,3,3,0,0,0,2,3.00,.429,https://www.mlb.com/player/621142
Yency Almonte,COL,--,--,-.--,--,--,--,--,--,--,0.0,1,0,0,0,0,1,0,-.--,1.000,https://www.mlb.com/player/622075
Tayron Guerrero,MIA,--,--,54.00,--,--,--,--,--,--,1.1,2,8,8,0,0,2,3,3.00,.333,https://www.mlb.com/player/594027
Ken Giles,TOR,--,--,-.--,--,--,--,--,--,--,0.0,0,0,0,0,0,0,0,-,.000,https://www.mlb.com/player/571704
Seranthony Dominguez,PHI,--,--,48.60,--,--,--,--,--,--,1.2,2,9,9,0,0,0,1,1.20,.333,https://www.mlb.com/player/622554
Edubray Ramos,PHI,--,--,13.50,--,--,--,--,--,--,2.0,1,4,3,0,0,1,3,1.00,.143,https://www.mlb.com/player/591693
Sam Freeman,ATL,--,--,14.73,--,--,--,--,--,--,3.2,3,8,6,0,0,3,4,1.64,.273,https://www.mlb.com/player/518693
Kenley Jansen,LAD,--,--,27.00,--,--,--,--,--,--,1.0,1,4,3,0,0,0,2,1.00,.250,https://www.mlb.com/player/445276
Brock Stewart,LAD,--,--,-.--,--,--,--,--,--,--,0.0,0,1,0,0,0,0,0,-,.000,https://www.mlb.com/player/592779
Carlos Gomez,TB,--,--,-.--,--,--,--,--,--,--,0.0,0,2,2,0,0,0,0,-,.000,https://www.mlb.com/player/460576
Kevin Jepsen,TEX,--,--,6.75,--,--,--,--,--,--,1.1,2,2,1,0,0,1,0,2.25,.400,https://www.mlb.com/player/448178
Adam Cimber,CLE,--,--,23.63,--,--,--,--,--,--,2.2,5,7,7,0,1,0,4,1.88,.417,https://www.mlb.com/player/643256
Dylan Floro,LAD,--,--,36.00,--,--,--,--,--,--,1.0,1,4,4,0,0,1,1,2.00,.250,https://www.mlb.com/player/571670
Casey Sadler,PIT,--,--,0.00,--,--,--,--,--,--,0.1,0,0,0,0,0,0,0,0.00,.000,https://www.mlb.com/player/594987
Alex Claudio,TEX,--,--,0.00,--,--,--,--,--,--,0.1,0,0,0,0,0,0,1,0.00,.000,https://www.mlb.com/player/592222
Matt Moore,TEX,--,--,54.00,--,--,--,--,--,--,1.1,2,8,8,0,0,0,1,1.50,.400,https://www.mlb.com/player/519043
Cory Mazzoni,CHC,--,--,13.50,--,--,--,--,--,--,0.2,0,1,1,0,0,0,1,0.00,.000,https://www.mlb.com/player/543508
William Cuevas,BOS,--,--,-.--,--,--,--,--,--,--,0.0,0,1,1,0,0,0,0,-,.000,https://www.mlb.com/player/571035
