name,team,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,url
Luiz Gohara,ATL,--,--,0.00,--,--,--,--,--,--,1.2,1,0,0,0,0,5,2,3.60,.167,https://www.mlb.com/player/627894
J.A. Happ,NYY,--,--,5.68,--,--,--,--,--,--,19.0,18,16,12,4,2,32,36,2.63,.240,https://www.mlb.com/player/457918
Diego Castillo,TB,--,--,1.86,--,--,--,--,--,--,9.2,5,2,2,1,0,7,22,1.24,.147,https://www.mlb.com/player/650895
Kyle Crick,PIT,--,--,1.35,--,--,--,--,--,--,6.2,3,1,1,0,2,10,8,1.95,.136,https://www.mlb.com/player/605195
Zach Duke,SEA,--,--,1.50,--,--,--,--,--,--,6.0,3,1,1,0,1,14,12,2.83,.150,https://www.mlb.com/player/435043
J.J. Hoover,MIL,--,--,-.--,--,--,--,--,--,--,0.0,0,0,0,0,0,2,0,-.--,.000,https://www.mlb.com/player/543331
Antonio Senzatela,COL,--,--,1.13,--,--,--,--,--,--,8.0,11,1,1,0,0,16,12,3.38,.314,https://www.mlb.com/player/622608
Kevin McCarthy,KC,--,--,2.25,--,--,--,--,--,--,4.0,5,2,1,0,0,10,8,3.75,.294,https://www.mlb.com/player/641838
Blake Parker,LAA,--,--,1.08,--,--,--,--,--,--,8.1,4,1,1,1,0,11,10,1.80,.143,https://www.mlb.com/player/453284
Jorge De La Rosa,CHC,--,--,4.50,--,--,--,--,--,--,6.0,6,3,3,0,0,11,6,2.83,.261,https://www.mlb.com/player/407822
Dellin Betances,NYY,--,--,0.00,--,--,--,--,--,--,8.2,1,0,0,0,0,13,19,1.62,.037,https://www.mlb.com/player/476454
Darren O'Day,ATL,--,--,0.00,--,--,--,--,--,--,2.0,1,0,0,0,0,2,5,1.50,.143,https://www.mlb.com/player/503285
Jake Odorizzi,MIN,--,--,4.38,--,--,--,--,--,--,24.2,18,13,12,2,1,32,31,2.03,.196,https://www.mlb.com/player/543606
Austin Pruitt,TB,--,--,4.15,--,--,--,--,--,--,4.1,8,2,2,1,0,9,7,3.92,.381,https://www.mlb.com/player/643493
Drew Smith,NYM,--,--,0.00,--,--,--,--,--,--,2.1,1,0,0,0,0,3,3,1.71,.125,https://www.mlb.com/player/622098
Hector Velazquez,BOS,--,--,4.76,--,--,--,--,--,--,5.2,6,3,3,0,0,18,4,4.24,.261,https://www.mlb.com/player/584171
Sean Reid-Foley,TOR,--,--,6.00,--,--,--,--,--,--,3.0,4,4,2,0,0,11,6,5.00,.308,https://www.mlb.com/player/656887
Tyler Lyons,STL,--,--,5.40,--,--,--,--,--,--,1.2,0,1,1,0,0,3,3,1.80,.000,https://www.mlb.com/player/544928
Andrew Triggs,OAK,--,--,2.57,--,--,--,--,--,--,7.0,2,2,2,0,0,9,9,1.57,.087,https://www.mlb.com/player/592811
Homer Bailey,CIN,--,--,11.37,--,--,--,--,--,--,6.1,17,8,8,2,0,13,11,4.74,.459,https://www.mlb.com/player/456701
Eduardo Rodriguez,BOS,--,--,2.57,--,--,--,--,--,--,21.0,16,6,6,3,1,28,39,2.10,.205,https://www.mlb.com/player/593958
Lucas Sims,CIN,--,--,27.00,--,--,--,--,--,--,1.1,1,4,4,0,0,7,3,6.00,.200,https://www.mlb.com/player/608371
Peter Moylan,ATL,--,--,0.00,--,--,--,--,--,--,3.1,0,0,0,0,0,7,6,2.10,.000,https://www.mlb.com/player/493247
Noah Syndergaard,NYM,--,--,1.35,--,--,--,--,--,--,13.1,9,2,2,0,0,18,16,2.03,.188,https://www.mlb.com/player/592789
Chase Whitley,ATL,--,--,-.--,--,--,--,--,--,--,0.0,1,2,2,1,0,0,0,-.--,1.000,https://www.mlb.com/player/595032
Buck Farmer,DET,--,--,1.86,--,--,--,--,--,--,9.2,7,3,2,1,0,24,10,3.21,.200,https://www.mlb.com/player/571656
Raisel Iglesias,CIN,--,--,1.17,--,--,--,--,--,--,7.2,4,1,1,1,0,12,13,2.09,.154,https://www.mlb.com/player/628452
Jake Petricka,TOR,--,--,2.45,--,--,--,--,--,--,3.2,3,1,1,1,0,10,4,3.55,.214,https://www.mlb.com/player/502593
Austin Brice,CIN,--,--,8.31,--,--,--,--,--,--,4.1,3,4,4,2,0,3,6,1.38,.188,https://www.mlb.com/player/592169
Jack Flaherty,STL,--,--,1.90,--,--,--,--,--,--,23.2,12,5,5,2,1,28,42,1.69,.145,https://www.mlb.com/player/656427
Craig Kimbrel,BOS,--,--,0.96,--,--,--,--,--,--,9.1,4,1,1,1,0,20,18,2.57,.129,https://www.mlb.com/player/518886
Jason Vargas,NYM,--,--,9.00,--,--,--,--,--,--,10.0,16,10,10,4,0,15,15,3.10,.364,https://www.mlb.com/player/450306
Kyle Barraclough,WSH,--,--,2.08,--,--,--,--,--,--,8.2,3,2,2,0,0,14,16,1.96,.100,https://www.mlb.com/player/607457
Yovani Gallardo,TEX,--,--,6.59,--,--,--,--,--,--,13.2,13,10,10,2,0,21,13,2.49,.260,https://www.mlb.com/player/451596
Deck McGuire,LAA,--,--,8.31,--,--,--,--,--,--,4.1,2,4,4,1,0,13,8,3.46,.143,https://www.mlb.com/player/592547
Keone Kela,PIT,--,--,3.86,--,--,--,--,--,--,7.0,4,3,3,1,0,7,10,1.57,.160,https://www.mlb.com/player/605309
Reynaldo Lopez,CWS,--,--,3.18,--,--,--,--,--,--,22.2,14,8,8,4,0,37,34,2.25,.177,https://www.mlb.com/player/625643
Miguel Socolovich,ATL,--,--,0.00,--,--,--,--,--,--,0.2,0,0,0,0,0,1,1,1.50,.000,https://www.mlb.com/player/462515
Brent Suter,MIL,--,--,8.38,--,--,--,--,--,--,9.2,12,9,9,2,0,11,12,2.38,.308,https://www.mlb.com/player/608718
Luis Garcia,PHI,--,--,5.40,--,--,--,--,--,--,5.0,4,3,3,2,0,11,9,3.00,.211,https://www.mlb.com/player/472610
Justus Sheffield,NYY,--,--,0.00,--,--,--,--,--,--,0.2,0,0,0,0,0,2,0,3.00,.000,https://www.mlb.com/player/656954
Andrew Miller,CLE,--,--,3.38,--,--,--,--,--,--,2.2,1,1,1,1,0,7,6,3.00,.111,https://www.mlb.com/player/453192
Tommy La Stella,CHC,--,--,-.--,--,--,--,--,--,--,0.0,2,1,1,1,0,0,0,-.--,1.000,https://www.mlb.com/player/600303
Casey Kelly,SF,--,--,0.00,--,--,--,--,--,--,1.1,3,0,0,0,0,0,2,2.25,.429,https://www.mlb.com/player/543391
Michael Wacha,STL,--,--,0.96,--,--,--,--,--,--,9.1,7,1,1,1,1,19,9,2.79,.200,https://www.mlb.com/player/608379
Aaron Nola,PHI,--,--,2.55,--,--,--,--,--,--,17.2,13,5,5,1,0,32,35,2.55,.203,https://www.mlb.com/player/605400
D.J. Snelten,BAL,--,--,0.00,--,--,--,--,--,--,0.2,0,0,0,0,0,0,0,0.00,.000,https://www.mlb.com/player/592769
Nick Tropeano,LAA,--,--,3.38,--,--,--,--,--,--,8.0,4,3,3,3,0,11,15,1.88,.148,https://www.mlb.com/player/607374
Jon Lester,CHC,--,--,4.94,--,--,--,--,--,--,27.1,24,15,15,7,0,40,36,2.34,.233,https://www.mlb.com/player/452657
Jeff Samardzija,SF,--,--,0.00,--,--,--,--,--,--,6.2,2,0,0,0,0,11,8,1.95,.100,https://www.mlb.com/player/502188
Neil Ramirez,CLE,--,--,0.00,--,--,--,--,--,--,4.2,2,0,0,0,0,10,7,2.57,.133,https://www.mlb.com/player/519166
Scott Alexander,LAD,--,--,2.84,--,--,--,--,--,--,6.1,4,2,2,0,0,8,10,1.89,.182,https://www.mlb.com/player/518397
Carlos Rodon,CWS,--,--,3.12,--,--,--,--,--,--,17.1,10,6,6,0,0,29,20,2.25,.167,https://www.mlb.com/player/607074
Rob Scahill,CWS,--,--,0.00,--,--,--,--,--,--,0.1,0,0,0,0,0,2,0,6.00,.000,https://www.mlb.com/player/543746
Austin Voth,WSH,--,--,0.00,--,--,--,--,--,--,0.2,0,0,0,0,0,3,0,4.50,.000,https://www.mlb.com/player/608723
Blaine Boyer,KC,--,--,6.00,--,--,--,--,--,--,3.0,3,2,2,0,0,5,2,2.67,.231,https://www.mlb.com/player/430641
Zach Davies,MIL,--,--,3.72,--,--,--,--,--,--,9.2,10,4,4,1,0,7,8,1.76,.256,https://www.mlb.com/player/605200
Kevin Quackenbush,CIN,--,--,54.00,--,--,--,--,--,--,0.2,1,4,4,1,0,3,2,6.00,.333,https://www.mlb.com/player/534812
