name,team,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,url
Ty Blach,SF,--,--,5.82,--,--,--,--,--,--,17.0,24,17,11,2,0,5,14,1.71,.329,https://www.mlb.com/player/621389
Dereck Rodriguez,SF,--,--,4.71,--,--,--,--,--,--,21.0,16,14,11,0,2,8,18,1.14,.205,https://www.mlb.com/player/605446
Roberto Osuna,HOU,--,--,2.84,--,--,--,--,--,--,6.1,3,2,2,1,1,1,5,0.63,.143,https://www.mlb.com/player/532077
Kendall Graveman,OAK,--,--,13.50,--,--,--,--,--,--,5.1,9,11,8,2,0,4,2,2.44,.391,https://www.mlb.com/player/608665
Mike Zagurski,MIL,--,--,-.--,--,--,--,--,--,--,0.0,0,1,1,0,0,0,0,-,.000,https://www.mlb.com/player/489448
Daniel Corcino,LAD,--,--,13.50,--,--,--,--,--,--,0.2,1,2,1,0,1,2,1,4.50,.333,https://www.mlb.com/player/542289
Luis Cessa,NYY,--,--,8.64,--,--,--,--,--,--,8.1,7,8,8,1,0,2,7,1.08,.219,https://www.mlb.com/player/570666
Justin Anderson,LAA,--,--,7.43,--,--,--,--,--,--,13.1,5,11,11,1,1,12,16,1.28,.114,https://www.mlb.com/player/605121
David Price,BOS,--,--,7.45,--,--,--,--,--,--,29.0,20,29,24,5,3,7,35,0.93,.187,https://www.mlb.com/player/456034
Glenn Sparkman,KC,--,--,5.19,--,--,--,--,--,--,8.2,6,5,5,0,1,5,7,1.27,.194,https://www.mlb.com/player/642098
Chasen Bradford,SEA,--,--,4.91,--,--,--,--,--,--,11.0,10,7,6,1,1,2,9,1.09,.233,https://www.mlb.com/player/607473
Wilmer Font,TB,--,--,8.53,--,--,--,--,--,--,6.1,5,6,6,1,1,1,4,0.95,.217,https://www.mlb.com/player/521655
Adalberto Mejia,MIN,--,--,0.00,--,--,--,--,--,--,3.1,0,0,0,0,0,0,2,0.00,.000,https://www.mlb.com/player/606167
Adam Liberatore,LAD,--,--,2.70,--,--,--,--,--,--,3.1,1,1,1,0,0,0,3,0.30,.091,https://www.mlb.com/player/571893
Jake Faria,TB,--,--,9.64,--,--,--,--,--,--,9.1,8,10,10,1,0,3,6,1.18,.229,https://www.mlb.com/player/607188
Tanner Scott,BAL,--,--,11.17,--,--,--,--,--,--,9.2,9,12,12,1,1,4,18,1.34,.243,https://www.mlb.com/player/656945
Rowan Wick,SD,--,--,0.00,--,--,--,--,--,--,1.1,1,0,0,0,0,0,1,0.75,.200,https://www.mlb.com/player/592858
Jacob Barnes,MIL,--,--,3.86,--,--,--,--,--,--,9.1,3,4,4,0,0,8,6,1.18,.100,https://www.mlb.com/player/606930
Wade Davis,COL,--,--,10.00,--,--,--,--,--,--,9.0,5,10,10,3,1,6,11,1.22,.156,https://www.mlb.com/player/451584
Charlie Culberson,ATL,--,--,27.00,--,--,--,--,--,--,0.1,1,1,1,0,0,0,0,3.00,.500,https://www.mlb.com/player/518586
