player,position,team,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,url
Henderson Alvarez III,P,MIA,--,8,2,6,3,0,1,6,0,0,0,0,.750,.667,1.500,2.167,https://www.mlb.com/player/506693
Zach Duke,P,CIN,--,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/435043
Justin Masterson,P,CLE,--,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/475416
Ervin Santana,P,KC,--,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/429722
C.J. Wilson,P,LAA,--,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/450351
Carlos Peguero,RF,SEA,--,1,0,1,0,0,0,0,0,0,1,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/451713
Yamaico Navarro,2B,BAL,--,4,3,2,0,1,0,1,0,1,0,0,.500,.500,1.000,1.500,https://www.mlb.com/player/501605
Cameron Rupp,C,PHI,--,6,0,4,1,0,0,2,0,1,0,0,.667,.667,.833,1.500,https://www.mlb.com/player/519237
Sean O'Sullivan,P,SD,--,2,0,1,1,0,0,0,0,1,0,0,.500,.500,1.000,1.500,https://www.mlb.com/player/457711
Kevin Pillar,LF,TOR,--,21,5,10,2,0,2,6,0,5,0,0,.476,.522,.857,1.379,https://www.mlb.com/player/607680
Quintin Berry,LF,BOS,--,6,0,4,0,0,0,2,0,1,2,0,.667,.667,.667,1.333,https://www.mlb.com/player/450641
Zach Walters,SS,WSH,--,3,1,2,0,0,0,0,0,0,0,0,.667,.667,.667,1.333,https://www.mlb.com/player/595025
Ehire Adrianza,2B,SF,--,7,2,3,0,0,1,1,0,1,0,0,.429,.429,.857,1.286,https://www.mlb.com/player/501303
Hanley Ramirez,SS,LAD,--,113,31,48,9,2,12,30,0,12,8,0,.425,.426,.858,1.284,https://www.mlb.com/player/434670
Ramon Hernandez,C,TOR,--,13,2,5,1,0,2,4,0,2,0,0,.385,.357,.923,1.280,https://www.mlb.com/player/150421
Alex Castellanos,RF,BOS,--,8,1,3,1,0,1,1,0,0,0,0,.375,.375,.875,1.250,https://www.mlb.com/player/543008
Brandon Laird,1B,HOU,--,22,6,6,2,0,4,9,0,7,0,0,.273,.304,.909,1.213,https://www.mlb.com/player/477186
Matt Davidson,3B,ARI,--,24,5,10,3,0,2,9,0,7,0,1,.417,.417,.792,1.208,https://www.mlb.com/player/571602
Jose Ramirez,2B,CLE,--,5,2,2,0,1,0,0,0,1,0,0,.400,.400,.800,1.200,https://www.mlb.com/player/608070
Miguel Cabrera,1B,DET,--,211,48,83,8,1,25,65,0,24,2,0,.393,.399,.796,1.195,https://www.mlb.com/player/408234
Yasiel Puig,RF,LAD,--,165,36,63,13,2,14,29,0,27,4,3,.382,.395,.739,1.135,https://www.mlb.com/player/624577
Zack Greinke,P,LAD,--,23,1,11,2,0,0,3,0,1,0,0,.478,.500,.565,1.065,https://www.mlb.com/player/425844
Jeff Baker,LF,TEX,--,56,9,18,4,0,6,9,0,11,0,0,.321,.321,.714,1.036,https://www.mlb.com/player/425557
Bud Norris,P,BAL,--,6,0,3,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,https://www.mlb.com/player/502032
Blake Tekotte,CF,CWS,--,9,2,3,0,0,1,1,0,2,0,1,.333,.333,.667,1.000,https://www.mlb.com/player/493574
Dylan Axelrod,P,CWS,--,2,0,1,0,0,0,0,0,1,0,0,.500,.500,.500,1.000,https://www.mlb.com/player/518420
Alfredo Simon,P,CIN,--,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,https://www.mlb.com/player/430580
Billy Hamilton,CF,CIN,--,4,5,2,0,0,0,0,0,0,6,1,.500,.500,.500,1.000,https://www.mlb.com/player/571740
Manny Parra,P,CIN,--,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,https://www.mlb.com/player/448159
Scott Kazmir,P,CLE,--,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,https://www.mlb.com/player/431148
James Shields,P,KC,--,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,https://www.mlb.com/player/448306
Luis Mendoza,P,KC,--,2,0,1,0,0,0,1,0,1,0,0,.500,.500,.500,1.000,https://www.mlb.com/player/434669
Joe Mahoney,1B,MIA,--,16,1,6,1,0,1,4,0,1,0,0,.375,.375,.625,1.000,https://www.mlb.com/player/518977
Tom Gorzelanny,P,MIL,--,2,0,1,0,0,0,0,0,1,0,0,.500,.500,.500,1.000,https://www.mlb.com/player/452733
Josmil Pinto,C,MIN,--,25,3,11,3,0,0,2,0,5,0,0,.440,.440,.560,1.000,https://www.mlb.com/player/500887
Dillon Gee,P,NYM,--,6,0,3,0,0,0,2,0,0,0,0,.500,.500,.500,1.000,https://www.mlb.com/player/518716
Juan Centeno,C,NYM,--,4,0,2,0,0,0,1,0,1,0,0,.500,.500,.500,1.000,https://www.mlb.com/player/518542
Brennan Boesch,RF,NYY,--,22,2,8,1,1,1,4,0,2,0,0,.364,.364,.636,1.000,https://www.mlb.com/player/453269
James McDonald,P,PIT,--,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,https://www.mlb.com/player/457428
Tyler Lyons,P,STL,--,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,https://www.mlb.com/player/544928
Seth Maness,P,STL,--,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,https://www.mlb.com/player/595307
Jim Adduci,LF,TEX,--,11,2,5,1,0,0,0,0,1,0,0,.455,.455,.545,1.000,https://www.mlb.com/player/451192
R.A. Dickey,P,TOR,--,3,0,1,1,0,0,1,0,0,0,0,.333,.333,.667,1.000,https://www.mlb.com/player/285079
Daric Barton,1B,OAK,--,37,9,14,2,0,2,7,0,4,0,0,.378,.395,.595,.989,https://www.mlb.com/player/435558
Carlos Quentin,LF,SD,--,109,23,37,8,0,8,21,0,14,0,0,.339,.348,.633,.981,https://www.mlb.com/player/435041
Edwin Encarnacion,1B,TOR,--,197,34,60,12,1,19,45,0,10,2,0,.305,.312,.665,.976,https://www.mlb.com/player/429665
Paul Goldschmidt,1B,ARI,--,221,36,75,19,2,14,51,0,43,6,5,.339,.342,.633,.976,https://www.mlb.com/player/502671
David Lough,RF,KC,--,108,16,43,8,1,3,15,0,13,1,1,.398,.396,.574,.970,https://www.mlb.com/player/518953
Jordan Danks,CF,CWS,--,51,4,20,6,0,1,5,0,10,3,1,.392,.392,.569,.961,https://www.mlb.com/player/458668
Alfonso Soriano,LF,NYY,--,199,38,63,18,0,15,43,0,41,9,2,.317,.327,.633,.960,https://www.mlb.com/player/150093
Luke Montz,C,OAK,--,6,1,2,2,0,0,3,0,1,0,0,.333,.286,.667,.952,https://www.mlb.com/player/452215
Khris Davis,LF,MIL,--,58,11,16,3,0,6,15,0,10,1,0,.276,.311,.638,.949,https://www.mlb.com/player/501981
Kendrys Morales,1B,SEA,--,225,25,80,16,0,12,34,0,32,0,0,.356,.362,.587,.949,https://www.mlb.com/player/434778
Kole Calhoun,RF,LAA,--,75,11,27,4,1,4,19,0,14,0,1,.360,.346,.600,.946,https://www.mlb.com/player/594777
Danny Valencia,DH,BAL,--,59,11,19,6,0,4,11,0,12,0,1,.322,.317,.627,.944,https://www.mlb.com/player/502143
Carlos Gonzalez,LF,COL,--,141,31,45,4,3,11,34,0,37,9,1,.319,.319,.624,.943,https://www.mlb.com/player/471865
David Ortiz,DH,BOS,--,185,32,58,17,1,13,34,0,31,0,0,.314,.312,.627,.939,https://www.mlb.com/player/120074
Adam Jones,CF,BAL,--,255,49,83,15,1,18,55,0,42,4,1,.325,.332,.604,.936,https://www.mlb.com/player/430945
Wilkin Ramirez,RF,MIN,--,27,3,10,3,1,0,3,0,5,0,0,.370,.379,.556,.935,https://www.mlb.com/player/457133
Michael Cuddyer,RF,COL,--,181,30,67,14,2,6,33,0,26,2,1,.370,.364,.569,.933,https://www.mlb.com/player/150212
Marlon Byrd,RF,PIT,--,211,33,69,14,3,12,43,0,36,0,1,.327,.339,.592,.932,https://www.mlb.com/player/407781
Starling Marte,LF,PIT,--,161,32,52,11,5,7,16,0,38,18,6,.323,.345,.584,.929,https://www.mlb.com/player/516782
Ian Desmond,SS,WSH,--,234,34,82,21,1,10,41,0,38,8,4,.350,.352,.577,.929,https://www.mlb.com/player/435622
Yan Gomes,C,CLE,--,110,11,38,10,0,5,15,0,12,1,0,.345,.354,.573,.927,https://www.mlb.com/player/543228
Robinson Cano,2B,NYY,--,230,31,80,12,0,13,51,0,19,1,0,.348,.355,.570,.924,https://www.mlb.com/player/429664
Joe Mauer,1B,MIN,--,144,19,54,16,0,3,14,0,20,0,0,.375,.375,.549,.924,https://www.mlb.com/player/408045
Ryan Sweeney,CF,CHC,--,52,8,17,3,1,3,6,0,7,0,0,.327,.327,.596,.923,https://www.mlb.com/player/435220
Ramiro Pena,2B,ATL,--,36,4,12,3,0,2,5,0,5,0,0,.333,.333,.583,.917,https://www.mlb.com/player/455369
Bryan Holaday,C,DET,--,12,2,5,1,0,0,1,0,0,0,0,.417,.417,.500,.917,https://www.mlb.com/player/592407
Ryan Braun,LF,MIL,--,87,15,30,4,0,5,18,0,14,2,3,.345,.341,.563,.904,https://www.mlb.com/player/460075
Mike Trout,CF,LAA,--,204,42,66,14,4,10,37,0,37,14,2,.324,.322,.578,.900,https://www.mlb.com/player/545361
Brandon Belt,1B,SF,--,191,34,65,9,2,9,25,0,34,3,1,.340,.351,.550,.900,https://www.mlb.com/player/474832
Darnell McDonald,RF,CHC,--,20,2,8,2,0,0,1,0,4,0,0,.400,.400,.500,.900,https://www.mlb.com/player/150021
Chris Davis,1B,BAL,--,229,36,64,13,1,20,60,0,73,2,0,.279,.293,.607,.900,https://www.mlb.com/player/448801
Chris Carter,1B,HOU,--,187,30,56,12,2,13,41,0,60,1,0,.299,.300,.594,.894,https://www.mlb.com/player/474892
Marcus Semien,3B,CWS,--,21,4,7,2,0,1,3,0,5,0,1,.333,.318,.571,.890,https://www.mlb.com/player/543760
Chris Johnson,3B,ATL,--,181,18,68,13,0,4,28,0,27,0,0,.376,.376,.514,.890,https://www.mlb.com/player/453400
Troy Tulowitzki,SS,COL,--,164,29,55,10,0,8,26,0,23,1,0,.335,.345,.543,.888,https://www.mlb.com/player/453064
Carlos Gomez,CF,MIL,--,210,33,66,11,4,11,39,0,34,23,4,.314,.321,.562,.883,https://www.mlb.com/player/460576
Mark DeRosa,2B,TOR,--,79,8,26,7,1,3,14,0,19,0,0,.329,.325,.557,.882,https://www.mlb.com/player/136660
David Wright,3B,NYM,--,160,26,56,4,3,6,21,0,23,5,1,.350,.354,.525,.879,https://www.mlb.com/player/431151
Abraham Almonte,CF,SEA,--,27,6,8,2,0,2,4,0,6,0,0,.296,.286,.593,.878,https://www.mlb.com/player/501659
Josh Donaldson,3B,OAK,--,215,35,71,15,1,10,48,0,36,1,1,.330,.327,.549,.876,https://www.mlb.com/player/518626
Evan Longoria,3B,TB,--,227,34,67,12,1,17,42,0,46,0,0,.295,.294,.581,.876,https://www.mlb.com/player/446334
Matt Holliday,LF,STL,--,213,43,69,13,0,11,40,0,34,2,1,.324,.335,.540,.875,https://www.mlb.com/player/407812
Jesus Montero,1B,SEA,--,33,4,11,1,0,2,6,0,7,0,0,.333,.324,.545,.869,https://www.mlb.com/player/524968
Steve Pearce,LF,BAL,--,43,7,13,4,0,2,5,0,7,0,0,.302,.333,.535,.868,https://www.mlb.com/player/456665
Brandon Moss,1B,OAK,--,170,26,48,11,1,12,38,0,46,1,1,.282,.295,.571,.866,https://www.mlb.com/player/461235
Yadier Molina,C,STL,--,196,31,69,20,0,4,31,0,11,1,2,.352,.350,.515,.865,https://www.mlb.com/player/425877
Nick Franklin,2B,SEA,--,133,16,41,13,1,6,26,0,29,3,0,.308,.308,.556,.865,https://www.mlb.com/player/545338
Delmon Young,DH,TB,--,141,14,47,9,0,6,24,0,21,0,0,.333,.338,.525,.863,https://www.mlb.com/player/430321
Ryan Howard,1B,PHI,--,101,14,31,8,1,5,15,0,27,0,0,.307,.308,.554,.862,https://www.mlb.com/player/429667
Hunter Pence,RF,SF,--,240,37,77,16,3,10,40,0,38,10,1,.321,.324,.538,.861,https://www.mlb.com/player/452254
Chris Heisey,LF,CIN,--,76,14,23,4,0,5,11,0,11,2,0,.303,.308,.553,.860,https://www.mlb.com/player/502317
Jordy Mercer,SS,PIT,--,102,14,35,8,0,3,10,0,16,1,0,.343,.350,.510,.859,https://www.mlb.com/player/474568
Henry Urrutia,DH,BAL,--,21,2,8,0,1,0,1,0,1,0,0,.381,.381,.476,.857,https://www.mlb.com/player/625329
Andrew McCutchen,CF,PIT,--,235,32,81,19,2,5,34,0,25,10,5,.345,.350,.506,.856,https://www.mlb.com/player/457705
Jean Segura,SS,MIL,--,200,30,68,10,3,6,21,0,12,21,8,.340,.346,.510,.856,https://www.mlb.com/player/516416
Mike Carp,1B,BOS,--,71,12,21,5,1,4,18,0,19,0,0,.296,.292,.563,.855,https://www.mlb.com/player/455077
Adrian Gonzalez,1B,LAD,--,230,32,75,14,0,11,48,0,40,1,0,.326,.322,.530,.852,https://www.mlb.com/player/408236
Justin Upton,LF,ATL,--,208,39,61,16,1,12,36,0,45,2,1,.293,.299,.553,.852,https://www.mlb.com/player/457708
Jonathan Lucroy,C,MIL,--,173,26,54,8,1,9,30,0,21,4,0,.312,.324,.526,.850,https://www.mlb.com/player/518960
Jonny Gomes,LF,BOS,--,107,23,29,8,0,8,21,0,23,0,0,.271,.279,.570,.849,https://www.mlb.com/player/430404
Scooter Gennett,2B,MIL,--,77,12,26,4,0,3,9,0,6,0,0,.338,.342,.506,.848,https://www.mlb.com/player/571697
Nelson Cruz,RF,TEX,--,149,16,45,11,0,8,26,0,26,0,0,.302,.311,.537,.848,https://www.mlb.com/player/443558
Wilin Rosario,C,COL,--,180,19,61,9,0,7,27,0,34,2,0,.339,.343,.506,.848,https://www.mlb.com/player/501647
Torii Hunter,RF,DET,--,208,34,68,13,3,7,34,0,28,2,0,.327,.329,.519,.848,https://www.mlb.com/player/116338
Yunel Escobar,SS,TB,--,188,19,66,14,1,4,27,0,17,0,1,.351,.346,.500,.846,https://www.mlb.com/player/488862
Charlie Blackmon,CF,COL,--,74,12,25,8,0,1,8,0,7,5,0,.338,.355,.486,.842,https://www.mlb.com/player/453568
Howie Kendrick,2B,LAA,--,180,18,60,10,3,5,27,0,29,4,1,.333,.335,.506,.841,https://www.mlb.com/player/435062
Jayson Werth,RF,WSH,--,170,36,50,9,0,11,29,0,30,3,0,.294,.299,.541,.840,https://www.mlb.com/player/150029
Adrian Beltre,3B,TEX,--,225,29,75,11,0,9,25,0,23,0,0,.333,.336,.502,.838,https://www.mlb.com/player/134181
David Freese,3B,STL,--,202,22,62,17,0,8,38,0,35,1,1,.307,.327,.510,.837,https://www.mlb.com/player/501896
Prince Fielder,1B,DET,--,232,33,73,18,0,9,34,0,33,0,0,.315,.328,.509,.836,https://www.mlb.com/player/425902
Jose Tabata,RF,PIT,--,108,15,33,7,0,5,14,0,13,0,0,.306,.324,.509,.834,https://www.mlb.com/player/467798
Freddie Freeman,1B,ATL,--,220,31,72,12,1,8,39,0,41,0,0,.327,.333,.500,.833,https://www.mlb.com/player/518692
Thomas Neal,LF,CHC,--,3,1,1,0,0,0,0,0,0,0,0,.333,.500,.333,.833,https://www.mlb.com/player/489166
Max Stassi,C,HOU,--,3,0,1,0,0,0,1,0,0,0,0,.333,.500,.333,.833,https://www.mlb.com/player/545358
Alex Presley,CF,MIN,--,56,8,19,3,1,1,7,0,13,0,1,.339,.351,.482,.833,https://www.mlb.com/player/502100
Grant Green,2B,LAA,--,50,10,18,4,1,0,8,0,15,0,0,.360,.353,.480,.833,https://www.mlb.com/player/502205
Matt Carpenter,3B,STL,--,204,41,72,16,3,1,25,0,29,1,1,.353,.357,.475,.833,https://www.mlb.com/player/572761
Nolan Arenado,3B,COL,--,177,23,57,13,1,6,25,0,22,1,0,.322,.324,.508,.832,https://www.mlb.com/player/571448
Leonys Martin,CF,TEX,--,177,28,58,11,4,4,21,0,23,15,6,.328,.330,.503,.832,https://www.mlb.com/player/547982
Will Venable,CF,SD,--,162,25,52,11,1,6,20,0,34,7,2,.321,.319,.512,.831,https://www.mlb.com/player/461416
Chase Utley,2B,PHI,--,155,27,48,6,1,8,24,0,24,2,1,.310,.314,.516,.831,https://www.mlb.com/player/400284
Marc Krauss,1B,HOU,--,43,6,12,5,0,2,5,0,11,1,0,.279,.295,.535,.830,https://www.mlb.com/player/571868
Daniel Nava,RF,BOS,--,155,28,48,10,0,7,28,0,29,0,1,.310,.319,.510,.829,https://www.mlb.com/player/537953
Robbie Grossman,LF,HOU,--,89,11,32,6,0,1,9,0,19,2,3,.360,.367,.461,.827,https://www.mlb.com/player/543257
Omar Infante,2B,DET,--,164,19,56,8,2,4,14,0,16,3,1,.341,.337,.488,.825,https://www.mlb.com/player/408299
Ian Kinsler,2B,TEX,--,187,30,57,15,1,7,25,0,23,6,1,.305,.316,.508,.824,https://www.mlb.com/player/435079
Jonathan Villar,SS,HOU,--,73,6,26,5,0,1,4,0,16,9,3,.356,.356,.466,.822,https://www.mlb.com/player/542340
Eduardo Escobar,SS,MIN,--,67,10,22,3,1,2,8,0,11,0,1,.328,.328,.493,.821,https://www.mlb.com/player/500871
Carlos Pena,1B,KC,--,109,13,33,5,1,5,14,0,27,1,2,.303,.315,.505,.820,https://www.mlb.com/player/150289
Jason Marquis,P,SD,--,11,0,4,1,0,0,1,0,1,0,0,.364,.364,.455,.818,https://www.mlb.com/player/150302
A.J. Pierzynski,C,TEX,--,185,20,53,10,1,10,34,0,20,1,0,.286,.304,.514,.817,https://www.mlb.com/player/150229
Tony Abreu,2B,SF,--,50,10,15,6,1,1,6,0,9,0,0,.300,.294,.520,.814,https://www.mlb.com/player/473234
Tyler Flowers,C,CWS,--,95,11,23,6,0,8,16,0,28,0,0,.242,.255,.558,.813,https://www.mlb.com/player/452095
Alex Gordon,LF,KC,--,227,42,69,7,4,10,30,0,47,6,0,.304,.310,.502,.812,https://www.mlb.com/player/460086
Darin Ruf,LF,PHI,--,90,17,24,8,0,5,11,0,26,0,0,.267,.290,.522,.812,https://www.mlb.com/player/573131
Freddy Galvis,2B,PHI,--,64,8,20,0,3,2,9,0,7,1,0,.313,.313,.500,.812,https://www.mlb.com/player/520471
Mike Napoli,1B,BOS,--,175,29,49,15,2,8,27,0,62,0,1,.280,.287,.526,.812,https://www.mlb.com/player/435063
