player,position,team,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,url
Quintin Berry,LF,BOS,--,1,4,1,0,0,0,1,0,0,3,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/450641
Matt Carson,RF,CLE,--,3,2,3,0,0,0,2,1,0,2,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/454998
Adam Ottavino,P,COL,--,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/493603
Doug Fister,P,DET,--,1,0,1,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/450729
Luis Mendoza,P,KC,--,1,0,1,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/434669
Vin Mazzaro,P,PIT,--,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/476570
Corey Brown,LF,WSH,--,2,1,1,1,0,0,0,2,1,1,0,.500,.750,1.000,1.750,https://www.mlb.com/player/446395
Brennan Boesch,RF,NYY,--,8,3,4,2,0,1,4,2,2,0,0,.500,.600,1.125,1.725,https://www.mlb.com/player/453269
Jordan Brown,1B,MIA,--,3,0,2,1,0,0,3,0,0,0,0,.667,.667,1.000,1.667,https://www.mlb.com/player/488740
Blake DeWitt,3B,ATL,--,2,0,1,1,0,0,0,0,0,0,0,.500,.500,1.000,1.500,https://www.mlb.com/player/455088
Scott Sizemore,2B,OAK,--,2,0,1,1,0,0,0,0,0,0,0,.500,.500,1.000,1.500,https://www.mlb.com/player/502003
Miguel Cabrera,1B,DET,--,91,36,35,2,0,12,53,25,15,1,0,.385,.525,.802,1.328,https://www.mlb.com/player/408234
Chris Dickerson,LF,BAL,--,16,7,6,2,0,2,7,1,6,3,0,.375,.412,.875,1.287,https://www.mlb.com/player/447736
Brandon Laird,1B,HOU,--,18,4,6,1,0,3,8,0,6,0,0,.333,.368,.889,1.257,https://www.mlb.com/player/477186
Chris Davis,1B,BAL,--,90,27,32,8,0,9,42,18,27,3,0,.356,.468,.744,1.212,https://www.mlb.com/player/448801
Hernan Perez,2B,DET,--,10,4,5,0,1,0,3,0,3,0,0,.500,.500,.700,1.200,https://www.mlb.com/player/541650
Robinson Cano,2B,NYY,--,84,35,32,6,0,7,38,13,13,3,1,.381,.475,.702,1.177,https://www.mlb.com/player/429664
Jeff Baker,LF,TEX,--,27,8,9,2,0,3,8,3,9,0,0,.333,.400,.741,1.141,https://www.mlb.com/player/425557
Xander Bogaerts,SS,BOS,--,11,2,4,0,0,1,3,3,2,1,0,.364,.500,.636,1.136,https://www.mlb.com/player/593428
Willie Bloomquist,2B,ARI,--,18,6,9,1,0,0,8,2,1,0,1,.500,.571,.556,1.127,https://www.mlb.com/player/217100
Robbie Grossman,LF,HOU,--,28,11,10,3,0,2,10,4,5,2,1,.357,.438,.679,1.116,https://www.mlb.com/player/543257
Jose Bautista,RF,TOR,--,67,32,23,4,0,5,22,19,13,6,0,.343,.488,.627,1.115,https://www.mlb.com/player/430832
Corky Miller,C,CIN,--,5,1,2,1,0,0,1,1,0,0,0,.400,.500,.600,1.100,https://www.mlb.com/player/280061
Tony Abreu,2B,SF,--,17,5,6,3,0,1,5,1,3,0,0,.353,.389,.706,1.095,https://www.mlb.com/player/473234
Ryan Raburn,RF,CLE,--,54,13,18,8,0,4,23,5,10,0,0,.333,.390,.704,1.094,https://www.mlb.com/player/430605
