name,team,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,url
Tim Lincecum,SF,--,--,4.08,--,--,--,--,--,--,28.2,11,17,13,1,0,14,30,0.87,.115,https://www.mlb.com/player/453311
Edwin Jackson,STL,--,--,6.67,--,--,--,--,--,--,27.0,20,25,20,2,0,7,27,1.00,.202,https://www.mlb.com/player/429719
Matt Cain,SF,--,--,9.57,--,--,--,--,--,--,26.1,19,32,28,0,0,20,22,1.48,.194,https://www.mlb.com/player/430912
Randy Wolf,MIL,--,--,8.42,--,--,--,--,--,--,25.2,21,28,24,3,2,16,16,1.44,.219,https://www.mlb.com/player/150116
Carl Pavano,MIN,--,--,9.82,--,--,--,--,--,--,25.2,25,39,28,1,2,5,16,1.17,.238,https://www.mlb.com/player/134321
Jhoulys Chacin,COL,--,--,6.84,--,--,--,--,--,--,25.0,11,21,19,1,1,20,21,1.24,.126,https://www.mlb.com/player/468504
Roy Halladay,PHI,--,--,5.04,--,--,--,--,--,--,25.0,14,15,14,1,0,7,26,0.84,.156,https://www.mlb.com/player/136880
Charlie Morton,PIT,--,--,7.30,--,--,--,--,--,--,24.2,19,21,20,0,1,17,13,1.46,.207,https://www.mlb.com/player/450203
Ervin Santana,LAA,--,--,10.36,--,--,--,--,--,--,24.1,22,32,28,4,0,11,24,1.36,.229,https://www.mlb.com/player/429722
Felix Hernandez,SEA,--,--,9.62,--,--,--,--,--,--,24.1,25,30,26,1,1,15,31,1.64,.258,https://www.mlb.com/player/433587
R.A. Dickey,NYM,--,--,6.75,--,--,--,--,--,--,24.0,16,21,18,1,2,11,17,1.13,.184,https://www.mlb.com/player/285079
Mike Pelfrey,NYM,--,--,9.89,--,--,--,--,--,--,23.2,26,31,26,1,2,19,16,1.90,.271,https://www.mlb.com/player/460059
CC Sabathia,NYY,--,--,10.27,--,--,--,--,--,--,23.2,24,30,27,4,0,10,27,1.44,.258,https://www.mlb.com/player/282332
Trevor Cahill,OAK,--,--,8.37,--,--,--,--,--,--,23.2,21,25,22,0,0,21,23,1.77,.231,https://www.mlb.com/player/502239
Ian Kennedy,ARI,--,--,7.33,--,--,--,--,--,--,23.1,11,19,19,1,4,9,24,0.86,.136,https://www.mlb.com/player/453178
Daniel Hudson,ARI,--,--,10.03,--,--,--,--,--,--,23.1,23,31,26,2,0,8,17,1.33,.250,https://www.mlb.com/player/543339
Ryan Dempster,CHC,--,--,18.51,--,--,--,--,--,--,23.1,29,50,48,6,1,17,28,1.97,.296,https://www.mlb.com/player/133225
Jeremy Guthrie,BAL,--,--,13.70,--,--,--,--,--,--,23.0,26,45,35,5,1,7,18,1.43,.274,https://www.mlb.com/player/425386
Justin Masterson,CLE,--,--,10.96,--,--,--,--,--,--,23.0,22,33,28,2,1,13,19,1.52,.242,https://www.mlb.com/player/475416
Ricky Nolasco,FLA,--,--,14.29,--,--,--,--,--,--,22.2,32,42,36,3,1,10,20,1.85,.314,https://www.mlb.com/player/445060
Chris Carpenter,STL,--,--,10.32,--,--,--,--,--,--,22.2,21,30,26,3,1,7,21,1.24,.236,https://www.mlb.com/player/112020
Jake Westbrook,STL,--,--,8.74,--,--,--,--,--,--,22.2,21,25,22,0,0,17,21,1.68,.236,https://www.mlb.com/player/150414
Jeff Francis,KC,--,--,11.69,--,--,--,--,--,--,22.1,19,29,29,5,1,11,16,1.34,.226,https://www.mlb.com/player/433585
Yovani Gallardo,MIL,--,--,5.24,--,--,--,--,--,--,22.1,11,16,13,1,0,10,27,0.94,.138,https://www.mlb.com/player/451596
Ubaldo Jimenez,CLE,--,--,16.77,--,--,--,--,--,--,22.0,30,51,41,2,1,16,23,2.09,.313,https://www.mlb.com/player/434622
Brett Myers,HOU,--,--,6.55,--,--,--,--,--,--,22.0,14,18,16,2,0,10,19,1.09,.179,https://www.mlb.com/player/408206
Chad Billingsley,LAD,--,--,8.59,--,--,--,--,--,--,22.0,18,27,21,1,1,8,23,1.18,.214,https://www.mlb.com/player/451532
Derek Lowe,ATL,--,--,8.72,--,--,--,--,--,--,21.2,21,23,21,0,0,13,11,1.57,.253,https://www.mlb.com/player/117955
Jon Lester,BOS,--,--,11.22,--,--,--,--,--,--,21.2,15,27,27,4,2,11,19,1.20,.190,https://www.mlb.com/player/452657
Anibal Sanchez,FLA,--,--,14.12,--,--,--,--,--,--,21.2,22,36,34,4,1,12,22,1.57,.253,https://www.mlb.com/player/434671
Roberto Hernandez,CLE,--,--,8.86,--,--,--,--,--,--,21.1,21,27,21,1,1,10,10,1.45,.247,https://www.mlb.com/player/433584
Dan Haren,LAA,--,--,8.02,--,--,--,--,--,--,21.1,14,22,19,1,0,1,15,0.70,.179,https://www.mlb.com/player/429717
A.J. Burnett,NYY,--,--,13.50,--,--,--,--,--,--,21.1,17,35,32,5,2,16,31,1.55,.205,https://www.mlb.com/player/150359
Gio Gonzalez,OAK,--,--,6.75,--,--,--,--,--,--,21.1,15,23,16,1,3,5,26,0.94,.188,https://www.mlb.com/player/461829
Ryan Vogelsong,SF,--,--,3.38,--,--,--,--,--,--,21.1,11,15,8,0,1,14,21,1.17,.153,https://www.mlb.com/player/285064
Bud Norris,HOU,--,--,8.57,--,--,--,--,--,--,21.0,22,28,20,3,0,10,20,1.52,.259,https://www.mlb.com/player/502032
Wandy Rodriguez,HOU,--,--,9.00,--,--,--,--,--,--,21.0,18,24,21,2,1,14,19,1.52,.231,https://www.mlb.com/player/434643
Max Scherzer,DET,--,--,10.89,--,--,--,--,--,--,20.2,17,28,25,3,0,6,19,1.11,.221,https://www.mlb.com/player/453286
Brad Penny,DET,--,--,11.32,--,--,--,--,--,--,20.2,18,33,26,4,1,9,8,1.31,.225,https://www.mlb.com/player/207267
Jered Weaver,LAA,--,--,6.10,--,--,--,--,--,--,20.2,15,14,14,0,1,9,21,1.16,.200,https://www.mlb.com/player/450308
Hiroki Kuroda,LAD,--,--,10.89,--,--,--,--,--,--,20.2,18,27,25,1,0,18,20,1.74,.231,https://www.mlb.com/player/493133
Jonathon Niese,NYM,--,--,8.71,--,--,--,--,--,--,20.2,16,24,20,2,1,7,23,1.11,.203,https://www.mlb.com/player/477003
Jaime Garcia,STL,--,--,6.97,--,--,--,--,--,--,20.2,19,32,16,3,0,5,23,1.16,.229,https://www.mlb.com/player/448802
Josh Beckett,BOS,--,--,7.08,--,--,--,--,--,--,20.1,11,16,16,4,1,10,26,1.03,.155,https://www.mlb.com/player/277417
Matt Garza,CHC,--,--,7.97,--,--,--,--,--,--,20.1,16,24,18,1,0,8,20,1.18,.203,https://www.mlb.com/player/490063
Mat Latos,SD,--,--,6.20,--,--,--,--,--,--,20.1,13,19,14,0,1,8,21,1.03,.181,https://www.mlb.com/player/502009
Jeremy Hellickson,TB,--,--,5.31,--,--,--,--,--,--,20.1,8,13,12,2,0,19,16,1.33,.118,https://www.mlb.com/player/476451
Bronson Arroyo,CIN,--,--,11.25,--,--,--,--,--,--,20.0,20,29,25,2,0,7,15,1.35,.250,https://www.mlb.com/player/276520
Clayton Kershaw,LAD,--,--,10.80,--,--,--,--,--,--,20.0,17,29,24,4,0,9,27,1.30,.224,https://www.mlb.com/player/477132
James McDonald,PIT,--,--,9.90,--,--,--,--,--,--,20.0,14,23,22,2,0,11,24,1.25,.189,https://www.mlb.com/player/457428
Ricky Romero,TOR,--,--,8.10,--,--,--,--,--,--,20.0,14,24,18,1,0,11,14,1.25,.187,https://www.mlb.com/player/460069
