name,team,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,url
Adam Russell,TB,--,--,5.12,--,--,--,--,--,--,19.1,17,13,11,2,3,11,8,1.45,.258,https://www.mlb.com/player/452240
Barry Enright,ARI,--,--,11.84,--,--,--,--,--,--,19.0,23,25,25,5,0,8,8,1.63,.329,https://www.mlb.com/player/446264
Jeremy Accardo,BAL,--,--,9.47,--,--,--,--,--,--,19.0,19,20,20,1,0,10,11,1.53,.288,https://www.mlb.com/player/435618
Scott Atchison,BOS,--,--,5.21,--,--,--,--,--,--,19.0,13,11,11,0,0,2,11,0.79,.224,https://www.mlb.com/player/425786
Esmerling Vasquez,MIN,--,--,6.27,--,--,--,--,--,--,18.2,12,15,13,1,3,7,11,1.02,.188,https://www.mlb.com/player/458220
Joe Nathan,MIN,--,--,9.16,--,--,--,--,--,--,18.2,12,21,19,2,3,9,19,1.13,.182,https://www.mlb.com/player/150274
Barry Zito,SF,--,--,14.95,--,--,--,--,--,--,18.2,23,31,31,6,0,12,11,1.88,.348,https://www.mlb.com/player/217096
Ryan Mattheus,WSH,--,--,4.82,--,--,--,--,--,--,18.2,15,11,10,1,1,9,6,1.29,.246,https://www.mlb.com/player/458919
Armando Galarraga,ARI,--,--,9.33,--,--,--,--,--,--,18.1,18,27,19,4,0,13,10,1.69,.286,https://www.mlb.com/player/451482
Dan Wheeler,BOS,--,--,10.80,--,--,--,--,--,--,18.1,23,22,22,5,0,2,15,1.36,.311,https://www.mlb.com/player/235095
Fernando Rodney,LAA,--,--,7.36,--,--,--,--,--,--,18.1,14,17,15,0,2,13,13,1.47,.222,https://www.mlb.com/player/407845
George Sherrill,ATL,--,--,5.50,--,--,--,--,--,--,18.0,16,11,11,2,1,7,17,1.28,.262,https://www.mlb.com/player/430941
Joe Paterson,ARI,--,--,5.60,--,--,--,--,--,--,17.2,13,11,11,1,1,13,14,1.47,.220,https://www.mlb.com/player/519110
Blake Hawksworth,LAD,--,--,11.21,--,--,--,--,--,--,17.2,25,27,22,4,0,11,10,2.04,.347,https://www.mlb.com/player/458003
Cory Wade,NYY,--,--,3.06,--,--,--,--,--,--,17.2,12,7,6,2,0,3,14,0.85,.197,https://www.mlb.com/player/460677
Arthur Rhodes,STL,--,--,6.11,--,--,--,--,--,--,17.2,14,12,12,3,0,4,9,1.02,.233,https://www.mlb.com/player/121125
Fautino De Los Santos,OAK,--,--,7.79,--,--,--,--,--,--,17.1,15,18,15,3,0,8,18,1.33,.242,https://www.mlb.com/player/501745
Vin Mazzaro,KC,--,--,13.24,--,--,--,--,--,--,17.0,21,25,25,3,1,7,5,1.65,.368,https://www.mlb.com/player/476570
Eric Surkamp,SF,--,--,8.47,--,--,--,--,--,--,17.0,15,17,16,0,1,6,9,1.24,.268,https://www.mlb.com/player/474668
Trevor Bell,LAA,--,--,7.02,--,--,--,--,--,--,16.2,20,14,13,2,1,4,5,1.44,.323,https://www.mlb.com/player/457707
Ramon Ortiz,CHC,--,--,8.27,--,--,--,--,--,--,16.1,14,17,15,3,0,2,9,0.98,.241,https://www.mlb.com/player/150009
Jerome Williams,LAA,--,--,7.16,--,--,--,--,--,--,16.1,22,15,13,1,1,9,8,1.90,.355,https://www.mlb.com/player/425532
J.P. Howell,TB,--,--,9.92,--,--,--,--,--,--,16.1,18,21,18,2,1,10,16,1.71,.300,https://www.mlb.com/player/434442
Collin Balester,WSH,--,--,7.71,--,--,--,--,--,--,16.1,17,17,14,3,1,6,13,1.41,.288,https://www.mlb.com/player/444446
Bryan Shaw,ARI,--,--,3.38,--,--,--,--,--,--,16.0,12,7,6,0,1,5,15,1.06,.218,https://www.mlb.com/player/543766
Scott Elbert,LAD,--,--,4.50,--,--,--,--,--,--,16.0,9,8,8,0,1,13,19,1.38,.173,https://www.mlb.com/player/455092
Jim Hoey,MIN,--,--,7.88,--,--,--,--,--,--,16.0,21,19,14,3,0,6,8,1.69,.333,https://www.mlb.com/player/460597
Andrew Bailey,OAK,--,--,7.31,--,--,--,--,--,--,16.0,16,16,13,1,0,6,19,1.38,.271,https://www.mlb.com/player/457732
Daniel Moskos,PIT,--,--,4.50,--,--,--,--,--,--,16.0,13,11,8,0,0,8,8,1.31,.245,https://www.mlb.com/player/446290
Brandon Gomes,TB,--,--,5.63,--,--,--,--,--,--,16.0,19,13,10,1,1,8,10,1.69,.317,https://www.mlb.com/player/460156
Jake McGee,TB,--,--,6.19,--,--,--,--,--,--,16.0,14,11,11,2,0,7,13,1.31,.233,https://www.mlb.com/player/459429
Daisuke Matsuzaka,BOS,--,--,11.49,--,--,--,--,--,--,15.2,16,22,20,2,1,11,7,1.72,.258,https://www.mlb.com/player/493137
Greg Reynolds,COL,--,--,11.49,--,--,--,--,--,--,15.2,18,20,20,4,1,6,8,1.53,.300,https://www.mlb.com/player/453353
Sam Demel,ARI,--,--,6.46,--,--,--,--,--,--,15.1,17,12,11,3,1,8,9,1.63,.304,https://www.mlb.com/player/451585
Nathan Eovaldi,LAD,--,--,7.04,--,--,--,--,--,--,15.1,13,12,12,0,2,9,7,1.43,.271,https://www.mlb.com/player/543135
Sergio Escalona,HOU,--,--,4.20,--,--,--,--,--,--,15.0,13,8,7,1,1,3,9,1.07,.260,https://www.mlb.com/player/465065
Josh Lindblom,LAD,--,--,5.40,--,--,--,--,--,--,15.0,8,9,9,0,1,7,14,1.00,.190,https://www.mlb.com/player/458676
Nelson Figueroa,PIT,--,--,15.60,--,--,--,--,--,0,15.0,28,31,26,1,0,6,9,2.27,.412,https://www.mlb.com/player/150153
Aaron Heilman,PIT,--,--,13.80,--,--,--,--,--,--,15.0,24,24,23,4,1,6,13,2.00,.364,https://www.mlb.com/player/408310
Pat Neshek,SD,--,--,4.80,--,--,--,--,--,--,15.0,7,9,8,1,1,13,10,1.33,.156,https://www.mlb.com/player/450212
Tom Wilhelmsen,SEA,--,--,6.75,--,--,--,--,--,--,14.2,14,12,11,1,1,7,13,1.43,.259,https://www.mlb.com/player/452666
Anthony Vasquez,SEA,--,--,12.89,--,--,--,--,--,--,14.2,17,27,21,5,1,5,7,1.50,.293,https://www.mlb.com/player/457786
Hung-Chih Kuo,LAD,--,--,16.33,--,--,--,--,--,--,14.1,13,28,26,3,1,11,20,1.67,.260,https://www.mlb.com/player/425539
Graham Godfrey,OAK,--,--,6.28,--,--,--,--,--,--,14.1,14,13,10,2,0,2,8,1.12,.259,https://www.mlb.com/player/453232
Michael Wuertz,OAK,--,--,14.44,--,--,--,--,--,--,14.1,17,23,23,3,1,18,17,2.44,.315,https://www.mlb.com/player/430900
Dan Runzler,SF,--,--,11.93,--,--,--,--,--,--,14.1,18,21,19,0,0,7,13,1.74,.346,https://www.mlb.com/player/502130
David Carpenter,HOU,--,--,5.14,--,--,--,--,--,--,14.0,13,8,8,2,1,11,13,1.71,.277,https://www.mlb.com/player/502304
Ramon Troncoso,LAD,--,--,10.29,--,--,--,--,--,--,14.0,21,17,16,4,0,3,6,1.71,.389,https://www.mlb.com/player/470462
Taylor Buchholz,NYM,--,--,3.21,--,--,--,--,--,--,14.0,8,6,5,1,0,4,16,0.86,.182,https://www.mlb.com/player/430587
Jerry Blevins,OAK,--,--,5.14,--,--,--,--,--,--,14.0,15,13,8,1,0,8,9,1.64,.313,https://www.mlb.com/player/460283
Chris Leroux,PIT,--,--,5.14,--,--,--,--,--,--,14.0,18,9,8,0,0,4,10,1.57,.310,https://www.mlb.com/player/460092
Joe Beimel,PIT,--,--,7.71,--,--,--,--,--,--,14.0,17,14,12,3,0,5,7,1.57,.309,https://www.mlb.com/player/346847
Josh Lueke,SEA,--,--,14.14,--,--,--,--,--,--,14.0,20,22,22,2,0,7,16,1.93,.357,https://www.mlb.com/player/518961
Scott Feldman,TEX,--,--,7.71,--,--,--,--,--,--,14.0,10,12,12,1,1,5,8,1.07,.217,https://www.mlb.com/player/444857
Yunesky Maya,WSH,--,--,10.93,--,--,--,--,--,--,14.0,16,17,17,1,1,7,6,1.64,.364,https://www.mlb.com/player/493337
David Purcey,DET,--,--,12.51,--,--,--,--,--,--,13.2,16,19,19,0,0,16,9,2.34,.314,https://www.mlb.com/player/453515
