name,team,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,url
Cliff Lee,PHI,11,3,1.94,18,18,3,3,0,0,134.2,107,31,29,8,4,24,143,0.97,.216,https://www.mlb.com/player/424324
James Shields,TB,9,5,2.36,17,17,5,2,0,0,133.2,104,37,35,11,2,36,124,1.05,.218,https://www.mlb.com/player/448306
Tim Hudson,ATL,10,4,2.31,19,19,1,1,0,0,128.1,96,42,33,10,4,33,95,1.01,.206,https://www.mlb.com/player/218596
Ian Kennedy,ARI,11,2,2.64,18,18,1,1,0,0,126.0,96,38,37,9,6,28,113,0.98,.210,https://www.mlb.com/player/453178
Ervin Santana,LAA,5,8,3.18,17,17,2,1,0,0,124.2,119,48,44,14,2,34,98,1.23,.250,https://www.mlb.com/player/429722
Jason Vargas,SEA,7,9,4.56,19,19,3,3,0,0,120.1,118,63,61,12,1,32,87,1.25,.252,https://www.mlb.com/player/450306
Daniel Hudson,ARI,9,6,3.17,17,17,3,0,0,0,119.1,116,49,42,7,4,23,93,1.16,.254,https://www.mlb.com/player/543339
Justin Masterson,CLE,4,5,3.25,19,18,0,0,0,0,119.0,118,49,43,3,7,34,85,1.28,.260,https://www.mlb.com/player/475416
Chris Carpenter,STL,4,3,3.05,17,17,1,1,0,0,118.0,115,45,40,5,3,31,93,1.24,.256,https://www.mlb.com/player/112020
Justin Verlander,DET,10,3,2.37,16,16,2,1,0,0,117.2,86,35,31,9,1,25,117,0.94,.198,https://www.mlb.com/player/434378
Clayton Kershaw,LAD,12,1,1.69,16,16,4,2,0,0,117.1,79,22,22,5,3,26,118,0.89,.191,https://www.mlb.com/player/477132
CC Sabathia,NYY,8,3,3.07,16,16,2,1,0,0,117.1,102,44,40,10,2,23,120,1.07,.234,https://www.mlb.com/player/282332
Matt Garza,CHC,6,5,2.46,17,17,2,0,0,0,117.0,98,42,32,11,3,33,123,1.12,.225,https://www.mlb.com/player/490063
David Price,TB,4,9,3.71,18,18,0,0,0,0,116.1,103,53,48,13,2,34,129,1.18,.234,https://www.mlb.com/player/456034
R.A. Dickey,NYM,2,9,3.51,17,17,0,0,0,0,115.1,102,49,45,8,5,26,76,1.11,.239,https://www.mlb.com/player/285079
Ryan Dempster,CHC,6,8,3.83,18,18,0,0,0,0,115.0,110,50,49,9,2,38,106,1.29,.252,https://www.mlb.com/player/133225
Doug Fister,DET,6,6,2.35,16,16,1,0,0,0,114.2,100,32,30,3,5,20,76,1.05,.233,https://www.mlb.com/player/450729
A.J. Burnett,NYY,7,6,4.41,18,18,0,0,0,0,114.1,104,57,56,19,4,45,104,1.30,.241,https://www.mlb.com/player/150359
Luke Hochevar,KC,8,5,4.51,18,18,0,0,0,0,113.2,111,61,57,9,5,35,70,1.28,.254,https://www.mlb.com/player/460024
Jhoulys Chacin,COL,6,7,3.57,18,18,1,1,0,0,113.1,101,51,45,11,2,48,86,1.31,.235,https://www.mlb.com/player/468504
Jered Weaver,LAA,8,2,1.84,15,15,2,1,0,0,112.2,84,24,23,6,1,29,111,1.00,.208,https://www.mlb.com/player/450308
Roy Halladay,PHI,8,3,2.48,15,15,3,0,0,0,112.2,100,32,31,3,1,12,108,0.99,.234,https://www.mlb.com/player/136880
Matt Cain,SF,6,5,2.80,16,16,1,0,0,0,112.2,87,39,35,4,3,32,89,1.06,.211,https://www.mlb.com/player/430912
Tim Lincecum,SF,6,7,3.07,17,17,1,1,0,0,111.1,89,40,38,7,2,47,103,1.22,.218,https://www.mlb.com/player/453311
Dan Haren,LAA,9,4,2.51,16,15,3,3,0,0,111.0,85,35,31,8,5,15,100,0.90,.210,https://www.mlb.com/player/429717
Felix Hernandez,SEA,7,6,3.67,15,15,2,0,0,0,110.1,101,45,45,12,4,32,100,1.21,.246,https://www.mlb.com/player/433587
Gio Gonzalez,OAK,10,5,2.70,17,17,0,0,0,0,110.0,89,36,33,8,4,46,110,1.23,.220,https://www.mlb.com/player/461829
Trevor Cahill,OAK,6,8,3.20,17,17,0,0,0,0,109.2,106,44,39,7,2,48,73,1.40,.257,https://www.mlb.com/player/502239
Aaron Harang,SD,8,5,3.05,17,17,0,0,0,0,109.1,97,40,37,13,3,35,72,1.21,.240,https://www.mlb.com/player/421685
Max Scherzer,DET,8,4,3.80,18,18,0,0,0,0,109.0,112,50,46,11,5,29,89,1.29,.267,https://www.mlb.com/player/453286
Ryan Vogelsong,SF,7,6,2.15,17,16,0,0,0,0,109.0,97,27,26,6,2,30,78,1.17,.242,https://www.mlb.com/player/285064
Bronson Arroyo,CIN,4,10,4.98,17,17,1,1,0,0,108.1,116,65,60,27,3,27,61,1.32,.272,https://www.mlb.com/player/276520
