,pitcher_id
638,467793
639,445213
640,543281
641,502139
642,571666
643,459991
644,429667
645,571946
646,150035
647,425883
648,605476
649,489567
650,425794
651,643290
652,461416
653,123801
654,592869
655,592206
656,505447
657,446928
658,435041
659,624415
660,607461
661,444382
662,596119
663,488703
664,592596
665,591712
666,489305
667,663993
668,663586
669,462956
670,429841
671,523848
672,425506
673,430917
674,228594
675,640458
676,543829
677,644337
678,425547
679,453256
680,594815
681,460156
682,493547
683,605400
684,458085
685,459967
686,452096
687,454537
688,519128
689,621005
690,518764
691,150093
692,592614
693,502102
694,444447
695,150286
696,425545
697,453241
698,523253
699,430634
700,582494
701,475054
702,643511
703,461212
704,595897
705,621249
706,595963
707,595144
708,457477
709,502143
710,680777
711,448178
712,650490
713,543859
714,435620
715,477229
716,544759
717,477195
718,466320
719,592273
720,641856
721,607309
722,407781
723,605359
724,110029
725,594011
726,291565
727,545338
728,596144
729,623406
730,611177
731,640459
732,543510
733,150484
734,664042
735,502273
736,572140
737,445590
738,276530
739,518445
740,489150
741,285079
742,605130
743,527054
744,435625
745,642086
746,543362
747,458691
748,650391
749,502087
750,570482
751,519299
752,660875
753,624428
754,608638
755,657053
756,642397
757,623167
758,543391
759,448656
760,592704
761,425783
762,543809
763,489166
764,571439
765,543611
766,460055
767,459434
768,592769
769,459983
770,572750
771,488984
772,592127
773,518408
774,570810
775,622046
776,467850
777,542914
778,605141
779,430664
780,452671
781,408047
782,622774
783,430611
784,446213
785,571760
786,430945
787,447736
788,218596
789,452657
790,429985
791,543754
792,425877
793,570649
794,599998
795,449104
796,453222
797,661255
798,542888
799,502162
800,516589
801,593495
802,276056
803,408045
804,407296
805,234194
806,455095
807,488936
808,542999
809,605396
810,623433
811,592254
812,607345
813,608371
814,460072
815,112128
816,543548
817,467785
818,432934
819,572971
820,592741
821,667670
822,621052
823,622786
824,573589
825,593934
826,622382
827,641477
828,602104
829,666160
830,543964
831,572193
832,488681
833,571858
834,518500
835,605164
836,572821
837,446263
838,435408
839,621439
840,276055
841,670280
842,465657
843,430681
844,605151
845,643615
846,656577
847,622694
848,607162
849,621281
850,628356
851,460003
852,664029
853,673633
854,450172
855,499877
856,519151
857,425664
858,453056
859,543685
860,643436
861,553882
862,656322
863,434633
864,445163
865,669256
866,150249
867,115629
868,570240
869,519175
870,475115
871,657108
872,668683
873,517414
874,502029
875,644428
876,446192
877,452764
878,543031
879,663886
880,425562
881,598265
882,543633
883,623515
884,596112
885,605474
886,660620
887,115223
888,554374
889,543216
890,605486
891,592865
892,456662
893,119469
894,453531
895,462515
896,595798
897,502285
898,444859
899,487675
900,430946
901,572702
902,119215
903,500674
904,475095
905,593969
906,605548
907,665506
908,593833
909,592094
910,657277
911,548384
912,150348
913,621446
914,425835
915,664247
916,488683
917,400291
918,605194
919,488818
920,623166
921,501660
922,605233
923,460657
924,606956
925,474892
926,400104
927,502165
928,621345
929,642231
930,488674
931,444351
932,592647
933,457727
934,500208
935,489267
936,572128
937,448602
938,502033
939,455117
940,543742
941,455725
942,150398
943,113296
944,641816
945,543208
946,592145
947,650331
948,641658
949,117276
950,119984
951,476633
952,543901
953,622097
954,592169
955,425477
956,408232
957,457779
958,463645
959,450641
960,660294
961,518533
962,110236
963,670541
964,446481
965,456043
966,116974
967,453385
968,542194
969,425773
970,501638
971,471896
972,462382
973,407835
974,445156
975,501687
976,543377
977,542432
978,475100
979,518693
980,607030
981,502253
982,116380
983,543054
984,592530
985,605452
986,452252
987,521692
988,446488
989,608678
990,460008
991,605200
992,592444
993,136767
994,446395
995,594902
996,642121
997,444489
998,543589
999,458587
1000,570615
1001,592779
1002,476011
1003,448614
1004,425557
1005,572119
1006,592238
1007,571510
1008,606424
1009,592644
1010,639373
1011,334492
1012,407297
1013,425772
1014,150359
1015,425848
1016,517451
1017,605488
1018,435560
1019,502031
1020,607352
1021,542979
1022,451482
1023,656186
1024,622270
1025,669160
1026,570632
1027,572389
1028,596056
1029,572180
