,batter_id
0,434678
1,501817
2,279782
3,525768
4,430962
5,624647
6,276912
7,425646
8,122987
9,519357
10,573668
11,621345
12,519242
13,571704
14,452249
15,572208
16,592773
17,349193
18,477003
19,656492
20,658431
21,434482
22,493159
23,606995
24,669432
25,465065
26,607231
27,460283
28,502009
29,425206
30,457567
31,656887
32,591701
33,451775
34,493157
35,607200
36,453203
37,622251
38,519222
39,664869
40,545001
41,615698
42,596133
43,642564
44,596057
45,519455
46,457935
47,460597
48,623364
49,622663
50,622783
51,592767
52,446372
53,516769
54,664299
55,597113
56,150011
57,446321
58,453580
59,518886
60,642092
61,134268
62,499107
63,595345
64,670329
65,150302
66,465679
67,608723
68,502085
69,434619
70,595411
71,670426
72,430942
73,457915
74,453214
75,658305
76,640451
77,607359
78,623451
79,608032
80,548357
81,543261
82,110683
83,596720
84,456501
85,660813
86,506433
87,622491
88,547939
89,606160
90,650644
91,572020
92,592665
93,534576
94,502260
95,572086
96,461872
97,605501
98,454972
99,656805
100,276542
101,592879
102,407489
103,542289
104,445060
105,656557
106,448287
107,543136
108,571584
109,594792
110,611093
111,622505
112,476601
113,669214
114,502304
115,460269
116,606930
117,435140
118,519076
119,457812
120,607473
121,621002
122,641729
123,542609
124,573109
125,434778
126,594772
127,657228
128,446901
129,572788
130,476270
131,277417
132,464400
133,642770
134,450312
135,628452
136,606996
137,493114
138,451661
139,642152
140,445177
141,669060
142,434638
143,641154
144,434538
145,430589
146,656954
147,594311
148,607555
149,657376
150,594736
151,453307
152,621078
153,573185
154,448165
155,571771
156,656977
157,458250
158,543698
159,600887
160,453156
161,519411
162,518567
163,622554
164,642073
165,430636
166,656913
167,449161
168,643532
169,543805
170,461325
171,608566
172,642067
173,543272
174,641771
175,656271
176,519405
177,657610
178,656232
179,571963
180,429901
181,605156
182,450545
183,444836
184,469690
185,448179
186,571539
187,543294
188,430641
189,408072
190,592390
191,607216
192,572888
193,446264
194,641312
195,592533
196,452259
197,408069
198,448855
199,476454
200,449060
201,506606
202,592340
203,501925
204,452737
205,453344
206,408061
207,407113
208,543243
209,448252
210,602922
211,667498
212,612434
213,657611
214,538506
215,605538
216,407822
217,441368
218,669456
219,407908
220,641853
221,518674
222,664139
223,542866
224,594867
225,554234
226,538227
227,282656
228,592592
229,134320
230,456589
231,644364
232,456713
233,502168
234,594965
235,622103
236,435045
237,446624
238,519263
239,520980
240,605333
241,519008
242,641427
243,640462
244,572021
245,467856
246,608596
247,665759
248,136880
249,232994
250,461766
251,517060
252,461865
253,608717
254,543488
255,592677
256,430606
257,456121
258,608654
259,657566
260,425426
261,519229
262,453895
263,458550
264,429722
265,547982
266,606303
267,623381
268,453249
269,476531
270,433657
271,491624
272,425446
273,594760
274,450308
275,622766
276,642232
277,622864
278,450306
279,542674
280,543867
281,623168
282,676606
283,429780
284,596064
285,429718
286,665733
287,476123
288,543557
289,664353
290,502136
291,425856
292,457754
293,448281
294,621107
295,458155
296,594835
297,572403
298,608328
299,645307
300,606965
301,640463
302,450852
303,519144
304,434298
305,553902
306,571945
307,460576
308,571572
309,542963
310,518489
311,519240
312,471183
313,457732
314,467827
315,476589
316,430629
317,672911
318,543409
319,592593
320,453192
321,458589
322,640444
323,571948
324,429984
325,595032
326,605469
327,467726
328,502028
329,613534
330,501303
331,458003
332,608334
333,429783
334,276514
335,523648
336,276520
337,457918
338,592181
339,453264
340,676604
341,408241
342,521230
343,528748
344,572831
345,605195
346,592761
347,620454
348,435401
349,664871
350,642701
351,430941
352,533167
353,453178
354,430654
355,444935
356,408230
357,542369
358,451990
359,607229
360,451773
361,434159
362,453265
363,425492
364,642226
365,449110
366,283166
367,492841
368,607951
369,621368
370,543634
371,605228
372,548348
373,516472
374,446386
375,592848
376,444444
377,595191
378,664192
379,543056
380,656288
381,429720
382,543456
383,430638
384,434665
385,475247
386,433589
387,656302
388,455119
389,474463
390,571951
391,681911
392,429440
393,623485
394,434378
395,670036
396,446399
397,444520
398,650382
399,435618
400,458720
401,519326
402,407849
403,502462
404,594857
405,593958
406,430661
407,664069
408,501936
409,622446
410,571437
411,571893
412,501989
413,277405
414,596074
415,458708
416,453943
417,573244
418,458677
419,488768
420,628317
421,660761
422,656713
423,623149
424,429708
425,664034
426,626929
427,534910
428,534627
429,658791
430,543699
431,642003
432,660896
433,473646
434,545357
435,400010
436,150119
437,489265
438,650893
439,650633
440,663460
441,465753
442,571666
443,445213
444,543281
445,502139
446,600965
447,571946
448,150035
449,425883
450,605476
451,489567
452,425794
453,643290
454,123801
455,592869
456,505447
457,446928
458,444382
459,665152
460,462956
461,523848
462,228594
463,594815
464,489056
465,460156
466,493547
467,605400
468,459967
469,621005
470,454537
471,519128
472,650556
473,518764
474,592614
475,502102
476,444447
477,453241
478,523253
479,430634
480,582494
481,475054
482,643511
483,461212
484,595897
485,621249
486,502143
487,448178
488,543859
489,664948
490,435620
491,477229
492,544759
493,477195
494,607309
495,605359
496,545338
497,623406
498,664042
499,502273
500,572140
501,445590
502,276530
503,518445
504,489150
505,285079
506,605130
507,527054
508,502087
509,660875
510,608638
511,657053
512,642397
513,623167
514,543391
515,448656
516,592704
517,595939
518,543809
519,571439
520,543125
521,459983
522,592769
523,572750
524,488984
525,592127
526,570810
527,467850
528,542914
529,430664
530,622774
531,446213
532,571760
533,570649
534,218596
535,452657
536,429985
537,543754
538,453222
539,599998
540,661255
541,449104
542,542888
543,502162
544,516589
545,276056
546,407296
547,234194
