,0
127,https://baseballsavant.mlb.com/savant-player/657228
128,https://baseballsavant.mlb.com/savant-player/446901
129,https://baseballsavant.mlb.com/savant-player/572788
130,https://baseballsavant.mlb.com/savant-player/476270
131,https://baseballsavant.mlb.com/savant-player/277417
132,https://baseballsavant.mlb.com/savant-player/464400
133,https://baseballsavant.mlb.com/savant-player/642770
134,https://baseballsavant.mlb.com/savant-player/450312
135,https://baseballsavant.mlb.com/savant-player/628452
136,https://baseballsavant.mlb.com/savant-player/606996
137,https://baseballsavant.mlb.com/savant-player/493114
138,https://baseballsavant.mlb.com/savant-player/451661
139,https://baseballsavant.mlb.com/savant-player/642152
140,https://baseballsavant.mlb.com/savant-player/445177
141,https://baseballsavant.mlb.com/savant-player/669060
142,https://baseballsavant.mlb.com/savant-player/434638
143,https://baseballsavant.mlb.com/savant-player/641154
144,https://baseballsavant.mlb.com/savant-player/434538
145,https://baseballsavant.mlb.com/savant-player/430589
146,https://baseballsavant.mlb.com/savant-player/656954
147,https://baseballsavant.mlb.com/savant-player/594311
148,https://baseballsavant.mlb.com/savant-player/607555
149,https://baseballsavant.mlb.com/savant-player/657376
150,https://baseballsavant.mlb.com/savant-player/594736
151,https://baseballsavant.mlb.com/savant-player/453307
152,https://baseballsavant.mlb.com/savant-player/621078
153,https://baseballsavant.mlb.com/savant-player/573185
154,https://baseballsavant.mlb.com/savant-player/448165
155,https://baseballsavant.mlb.com/savant-player/571771
156,https://baseballsavant.mlb.com/savant-player/656977
157,https://baseballsavant.mlb.com/savant-player/458250
158,https://baseballsavant.mlb.com/savant-player/543698
159,https://baseballsavant.mlb.com/savant-player/600887
160,https://baseballsavant.mlb.com/savant-player/453156
161,https://baseballsavant.mlb.com/savant-player/519411
162,https://baseballsavant.mlb.com/savant-player/518567
163,https://baseballsavant.mlb.com/savant-player/622554
164,https://baseballsavant.mlb.com/savant-player/642073
165,https://baseballsavant.mlb.com/savant-player/430636
166,https://baseballsavant.mlb.com/savant-player/656913
167,https://baseballsavant.mlb.com/savant-player/449161
