player,position,team,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,url
Chris Rusin,P,CHC,--,2,0,2,0,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000,https://www.mlb.com/player/543734
Felix Hernandez,P,SEA,--,1,0,1,1,0,0,2,0,0,0,0,1.000,1.000,2.000,3.000,https://www.mlb.com/player/433587
Jason Pridie,CF,BAL,--,3,1,2,1,0,1,3,0,0,0,0,.667,.667,2.000,2.667,https://www.mlb.com/player/445095
Chris Dickerson,LF,NYY,--,2,1,1,0,0,1,2,0,0,1,0,.500,.500,2.000,2.500,https://www.mlb.com/player/447736
Shelby Miller,P,STL,--,2,0,2,1,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,https://www.mlb.com/player/571946
Darin Ruf,LF,PHI,--,5,1,3,0,1,1,4,1,2,0,0,.600,.571,1.600,2.171,https://www.mlb.com/player/573131
Brian Matusz,P,BAL,--,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/451085
Rafael Ortega,CF,COL,--,1,0,1,0,0,0,0,1,0,1,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/542364
Carlos Torres,P,COL,--,2,0,2,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/448614
Aneury Rodriguez,P,HOU,--,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/444553
Derek Lowe,P,NYY,--,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/117955
Andrew Werner,P,SD,--,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/599819
Francisco Peguero,CF,SF,--,2,1,2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/501317
Hector Noesi,P,SEA,--,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/456051
Brandon Guyer,RF,TB,--,3,1,1,0,0,1,1,0,0,0,0,.333,.333,1.333,1.667,https://www.mlb.com/player/446386
Adam Moore,C,KC,--,5,1,2,1,0,1,2,0,2,0,0,.400,.400,1.200,1.600,https://www.mlb.com/player/446192
Jurickson Profar,2B,TEX,--,5,1,2,1,0,1,2,0,2,0,0,.400,.400,1.200,1.600,https://www.mlb.com/player/595777
Omir Santos,C,COL,--,1,0,1,0,0,0,1,0,0,0,0,1.000,.500,1.000,1.500,https://www.mlb.com/player/435408
Joe Wieland,P,SD,--,2,0,1,1,0,0,2,0,1,0,0,.500,.500,1.000,1.500,https://www.mlb.com/player/543921
Mike Leake,P,CIN,--,16,3,9,2,0,1,1,0,4,0,0,.563,.563,.875,1.438,https://www.mlb.com/player/502190
Troy Tulowitzki,SS,COL,--,54,12,24,5,0,5,15,9,7,1,0,.444,.524,.815,1.339,https://www.mlb.com/player/453064
Jason Giambi,1B,COL,--,16,4,7,0,0,1,6,11,4,0,0,.438,.655,.625,1.280,https://www.mlb.com/player/114739
Jhonatan Solano,C,WSH,--,7,2,2,1,0,1,1,1,2,0,0,.286,.375,.857,1.232,https://www.mlb.com/player/500207
Dioner Navarro,C,CIN,--,23,4,9,1,1,2,7,1,2,0,0,.391,.417,.783,1.199,https://www.mlb.com/player/425900
Buster Posey,C,SF,--,146,25,63,11,1,9,41,18,22,0,1,.432,.491,.705,1.196,https://www.mlb.com/player/457763
Eric Young Jr.,RF,COL,--,30,13,12,3,1,1,3,4,4,3,1,.400,.500,.667,1.167,https://www.mlb.com/player/458913
Jordy Mercer,SS,PIT,--,9,2,4,2,0,0,0,1,0,0,0,.444,.500,.667,1.167,https://www.mlb.com/player/474568
Corey Brown,CF,WSH,--,6,1,2,0,0,1,3,0,3,0,0,.333,.333,.833,1.167,https://www.mlb.com/player/446395
Yasmani Grandal,C,SD,--,43,12,15,4,0,4,11,6,6,0,0,.349,.440,.721,1.161,https://www.mlb.com/player/518735
Didi Gregorius,SS,CIN,--,7,0,4,0,0,0,2,0,2,0,0,.571,.571,.571,1.143,https://www.mlb.com/player/544369
AJ Pollock,CF,ARI,--,14,2,4,1,1,1,2,3,1,0,1,.286,.412,.714,1.126,https://www.mlb.com/player/572041
Manny Machado,3B,BAL,--,45,8,17,2,2,3,8,2,7,1,0,.378,.404,.711,1.115,https://www.mlb.com/player/592518
Dan Johnson,1B,CWS,--,6,1,1,0,0,1,2,3,2,0,0,.167,.444,.667,1.111,https://www.mlb.com/player/430681
Nolan Reimold,LF,BAL,--,24,4,8,4,0,2,4,1,6,0,0,.333,.360,.750,1.110,https://www.mlb.com/player/460099
Donnie Murphy,3B,MIA,--,18,3,5,0,1,2,5,2,4,1,1,.278,.350,.722,1.072,https://www.mlb.com/player/430906
