player,position,team,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,url
Eli Whiteside,C,SF,--,1,1,1,1,0,0,1,0,0,0,0,1.000,1.000,2.000,3.000,https://www.mlb.com/player/434630
Alex White,P,COL,--,2,1,1,0,0,1,3,0,0,0,0,.500,.500,2.000,2.500,https://www.mlb.com/player/502229
Philip Humber,P,CWS,--,1,0,1,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/458950
Hector Gimenez,C,CWS,--,1,1,1,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/430591
Vin Mazzaro,P,KC,--,1,0,1,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/476570
Chris Schwinden,P,NYM,--,1,0,1,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/452737
B.J. Rosenberg,P,PHI,--,1,0,1,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/543725
Scott Feldman,P,TEX,--,1,0,1,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/444857
Brad Lincoln,P,TOR,--,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/453184
Justin Maxwell,CF,HOU,--,24,21,10,0,1,6,18,8,7,1,0,.417,.563,1.250,1.813,https://www.mlb.com/player/452239
Tony Abreu,2B,KC,--,13,4,10,0,1,0,10,0,1,0,0,.769,.769,.923,1.692,https://www.mlb.com/player/473234
Clete Thomas,RF,MIN,--,3,2,1,0,0,1,2,0,2,0,0,.333,.333,1.333,1.667,https://www.mlb.com/player/460004
Pete Kozma,SS,STL,--,6,2,2,0,1,1,4,2,1,0,0,.333,.500,1.167,1.667,https://www.mlb.com/player/518902
Matt McBride,1B,COL,--,7,3,4,0,0,1,6,0,1,0,0,.571,.571,1.000,1.571,https://www.mlb.com/player/473724
Carl Crawford,LF,LAD,--,7,6,3,2,0,1,6,0,0,1,0,.429,.429,1.143,1.571,https://www.mlb.com/player/408307
Henry Alejandro Rodriguez,2B,CIN,--,2,0,1,1,0,0,2,0,0,0,0,.500,.500,1.000,1.500,https://www.mlb.com/player/514719
Joe Wieland,P,SD,--,2,0,1,1,0,0,2,0,0,0,0,.500,.500,1.000,1.500,https://www.mlb.com/player/543921
Felix Hernandez,P,SEA,--,2,0,1,1,0,0,2,0,0,0,0,.500,.500,1.000,1.500,https://www.mlb.com/player/433587
Jonny Gomes,LF,OAK,--,25,12,12,1,0,2,16,14,9,2,0,.480,.690,.760,1.450,https://www.mlb.com/player/430404
Laynce Nix,RF,PHI,--,15,6,7,3,0,1,10,4,4,0,0,.467,.579,.867,1.446,https://www.mlb.com/player/425556
Nolan Reimold,LF,BAL,--,5,3,2,0,0,1,3,0,1,0,0,.400,.400,1.000,1.400,https://www.mlb.com/player/460099
Dave Sappelt,CF,CHC,--,8,3,4,2,0,0,5,3,2,0,0,.500,.636,.750,1.386,https://www.mlb.com/player/543743
Darnell McDonald,LF,NYY,--,3,6,1,1,0,0,3,4,0,0,0,.333,.714,.667,1.381,https://www.mlb.com/player/150021
Drew Butera,C,MIN,--,5,3,1,0,0,1,4,4,0,0,0,.200,.556,.800,1.356,https://www.mlb.com/player/460077
Brandon Beachy,P,ATL,--,3,1,2,0,0,0,2,0,1,0,0,.667,.667,.667,1.333,https://www.mlb.com/player/545404
Matt Adams,1B,STL,--,11,6,5,1,0,1,9,1,3,0,0,.455,.500,.818,1.318,https://www.mlb.com/player/571431
Ronny Cedeno,SS,NYM,--,17,10,7,3,0,1,12,4,3,0,0,.412,.524,.765,1.289,https://www.mlb.com/player/430592
Derek Norris,C,OAK,--,25,7,11,2,1,1,13,4,6,0,0,.440,.533,.720,1.253,https://www.mlb.com/player/519083
Collin Cowgill,RF,OAK,--,8,4,3,0,0,1,4,2,3,0,0,.375,.500,.750,1.250,https://www.mlb.com/player/518577
Leonys Martin,CF,TEX,--,9,3,3,1,2,0,5,0,1,1,0,.333,.333,.889,1.222,https://www.mlb.com/player/547982
Miguel Cabrera,1B,DET,--,50,26,21,3,0,4,29,7,7,0,0,.420,.491,.720,1.211,https://www.mlb.com/player/408234
Joey Votto,1B,CIN,--,20,16,6,2,0,1,9,19,6,0,0,.300,.650,.550,1.200,https://www.mlb.com/player/458015
Kelly Shoppach,C,NYM,--,17,5,8,1,0,0,8,8,7,1,0,.471,.667,.529,1.196,https://www.mlb.com/player/431159
George Kottaras,C,OAK,--,17,5,5,1,1,1,10,8,3,0,0,.294,.520,.647,1.167,https://www.mlb.com/player/435459
Pete Orr,2B,PHI,--,6,5,3,1,0,0,3,0,3,0,0,.500,.500,.667,1.167,https://www.mlb.com/player/434681
Evan Longoria,3B,TB,--,32,8,11,2,0,3,16,8,9,0,0,.344,.475,.688,1.163,https://www.mlb.com/player/446334
Hector Luna,1B,PIT,--,7,2,2,0,0,1,6,2,3,0,0,.286,.444,.714,1.159,https://www.mlb.com/player/425659
Miguel Montero,C,ARI,--,50,20,18,5,0,3,28,13,12,0,0,.360,.515,.640,1.155,https://www.mlb.com/player/471083
Mark Reynolds,1B,BAL,--,41,19,13,5,0,3,23,11,15,0,0,.317,.472,.659,1.130,https://www.mlb.com/player/448602
Starling Marte,LF,PIT,--,16,3,7,0,2,0,7,0,6,1,2,.438,.438,.688,1.125,https://www.mlb.com/player/516782
Chris Gimenez,C,TB,--,8,2,4,1,0,0,5,0,0,0,0,.500,.500,.625,1.125,https://www.mlb.com/player/460269
Jonathan Lucroy,C,MIL,--,43,14,17,3,0,3,28,4,5,1,1,.395,.447,.674,1.121,https://www.mlb.com/player/518960
Wilson Ramos,C,WSH,--,10,3,5,0,0,0,5,3,2,0,0,.500,.615,.500,1.115,https://www.mlb.com/player/467092
Edwin Encarnacion,1B,TOR,--,41,23,12,0,0,4,19,18,4,3,1,.293,.525,.585,1.110,https://www.mlb.com/player/429665
Mike Baxter,RF,NYM,--,16,6,5,2,1,0,6,8,4,1,0,.313,.542,.563,1.104,https://www.mlb.com/player/488689
Brett Gardner,CF,NYY,--,4,2,2,0,0,0,2,1,1,0,0,.500,.600,.500,1.100,https://www.mlb.com/player/458731
Lucas Duda,LF,NYM,--,57,14,20,4,0,4,28,12,16,0,0,.351,.464,.632,1.095,https://www.mlb.com/player/446263
Roger Bernadina,LF,WSH,--,30,9,13,4,0,0,11,5,9,2,0,.433,.528,.567,1.094,https://www.mlb.com/player/465668
Adam Lind,1B,TOR,--,42,9,14,2,1,4,22,3,8,0,0,.333,.378,.714,1.092,https://www.mlb.com/player/452252
Joe Mauer,C,MIN,--,58,27,23,5,1,1,26,15,7,0,0,.397,.521,.569,1.090,https://www.mlb.com/player/408045
Dan Uggla,2B,ATL,--,65,26,20,6,0,5,36,16,20,0,0,.308,.458,.631,1.089,https://www.mlb.com/player/462564
Steve Tolleson,3B,BAL,--,8,1,2,1,0,1,4,1,2,0,0,.250,.333,.750,1.083,https://www.mlb.com/player/476270
Josh Hamilton,LF,TEX,--,40,26,13,5,0,2,20,10,12,0,0,.325,.481,.600,1.081,https://www.mlb.com/player/285078
Mike Olt,1B,TEX,--,6,0,3,0,0,0,2,1,1,0,0,.500,.571,.500,1.071,https://www.mlb.com/player/592609
Alex Gonzalez,SS,MIL,--,10,2,3,1,0,1,6,1,1,0,0,.300,.364,.700,1.064,https://www.mlb.com/player/136460
Jesus Guzman,LF,SD,--,37,11,11,4,0,3,21,7,15,1,0,.297,.409,.649,1.058,https://www.mlb.com/player/461882
Mike Nickeas,C,NYM,--,11,8,4,0,0,1,7,0,3,0,0,.364,.417,.636,1.053,https://www.mlb.com/player/435081
Will Middlebrooks,3B,BOS,--,38,10,13,3,0,3,19,3,4,0,0,.342,.390,.658,1.048,https://www.mlb.com/player/519025
Matt Carpenter,3B,STL,--,30,12,10,4,1,1,16,4,6,0,0,.333,.412,.633,1.045,https://www.mlb.com/player/572761
Scott Moore,3B,HOU,--,25,4,9,2,0,1,10,5,6,0,0,.360,.484,.560,1.044,https://www.mlb.com/player/445599
Chris Johnson,3B,ARI,--,72,22,25,2,0,6,38,8,18,2,0,.347,.413,.625,1.038,https://www.mlb.com/player/453400
Kevin Frandsen,1B,PHI,--,21,8,8,1,0,1,9,3,4,0,0,.381,.458,.571,1.030,https://www.mlb.com/player/435623
Carlos Ruiz,C,PHI,--,51,21,18,5,0,2,24,6,9,2,0,.353,.459,.569,1.028,https://www.mlb.com/player/434563
Yoenis Cespedes,LF,OAK,--,52,12,19,1,0,3,23,8,4,3,0,.365,.468,.558,1.025,https://www.mlb.com/player/493316
