name,team,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,url
Chris Sale,CWS,--,--,3.35,--,--,--,--,--,--,191.0,165,74,71,22,13,42,191,1.08,.232,https://www.mlb.com/player/519242
Madison Bumgarner,SF,--,--,2.77,--,--,--,--,--,--,182.0,150,66,56,22,7,46,193,1.08,.221,https://www.mlb.com/player/518516
David Price,BOS,--,--,4.11,--,--,--,--,--,--,175.0,167,84,80,23,5,43,181,1.20,.253,https://www.mlb.com/player/456034
Jose Quintana,CWS,--,--,3.33,--,--,--,--,--,--,162.0,150,60,60,19,3,42,142,1.19,.247,https://www.mlb.com/player/500779
Cole Hamels,TEX,--,--,3.38,--,--,--,--,--,--,160.0,154,68,60,20,8,60,165,1.34,.252,https://www.mlb.com/player/430935
Martin Perez,TEX,--,--,4.90,--,--,--,--,--,--,159.2,181,98,87,16,4,59,73,1.50,.291,https://www.mlb.com/player/527048
J.A. Happ,TOR,--,--,2.95,--,--,--,--,--,--,155.2,132,54,51,19,5,48,134,1.16,.228,https://www.mlb.com/player/457918
Jon Lester,CHC,--,--,2.56,--,--,--,--,--,--,154.2,120,46,44,18,5,44,149,1.06,.214,https://www.mlb.com/player/452657
Matt Moore,SF,--,--,3.88,--,--,--,--,--,--,153.0,143,69,66,20,5,59,136,1.32,.246,https://www.mlb.com/player/519043
Danny Duffy,KC,--,--,3.87,--,--,--,--,--,--,149.0,143,65,64,26,6,38,150,1.21,.252,https://www.mlb.com/player/518633
Hector Santiago,MIN,--,--,4.80,--,--,--,--,--,--,144.1,134,81,77,26,3,57,113,1.32,.245,https://www.mlb.com/player/502327
CC Sabathia,NYY,--,--,4.06,--,--,--,--,--,--,144.0,144,68,65,18,4,50,114,1.35,.260,https://www.mlb.com/player/282332
Drew Smyly,TB,--,--,4.50,--,--,--,--,--,--,140.0,140,78,70,25,0,45,128,1.32,.262,https://www.mlb.com/player/592767
Gio Gonzalez,WSH,--,--,4.54,--,--,--,--,--,--,138.2,144,77,70,18,6,49,140,1.39,.267,https://www.mlb.com/player/461829
Jaime Garcia,STL,--,--,5.07,--,--,--,--,--,--,136.2,146,80,77,22,4,50,118,1.43,.273,https://www.mlb.com/player/448802
Brandon Finnegan,CIN,--,--,4.67,--,--,--,--,--,--,133.0,119,78,69,27,2,64,117,1.38,.241,https://www.mlb.com/player/605232
Carlos Rodon,CWS,--,--,4.58,--,--,--,--,--,--,131.2,147,74,67,21,4,49,131,1.49,.283,https://www.mlb.com/player/607074
Dallas Keuchel,HOU,--,--,5.07,--,--,--,--,--,--,131.1,135,76,74,18,1,42,114,1.35,.265,https://www.mlb.com/player/572971
Wade Miley,BAL,--,--,5.83,--,--,--,--,--,--,129.2,157,85,84,22,4,37,109,1.50,.301,https://www.mlb.com/player/489119
Robbie Ray,ARI,--,--,4.94,--,--,--,--,--,--,129.1,142,78,71,21,4,60,159,1.56,.272,https://www.mlb.com/player/592662
Drew Pomeranz,BOS,--,--,3.78,--,--,--,--,--,--,126.1,97,55,53,20,1,46,144,1.13,.209,https://www.mlb.com/player/519141
