id,season_played,type,W,L,ERA,G,GS,SV,IP,SO,WHIP
608641,2015,most recent,1.0,0.0,3.16,6.0,6.0,0.0,31.1,29.0,NA
608641,1 Season,career,1.0,0.0,3.16,6.0,6.0,0.0,31.1,29.0,1.21
502229,2012,most recent,2.0,9.0,5.51,23.0,20.0,0.0,98.0,64.0,NA
502229,2 Seasons,career,5.0,13.0,6.03,33.0,30.0,0.0,149.1,101.0,1.69
596295,2020,most recent,1.0,1.0,1.86,14.0,4.0,0.0,29.0,27.0,NA
596295,2 Seasons,career,7.0,3.0,3.72,43.0,15.0,0.0,104.0,94.0,1.41
518566,2019,most recent,3.0,4.0,5.92,38.0,6.0,0.0,51.2,50.0,NA
518566,3 Seasons,career,7.0,6.0,4.97,57.0,8.0,0.0,88.2,90.0,1.36
346800,2010,most recent,0.0,0.0,22.09,4.0,0.0,0.0,3.2,1.0,NA
346800,5 Seasons,career,13.0,15.0,4.29,249.0,0.0,4.0,279.1,192.0,1.51
434671,2020,most recent,4.0,5.0,6.62,11.0,11.0,0.0,53.0,43.0,NA
434671,15 Seasons,career,112.0,113.0,4.05,350.0,327.0,0.0,1948.1,1726.0,1.31
519293,2020,most recent,2.0,2.0,4.50,18.0,0.0,0.0,16.0,18.0,NA
519293,8 Seasons,career,28.0,24.0,3.56,377.0,17.0,49.0,426.2,512.0,1.24
621289,2019,most recent,0.0,0.0,7.20,4.0,0.0,0.0,5.0,3.0,NA
621289,2 Seasons,career,2.0,2.0,5.86,26.0,1.0,0.0,35.1,38.0,1.25
518633,2020,most recent,4.0,4.0,4.95,12.0,11.0,0.0,56.1,57.0,NA
518633,10 Seasons,career,64.0,65.0,4.02,221.0,192.0,1.0,1111.1,983.0,1.32
456027,2016,most recent,5.0,7.0,4.66,64.0,0.0,2.0,65.2,68.0,NA
456027,9 Seasons,career,30.0,41.0,4.82,209.0,80.0,3.0,586.2,444.0,1.44
