id,Season,Pitches,Zone %,Zone Swing %,Zone Contact %,Chase %,Chase Contact %,Edge %,1st Pitch Strike %,Swing %,Whiff %,Meatball %,Meatball Swing %
592773,2020,189.0,43.9,77.1,79.7,23.6,32.0,38.1,58.3,47.1,33.7,9.0,94.1
592773,ALL,2993.0,45.1,72.3,74.7,28.5,46.5,39.9,58.9,48.3,34.5,6.8,84.8
592773,MLB,48.4,66.1,82.8,28.2,59.4,42.6,60.6,46.6,24.5,7.2,75.1,NA
465065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
607231,2016,943.0,46.9,67.9,84.0,25.5,60.9,42.1,59.9,45.4,22.9,6.8,75.0
607231,2017,290.0,46.2,70.1,83.0,25.0,59.0,48.3,60.5,45.9,24.1,5.9,88.2
607231,2018,1875.0,51.0,65.6,79.4,26.3,58.5,42.7,61.4,46.3,26.4,8.6,80.2
607231,2019,1107.0,50.7,68.0,79.4,26.2,54.3,45.7,57.6,47.1,27.4,6.4,75.4
607231,2020,240.0,52.1,60.8,75.0,27.0,48.4,43.3,70.5,44.6,32.7,8.3,60.0
607231,ALL,4455.0,49.8,66.7,80.4,26.0,57.5,43.7,60.6,46.2,26.1,7.5,77.4
607231,MLB,48.4,66.1,82.8,28.2,59.4,42.6,60.6,46.6,24.5,7.2,75.1,NA
457567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
591701,2017,129.0,48.8,60.3,84.2,22.7,73.3,35.7,56.3,41.1,18.9,6.2,87.5
591701,ALL,129.0,48.8,60.3,84.2,22.7,73.3,35.7,56.3,41.1,18.9,6.2,87.5
591701,MLB,48.4,66.1,82.8,28.2,59.4,42.6,60.6,46.6,24.5,7.2,75.1,NA
460283,2015,55.0,40.0,59.1,92.3,24.2,37.5,34.5,60.0,38.2,28.6,0.0,NA
460283,2016,728.0,48.1,60.3,77.7,24.6,62.4,41.5,60.7,41.8,27.0,6.6,70.8
460283,2017,914.0,43.7,56.6,77.7,26.4,48.9,40.9,55.8,39.8,33.0,6.0,75.9
460283,2018,779.0,48.9,62.7,77.0,16.1,68.8,39.7,59.0,38.9,24.8,8.0,72.6
460283,2019,558.0,44.4,62.1,79.9,28.7,61.8,41.0,58.9,43.5,26.7,6.5,66.7
460283,ALL,3034.0,46.2,60.2,78.1,23.9,58.1,40.6,58.5,40.7,28.2,6.6,72.0
460283,MLB,48.4,66.1,82.8,28.2,59.4,42.6,60.6,46.6,24.5,7.2,75.1,NA
656887,2018,636.0,47.6,66.0,78.5,25.5,52.9,41.4,57.3,44.8,29.1,7.1,75.6
656887,2019,612.0,47.9,70.3,81.6,24.8,62.0,44.0,58.7,46.6,23.9,6.7,73.2
656887,2020,133.0,34.6,67.4,83.9,33.3,55.2,41.4,50.0,45.1,30.0,3.8,80.0
656887,ALL,1381.0,46.5,68.1,80.3,26.1,57.0,42.5,57.3,45.6,26.8,6.6,74.7
656887,MLB,48.4,66.1,82.8,28.2,59.4,42.6,60.6,46.6,24.5,7.2,75.1,NA
502009,2015,1804.0,51.2,67.5,82.5,29.3,64.7,42.0,61.5,48.9,22.7,8.7,70.7
502009,2016,1184.0,47.2,65.8,90.5,26.9,66.7,46.0,56.6,45.3,17.0,5.8,85.5
502009,2017,262.0,44.1,73.0,79.8,25.3,59.5,42.9,57.1,46.2,26.4,5.4,92.9
502009,ALL,3250.0,49.2,67.3,85.0,28.0,65.0,43.5,59.5,47.4,21.0,7.4,76.3
502009,MLB,48.4,66.1,82.8,28.2,59.4,42.6,60.6,46.6,24.5,7.2,75.1,NA
451775,2015,985.0,47.4,72.8,76.5,30.7,61.0,43.0,59.5,50.7,28.5,5.8,80.7
451775,2016,660.0,44.8,70.3,75.5,28.6,60.6,40.9,59.5,47.3,29.5,5.6,81.1
451775,ALL,1645.0,46.4,71.8,76.1,29.8,60.8,42.2,59.5,49.3,28.9,5.7,80.9
451775,MLB,48.4,66.1,82.8,28.2,59.4,42.6,60.6,46.6,24.5,7.2,75.1,NA
493157,2015,633.0,44.4,68.7,68.4,38.4,50.4,41.5,73.1,51.8,39.0,5.1,65.6
493157,2016,769.0,46.8,72.8,79.4,37.2,52.6,44.3,65.2,53.8,30.4,6.8,67.3
493157,2017,676.0,55.4,73.9,72.0,29.3,56.8,45.1,72.5,54.3,32.2,7.6,80.4
493157,ALL,2078.0,48.8,72.1,73.7,35.3,52.8,43.7,70.1,53.4,33.5,6.5,71.9
493157,MLB,48.4,66.1,82.8,28.2,59.4,42.6,60.6,46.6,24.5,7.2,75.1,NA
607200,2017,298.0,52.0,57.4,85.4,25.2,80.6,51.3,71.1,41.9,16.0,5.7,58.8
