id,Year,xwOBA,xBA,xSLG,xISO,xOBP,Brl,Brl%,EV,HardHit%,K%,BB%,Whiff%,xERA,FB Velo,FB Spin,CB Spin
493157,2015.0, , , , , , , , , , , , , ,4.0,90.0,NA
493157,2016.0, , , , , , , , , , , , , ,2.0,89.0,NA
493157,2017.0, , , , , , , , , , , , , ,3.0,80.0,NA
607200,2017.0, , , , , , , , , , , , , ,49.0,1.0,29.0
607200,2018.0, 3, 8, 7, 12, 6, 60, 13, 26, 1, 44, 21, 38, 3,50.0,0.0,31.0
607200,2019.0, 1, 1, 5, 19, 1, 44, 41, 33, 22, 0, 22, 1, 1,22.0,1.0,31.0
607200,2020.0, 17, 15, 22, 34, 16, 8, 32, 27, 33, 1, 35, 1, 17,41.0,0.0,20.0
545001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
664869,2018.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
642564,2017.0, 28, 56, 59, 56, 8, 66, 27, 31, 11, 83, 6, 86, 28,88.0,80.0,74.0
615698,2019.0, 40, 22, 34, 47, 49, 37, 47, 70, 81, 27, 76, 24, 40,73.0,14.0,26.0
615698,2020.0, 51, 39, 44, 46, 55, 38, 43, 91, 83, 49, 82, 37, 51,78.0,25.0,NA
596133,2016.0, , , , , , , , , , , , , ,36.0,46.0,12.0
596133,2017.0, 74, 56, 71, 74, 76, 71, 55, 72, 40, 86, 77, 43, 74,55.0,52.0,12.0
596133,2018.0, 23, 21, 26, 33, 26, 24, 51, 63, 53, 35, 39, 34, 23,58.0,70.0,18.0
596133,2019.0, 51, 37, 39, 46, 64, 69, 64, 16, 12, 70, 89, 52, 51,41.0,57.0,15.0
596133,2020.0, 39, 35, 25, 21, 55, 6, 22, 24, 21, 50, 62, 37, 39,51.0,86.0,20.0
460597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
457935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
623364,2018.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
623364,2019.0, , , , , , , , , , , , , ,63.0,42.0,27.0
623364,2020.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
622663,2015.0, 39, 50, 45, 40, 44, 62, 31, 81, 72, 62, 26, 51, 39,88.0,69.0,NA
622663,2016.0, 23, 22, 26, 27, 26, 42, 14, 19, 4, 53, 46, 45, 23,93.0,74.0,NA
622663,2017.0, 87, 84, 86, 81, 91, 13, 46, 49, 47, 89, 81, 77, 87,97.0,68.0,NA
622663,2018.0, 63, 54, 50, 46, 76, 6, 25, 46, 55, 82, 86, 62, 63,98.0,79.0,NA
622663,2019.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
596057,2015.0, 46, 58, 33, 17, 63, 69, 52, 56, 59, 33, 47, 51, 46,49.0,92.0,86.0
596057,2016.0, 40, 41, 39, 41, 57, 49, 21, 11, 9, 69, 60, 67, 40,64.0,92.0,67.0
596057,2017.0, 13, 17, 10, 10, 16, 24, 16, 8, 11, 28, 29, 37, 13,56.0,87.0,53.0
596057,2018.0, , , , , , , , , , , , , ,15.0,84.0,48.0
596057,2019.0, 27, 22, 18, 16, 50, 7, 18, 5, 6, 30, 78, 31, 27,19.0,73.0,56.0
596057,2020.0, 62, 56, 45, 36, 81, 46, 44, 13, 11, 54, 81, 54, 62,45.0,85.0,66.0
592767,2015.0, 31, 62, 12, 2, 71, 35, 0, 43, 26, 88, 51, 73, 31,8.0,38.0,NA
592767,2016.0, 68, 71, 50, 30, 82, 10, 33, 69, 76, 63, 69, 63, 68,12.0,34.0,NA
592767,2019.0, 9, 30, 7, 2, 19, 16, 10, 39, 31, 55, 17, 52, 9,11.0,12.0,0.0
592767,2020.0, 65, 66, 57, 48, 75, 33, 4, 13, 11, 97, 57, 89, 65,43.0,45.0,10.0
622783,2018.0, , , , , , , , , , , , , ,81.0,59.0,20.0
622783,2019.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
