id,Year,Pitch,Team,Hand,#,MPH,Inches of Drop,vs Avg,% vs Avg,Inches of Break,vs Avg,% Break vs Avg
519242,2019.0,Changeup, BOS , L,384.0,85.2,38.7,5.2,16.0,19.0,3.8,25.0
519242,2018.0,4-Seamer, BOS , L,984.0,95.2,19.0,-3.2,-20.0,14.5,5.9,69.0
519242,2018.0,Sinker, BOS , L,240.0,93.2,28.0,4.0,17.0,19.4,3.9,25.0
519242,2018.0,Slider, BOS , L,871.0,79.7,49.0,5.0,11.0,14.5,4.5,45.0
519242,2018.0,Changeup, BOS , L,428.0,87.0,36.8,3.3,10.0,19.3,4.0,26.0
519242,2017.0,Slider, BOS , L,1127.0,79.8,47.8,4.0,9.0,13.1,4.3,48.0
519242,2017.0,Sinker, BOS , L,390.0,93.6,26.1,4.1,19.0,18.6,3.1,20.0
519242,2017.0,4-Seamer, BOS , L,1263.0,94.7,17.8,-3.2,-22.0,14.8,5.8,64.0
519242,2017.0,Changeup, BOS , L,644.0,86.8,31.0,0.7,2.0,18.5,3.9,27.0
519242,2016.0,Sinker, CWS , L,1828.0,93.7,20.3,0.1,0.0,16.9,1.9,12.0
519242,2016.0,Slider, CWS , L,834.0,79.1,49.6,5.2,12.0,10.5,2.6,34.0
519242,2016.0,Changeup, CWS , L,646.0,86.8,29.5,-0.5,-2.0,18.8,4.4,31.0
519242,2015.0,Slider, CWS , L,640.0,79.4,46.9,4.3,10.0,11.1,3.7,50.0
519242,2015.0,Sinker, CWS , L,1674.0,95.2,18.2,-1.4,-7.0,17.4,1.5,10.0
519242,2015.0,Changeup, CWS , L,893.0,86.3,29.3,-1.7,-6.0,19.6,4.3,28.0
519242,2015.0,Splitter, CWS , L,1.0,82.1,43.1,6.2,17.0,9.3,-19.9,-187.0
519242,2015.0,4-Seamer, CWS , L,5.0,95.7,14.0,0.0,0.0,11.0,1.2,12.0
571704,2020.0,Slider, TOR , R,40.0,84.2,34.7,-2.4,-6.0,1.5,-6.6,-129.0
571704,2020.0,4-Seamer, TOR , R,29.0,93.1,16.3,-0.3,-2.0,10.7,3.4,46.0
571704,2019.0,4-Seamer, TOR , R,397.0,96.9,13.3,1.2,9.0,9.9,1.7,21.0
571704,2019.0,Sinker, TOR , R,13.0,97.4,16.5,-4.0,-19.0,13.3,-2.3,-15.0
571704,2019.0,Slider, TOR , R,399.0,86.4,35.1,-0.8,-2.0,0.9,-5.3,-120.0
571704,2018.0,4-Seamer, TOR , R,449.0,97.3,12.9,1.7,11.0,9.6,1.6,19.0
571704,2018.0,Sinker, TOR , R,2.0,97.4,16.9,-3.2,-16.0,14.1,-0.8,-6.0
571704,2018.0,Slider, TOR , R,312.0,86.7,36.0,-0.7,-2.0,0.4,-4.4,-110.0
571704,2017.0,Changeup, HOU , R,1.0,85.6,40.4,10.7,36.0,11.0,-2.4,-18.0
571704,2017.0,Slider, HOU , R,444.0,87.0,38.8,4.7,14.0,0.9,-3.6,-132.0
571704,2017.0,4-Seamer, HOU , R,500.0,98.2,12.1,-0.4,-3.0,9.5,0.9,11.0
571704,2016.0,Slider, HOU , R,506.0,86.6,38.8,5.2,15.0,0.7,-1.7,-71.0
571704,2016.0,4-Seamer, HOU , R,553.0,97.9,11.8,-0.3,-3.0,4.5,-4.6,-51.0
571704,2016.0,Sinker, HOU , R,4.0,98.8,15.5,-1.3,-7.0,12.9,-1.3,-9.0
571704,2015.0,Sinker, PHI , R,8.0,94.4,15.0,-3.9,-21.0,12.6,-2.2,-15.0
571704,2015.0,4-Seamer, PHI , R,712.0,97.2,10.5,1.6,13.0,7.9,-1.4,-15.0
571704,2015.0,Slider, PHI , R,439.0,86.6,34.5,1.1,3.0,2.9,-5.6,-207.0
349193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
572208,2017.0,Slider, HOU , L,20.0,79.8,43.9,1.0,2.0,5.0,-4.4,-47.0
572208,2017.0,Changeup, HOU , L,11.0,82.3,42.0,7.9,23.0,7.7,-6.1,-44.0
572208,2017.0,4-Seamer, HOU , L,54.0,91.5,17.7,-1.0,-6.0,7.5,-1.3,-14.0
572208,2016.0,4-Seamer, BAL , L,73.0,93.6,14.6,-0.1,-1.0,13.5,4.4,48.0
572208,2016.0,Changeup, BAL , L,30.0,82.3,40.7,8.1,25.0,11.1,-2.1,-16.0
493159,2015.0,Slider, CHC , L,68.0,82.4,33.5,-5.6,-14.0,4.0,-1.2,-24.0
493159,2015.0,Curveball, CHC , L,37.0,73.7,52.2,-7.9,-13.0,5.4,-4.5,-46.0
493159,2015.0,4-Seamer, CHC , L,265.0,89.2,15.2,3.6,19.0,8.0,-1.0,-11.0
493159,2015.0,Cutter, CHC , L,28.0,85.9,20.2,9.0,31.0,3.0,-4.6,-280.0
493159,2015.0,Sinker, CHC , L,54.0,88.3,19.6,-5.7,-23.0,14.4,-0.9,-6.0
493159,2015.0,Changeup, CHC , L,74.0,81.8,36.1,1.4,4.0,9.5,-4.8,-34.0
606995,2018.0,Slider, CHC , R,57.0,88.1,35.7,3.2,10.0,2.0,-1.8,-47.0
606995,2018.0,4-Seamer, CHC , R,147.0,96.4,15.1,-0.6,-4.0,12.4,4.4,55.0
606995,2018.0,Changeup, CHC , R,1.0,89.5,24.6,-4.0,-14.0,16.5,2.2,15.0
477003,2016.0,Changeup, NYM , L,203.0,83.2,30.6,-1.0,-3.0,11.5,-2.0,-15.0
477003,2016.0,Cutter, NYM , L,459.0,86.7,27.5,0.3,1.0,1.5,0.5,46.0
477003,2016.0,Sinker, NYM , L,581.0,89.5,25.0,0.9,4.0,14.8,-0.7,-5.0
477003,2016.0,Curveball, NYM , L,175.0,74.9,57.2,-1.6,-3.0,5.7,-3.8,-40.0
477003,2016.0,4-Seamer, NYM , L,520.0,89.9,19.3,-1.5,-8.0,7.8,-1.3,-14.0
477003,2016.0,Slider, NYM , L,10.0,83.0,31.0,-5.6,-15.0,1.1,-2.4,-69.0
477003,2015.0,Curveball, NYM , L,402.0,75.0,56.3,-1.9,-3.0,5.9,-2.9,-33.0
477003,2015.0,Slider, NYM , L,64.0,80.6,40.5,-0.4,-1.0,3.3,-1.8,-36.0
477003,2015.0,4-Seamer, NYM , L,685.0,89.6,20.5,-3.1,-18.0,7.1,-1.4,-17.0
477003,2015.0,Sinker, NYM , L,726.0,89.5,26.0,1.5,6.0,14.9,-0.5,-3.0
477003,2015.0,Cutter, NYM , L,424.0,87.6,25.3,1.1,4.0,0.5,-1.6,-152.0
