id,Year,team,league,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
276912,2002.0,ANA,AL,188.0,5.0,3.0,2.20,29.0,1.0,0.0,49.0,31.0,13.0,12.0,4.0,21.0,30.0,1.06
276912,2003.0,ANA,AL,609.0,5.0,6.0,2.85,44.0,13.0,1.0,148.1,138.0,56.0,47.0,12.0,38.0,111.0,1.19
276912,2004.0,ANA,AL,454.0,8.0,2.0,3.33,60.0,0.0,4.0,105.1,97.0,42.0,39.0,6.0,40.0,109.0,1.30
276912,2005.0,LAA,AL,375.0,10.0,11.0,2.75,78.0,0.0,7.0,91.2,66.0,33.0,28.0,5.0,37.0,98.0,1.12
276912,2006.0,LAA,AL,351.0,7.0,7.0,2.87,74.0,0.0,2.0,87.2,70.0,30.0,28.0,8.0,24.0,84.0,1.07
276912,2007.0,LAA,AL,320.0,4.0,5.0,3.86,71.0,0.0,2.0,77.0,62.0,36.0,33.0,7.0,33.0,77.0,1.23
276912,2008.0,LAA,AL,270.0,6.0,4.0,2.70,64.0,0.0,4.0,63.1,56.0,29.0,19.0,6.0,29.0,64.0,1.34
276912,2009.0,LAA,AL,83.0,1.0,3.0,6.62,20.0,0.0,1.0,17.2,16.0,14.0,13.0,1.0,15.0,12.0,1.75
276912,2010.0,LAA,AL,218.0,0.0,3.0,5.28,43.0,1.0,0.0,46.0,45.0,31.0,27.0,6.0,34.0,39.0,1.72
425646,2003.0,MON,NL,288.0,10.0,3.0,2.92,65.0,0.0,5.0,71.0,65.0,27.0,23.0,8.0,13.0,46.0,1.10
425646,2004.0,MON,NL,367.0,6.0,12.0,2.69,81.0,0.0,2.0,90.1,92.0,30.0,27.0,6.0,15.0,63.0,1.18
425646,2005.0,WSH,NL,293.0,8.0,7.0,2.66,68.0,0.0,1.0,71.0,75.0,23.0,21.0,7.0,14.0,40.0,1.25
425646,2007.0,WSH,NL,181.0,2.0,2.0,3.19,44.0,0.0,1.0,42.1,43.0,16.0,15.0,5.0,12.0,28.0,1.30
425646,2008.0,2,Teams,335.0,2.0,10.0,5.71,81.0,0.0,9.0,75.2,86.0,53.0,48.0,9.0,24.0,50.0,1.45
425646,2008.0,WSH,NL,257.0,1.0,8.0,5.77,62.0,0.0,0.0,57.2,63.0,41.0,37.0,6.0,22.0,36.0,1.47
425646,2008.0,NYM,NL,78.0,1.0,2.0,5.50,19.0,0.0,9.0,18.0,23.0,12.0,11.0,3.0,2.0,14.0,1.39
425646,2009.0,2,Teams,180.0,1.0,5.0,5.63,38.0,0.0,0.0,40.0,50.0,28.0,25.0,5.0,14.0,28.0,1.60
425646,2009.0,MIN,AL,138.0,1.0,2.0,4.18,28.0,0.0,0.0,32.1,38.0,18.0,15.0,4.0,8.0,21.0,1.42
425646,2009.0,FLA,NL,42.0,0.0,3.0,11.74,10.0,0.0,0.0,7.2,12.0,10.0,10.0,1.0,6.0,7.0,2.35
425646,2011.0,NYY,AL,233.0,2.0,2.0,2.09,52.0,0.0,0.0,56.0,51.0,17.0,13.0,5.0,20.0,39.0,1.27
425646,2012.0,BAL,AL,320.0,5.0,5.0,2.64,66.0,0.0,1.0,75.0,81.0,27.0,22.0,7.0,14.0,51.0,1.27
425646,2013.0,2,Teams,143.0,2.0,1.0,3.27,39.0,0.0,0.0,33.0,38.0,12.0,12.0,2.0,13.0,22.0,1.55
425646,2013.0,BAL,AL,10.0,1.0,0.0,9.00,2.0,0.0,0.0,2.0,4.0,2.0,2.0,1.0,0.0,2.0,2.00
425646,2013.0,ATL,NL,133.0,1.0,1.0,2.90,37.0,0.0,0.0,31.0,34.0,10.0,10.0,1.0,13.0,20.0,1.52
122987,1995.0,BOS,AL,100.0,1.0,2.0,5.96,8.0,3.0,0.0,22.2,29.0,15.0,15.0,4.0,5.0,19.0,1.50
122987,1996.0,BOS,AL,107.0,1.0,1.0,7.54,8.0,4.0,0.0,22.2,29.0,19.0,19.0,3.0,13.0,13.0,1.85
122987,1997.0,BOS,AL,503.0,7.0,3.0,5.69,23.0,22.0,0.0,112.1,140.0,75.0,71.0,12.0,36.0,67.0,1.57
122987,1998.0,2,Teams,345.0,1.0,7.0,5.72,17.0,14.0,0.0,78.2,91.0,56.0,50.0,13.0,22.0,51.0,1.44
122987,1998.0,ARI,NL,299.0,1.0,7.0,6.68,13.0,13.0,0.0,66.0,82.0,55.0,49.0,12.0,21.0,39.0,1.56
122987,1998.0,KC,AL,46.0,0.0,0.0,0.71,4.0,1.0,0.0,12.2,9.0,1.0,1.0,1.0,1.0,12.0,0.79
122987,1999.0,KC,AL,887.0,10.0,12.0,4.53,32.0,32.0,0.0,208.2,222.0,113.0,105.0,28.0,62.0,103.0,1.36
122987,2000.0,KC,AL,948.0,10.0,9.0,4.94,35.0,33.0,0.0,217.0,240.0,121.0,119.0,36.0,84.0,128.0,1.49
122987,2001.0,KC,AL,946.0,10.0,14.0,4.37,34.0,34.0,0.0,218.1,227.0,120.0,106.0,26.0,74.0,120.0,1.38
122987,2002.0,KC,AL,912.0,9.0,16.0,5.32,33.0,33.0,0.0,208.0,229.0,134.0,123.0,32.0,68.0,109.0,1.43
122987,2003.0,2,Teams,873.0,13.0,11.0,4.19,32.0,31.0,0.0,204.0,217.0,98.0,95.0,23.0,51.0,110.0,1.31
122987,2003.0,PIT,NL,597.0,10.0,7.0,3.57,21.0,21.0,0.0,141.0,147.0,57.0,56.0,11.0,31.0,78.0,1.26
122987,2003.0,BOS,AL,276.0,3.0,4.0,5.57,11.0,10.0,0.0,63.0,70.0,41.0,39.0,12.0,20.0,32.0,1.43
122987,2004.0,STL,NL,811.0,16.0,9.0,4.16,31.0,31.0,0.0,188.0,192.0,98.0,87.0,25.0,65.0,110.0,1.37
122987,2005.0,STL,NL,834.0,16.0,10.0,3.57,32.0,32.0,0.0,194.1,206.0,93.0,77.0,24.0,63.0,114.0,1.38
122987,2006.0,STL,NL,837.0,12.0,7.0,4.12,32.0,32.0,0.0,190.0,207.0,100.0,87.0,21.0,69.0,104.0,1.45
122987,2007.0,MIL,NL,919.0,12.0,12.0,4.62,34.0,34.0,0.0,206.2,243.0,113.0,106.0,18.0,68.0,114.0,1.50
122987,2008.0,MIL,NL,780.0,10.0,10.0,4.96,31.0,31.0,0.0,177.2,207.0,110.0,98.0,30.0,67.0,90.0,1.54
122987,2009.0,MIL,NL,748.0,7.0,12.0,5.29,30.0,30.0,0.0,161.2,200.0,106.0,95.0,25.0,74.0,80.0,1.69
122987,2010.0,2,Teams,452.0,3.0,8.0,5.06,30.0,15.0,0.0,101.1,130.0,61.0,57.0,13.0,37.0,51.0,1.65
122987,2010.0,STL,NL,304.0,3.0,6.0,3.84,15.0,13.0,0.0,70.1,80.0,32.0,30.0,9.0,25.0,33.0,1.49
122987,2010.0,MIL,NL,148.0,0.0,2.0,7.84,15.0,2.0,0.0,31.0,50.0,29.0,27.0,4.0,12.0,18.0,2.00
