id,type,proportion
456501,Curveball,19.8%
456501,Sinker,11.5%
456501,Slider,9.5%
572020,4-Seam Fastball,56.7%
572020,Curveball,15.7%
572020,Cutter,14.9%
572020,Changeup,12.6%
606160,4-Seam Fastball,47.8%
606160,Sinker,24.2%
606160,Changeup,20.8%
606160,Slider,7.3%
534576,NA,NA
650644,Sinker,28.9%
650644,Cutter,28.7%
650644,Curveball,21.2%
650644,Slider,9.5%
650644,Changeup,9.2%
650644,4-Seam Fastball,2.5%
502260,4-Seam Fastball,65%
502260,Slider,20.4%
502260,Sinker,14.6%
592665,4-Seam Fastball,67.6%
592665,Slider,29.4%
592665,Sinker,3%
461872,Slider,59.4%
461872,4-Seam Fastball,35.9%
461872,Sinker,4.7%
542289,Changeup,35.8%
542289,4-Seam Fastball,32.8%
542289,Slider,17.9%
542289,Sinker,13.4%
592879,4-Seam Fastball,46%
592879,Curveball,26.9%
592879,Slider,21.8%
592879,Changeup,5.3%
543136,NA,NA
448287,NA,NA
276542,4-Seam Fastball,49.1%
276542,Changeup,27.9%
276542,Slider,12.5%
276542,Sinker,10.3%
276542,Curveball,0.1%
571584,4-Seam Fastball,57.9%
571584,Slider,30.3%
571584,Curveball,11.6%
571584,Sinker,0.2%
594792,4-Seam Fastball,38.3%
594792,Slider,33.3%
594792,Sinker,21.7%
594792,Changeup,6.7%
611093,Changeup,47.6%
611093,4-Seam Fastball,42.9%
611093,Slider,9.5%
445060,Sinker,29.6%
445060,Slider,26.1%
445060,4-Seam Fastball,19.6%
445060,Split Finger,15.1%
445060,Curveball,9.5%
476601,NA,NA
622505,Sinker,75%
622505,Changeup,15.9%
622505,Slider,9.2%
669214,4-Seam Fastball,54.4%
669214,Curveball,21.9%
669214,Slider,21.3%
669214,Changeup,2.4%
502304,4-Seam Fastball,58%
502304,Slider,37.7%
502304,Changeup,4.3%
435140,NA,NA
457812,NA,NA
606930,Cutter,52.4%
606930,4-Seam Fastball,46.6%
606930,Changeup,1%
607473,Slider,36.3%
607473,4-Seam Fastball,34.7%
607473,Sinker,17.3%
607473,Changeup,11.7%
519076,Sinker,28.3%
519076,Slider,27%
519076,4-Seam Fastball,23.8%
519076,Curveball,20.1%
519076,Changeup,0.7%
641729,4-Seam Fastball,62.2%
641729,Slider,30.6%
641729,Changeup,7.2%
542609,4-Seam Fastball,60.9%
542609,Slider,36.3%
542609,Changeup,2.7%
542609,Sinker,0.1%
573109,Cutter,31.8%
573109,4-Seam Fastball,28.8%
573109,Changeup,15.2%
573109,Slider,15.2%
573109,Sinker,9.1%
594772,4-Seam Fastball,42%
594772,Slider,27%
594772,Curveball,11.5%
594772,Changeup,9.7%
594772,Sinker,9.7%
572788,4-Seam Fastball,48.3%
572788,Slider,17.7%
572788,Changeup,14.1%
572788,Sinker,13.9%
572788,Curveball,6%
657228,4-Seam Fastball,37.9%
657228,Slider,35.7%
657228,Changeup,14.6%
657228,Sinker,11.9%
277417,NA,NA
464400,NA,NA
642770,Sinker,67.7%
642770,Slider,27.2%
642770,Changeup,4.7%
642770,4-Seam Fastball,0.4%
628452,4-Seam Fastball,38.2%
628452,Slider,33.2%
628452,Changeup,20.8%
628452,Sinker,7.8%
642152,4-Seam Fastball,31.4%
642152,Sinker,28.1%
642152,Cutter,23.2%
642152,Curveball,10.5%
642152,Changeup,6.8%
451661,4-Seam Fastball,72.8%
451661,Curveball,21.2%
451661,Changeup,6%
669060,4-Seam Fastball,46%
669060,Slider,18.8%
669060,Sinker,16.9%
669060,Changeup,11.5%
669060,Curveball,6.7%
434638,NA,NA
430589,Sinker,70.5%
430589,Slider,28.7%
430589,4-Seam Fastball,0.8%
641154,4-Seam Fastball,32.2%
641154,Changeup,29.9%
641154,Sinker,22.5%
641154,Cutter,8.4%
641154,Curveball,7%
656954,Sinker,47.4%
656954,Slider,33.5%
656954,Changeup,18.4%
656954,4-Seam Fastball,0.7%
434538,Sinker,35.1%
434538,Slider,30.4%
434538,Changeup,26%
434538,4-Seam Fastball,8.5%
607555,Sinker,57.7%
607555,Changeup,25.4%
607555,Slider,16.2%
607555,4-Seam Fastball,0.8%
594736,4-Seam Fastball,43%
594736,Changeup,37.3%
594736,Curveball,18.7%
594736,Cutter,1%
594311,4-Seam Fastball,48.7%
594311,Slider,28.4%
594311,Sinker,22.9%
453307,4-Seam Fastball,47.2%
453307,Changeup,21.3%
453307,Cutter,21.3%
453307,Slider,10.2%
448165,NA,NA
458250,NA,NA
656977,4-Seam Fastball,54.3%
656977,Slider,37%
656977,Cutter,7.4%
656977,Changeup,1.2%
573185,4-Seam Fastball,52.2%
573185,Changeup,24.1%
573185,Slider,20%
573185,Curveball,3.5%
573185,Sinker,0.2%
453156,Sinker,54%
453156,Changeup,33%
453156,Slider,10.5%
453156,Curveball,2.4%
519411,4-Seam Fastball,70.2%
519411,Curveball,19.3%
519411,Changeup,8.8%
519411,Sinker,1.8%
543698,Sinker,84.3%
543698,Curveball,15.7%
518567,Cutter,52.3%
518567,Changeup,34%
518567,Curveball,11.8%
518567,4-Seam Fastball,2%
430636,NA,NA
622554,4-Seam Fastball,59.7%
622554,Slider,34.1%
622554,Changeup,4.7%
622554,Sinker,1.5%
449161,NA,NA
642073,Slider,50.9%
642073,4-Seam Fastball,36.4%
642073,Curveball,6.3%
642073,Changeup,6.3%
543805,NA,NA
461325,Changeup,34.6%
461325,Split Finger,20.4%
461325,Sinker,19.7%
461325,4-Seam Fastball,18.3%
461325,Curveball,7%
608566,4-Seam Fastball,37.8%
608566,Curveball,25%
608566,Slider,17.4%
608566,Sinker,14.4%
608566,Changeup,5.3%
641771,Sinker,42.1%
641771,Slider,34.5%
641771,Curveball,17.6%
641771,Changeup,4.2%
641771,4-Seam Fastball,1.6%
543272,Slider,50.7%
543272,4-Seam Fastball,35.5%
543272,Sinker,12.4%
543272,Curveball,1.4%
657610,Changeup,36.8%
657610,Sinker,31.9%
657610,Slider,26.1%
657610,4-Seam Fastball,5.2%
571825,NA,NA
571963,Cutter,52.6%
571963,4-Seam Fastball,28.1%
571963,Slider,19.3%
429901,NA,NA
444836,Cutter,42.6%
444836,4-Seam Fastball,31.7%
444836,Sinker,16.8%
444836,Slider,5%
444836,Changeup,4%
469690,NA,NA
605156,Sinker,28%
605156,4-Seam Fastball,25.7%
605156,Slider,22.4%
605156,Changeup,20.6%
605156,Curveball,3.3%
571539,Sinker,57.8%
571539,Cutter,21.1%
571539,Forkball,19.5%
571539,Changeup,1.6%
448179,Curveball,45.6%
448179,4-Seam Fastball,44.3%
448179,Slider,3.7%
448179,Cutter,3.6%
448179,Sinker,2.6%
448179,Changeup,0.3%
408072,NA,NA
543294,Sinker,34.4%
543294,Changeup,28.9%
543294,4-Seam Fastball,20.1%
543294,Curveball,16.6%
430641,Slider,41%
430641,4-Seam Fastball,31.3%
430641,Sinker,18.4%
430641,Curveball,9%
430641,Changeup,0.2%
592390,4-Seam Fastball,57.9%
592390,Slider,32.5%
592390,Curveball,9.6%
607216,Slider,44.9%
607216,Sinker,34.7%
607216,4-Seam Fastball,18.4%
607216,Changeup,2%
446264,NA,NA
572888,Sinker,37.7%
572888,Cutter,25.4%
572888,Slider,21.9%
572888,Changeup,13.3%
572888,4-Seam Fastball,1.8%
592533,4-Seam Fastball,34%
592533,Curveball,26%
592533,Sinker,16%
592533,Cutter,14%
592533,Changeup,10%
452259,NA,NA
641312,Slider,53.4%
641312,4-Seam Fastball,38.6%
641312,Changeup,6.9%
641312,Sinker,1.1%
448855,4-Seam Fastball,33.2%
448855,Sinker,27.5%
448855,Curveball,21.8%
448855,Split Finger,17.6%
449060,NA,NA
476454,4-Seam Fastball,49%
476454,Curveball,41.1%
476454,Slider,10%
506606,NA,NA
452737,NA,NA
501925,Slider,41%
501925,Sinker,31.1%
501925,4-Seam Fastball,26.5%
501925,Changeup,1.5%
592340,4-Seam Fastball,49.8%
592340,Changeup,32.7%
592340,Curveball,16.8%
592340,Sinker,0.6%
408061,4-Seam Fastball,55.2%
408061,Changeup,35.5%
