id,type,proportion
573244,Sinker,0.3%
458677,4-Seam Fastball,57.7%
458677,Cutter,37.4%
458677,Slider,3.5%
458677,Sinker,1.4%
656713,4-Seam Fastball,57.2%
656713,Curveball,26.2%
656713,Cutter,13%
656713,Changeup,3.6%
660761,Changeup,35.2%
660761,4-Seam Fastball,34.1%
660761,Curveball,13.6%
660761,Sinker,11.4%
660761,Slider,5.7%
623149,4-Seam Fastball,59.7%
623149,Slider,33.3%
623149,Changeup,7%
628317,Slider,38.6%
628317,Changeup,29.4%
628317,4-Seam Fastball,18.8%
628317,Sinker,7.1%
628317,Curveball,3.4%
628317,Cutter,2.6%
488768,4-Seam Fastball,45.3%
488768,Changeup,27.9%
488768,Slider,13.1%
488768,Curveball,10.8%
488768,Sinker,2.9%
534910,Sinker,55.1%
534910,Curveball,30.8%
534910,Slider,12.7%
534910,4-Seam Fastball,1.4%
642003,Slider,49.6%
642003,Sinker,39%
642003,4-Seam Fastball,8.9%
642003,Changeup,2.5%
473646,NA,NA
400010,NA,NA
543699,4-Seam Fastball,31.6%
543699,Sinker,22.9%
543699,Slider,17.9%
543699,Curveball,14.8%
543699,Changeup,12.9%
650893,4-Seam Fastball,50.4%
650893,Curveball,30.5%
650893,Changeup,13.1%
650893,Sinker,6%
150119,NA,NA
650633,Sinker,59.4%
650633,Curveball,19.6%
650633,Changeup,14.9%
650633,4-Seam Fastball,6.2%
489265,Slider,64.8%
489265,Sinker,12.8%
489265,Changeup,11.6%
489265,4-Seam Fastball,10.8%
502139,NA,NA
445213,Sinker,74.3%
445213,Changeup,13.7%
445213,Slider,10.5%
445213,4-Seam Fastball,1.5%
425883,NA,NA
489567,NA,NA
571666,4-Seam Fastball,31.6%
571666,Slider,28.6%
571666,Changeup,16%
571666,Curveball,12.2%
571666,Sinker,11.6%
605476,Sinker,47.1%
605476,Slider,43.7%
605476,Changeup,6.5%
605476,4-Seam Fastball,2.7%
150035,NA,NA
571946,4-Seam Fastball,68.6%
571946,Curveball,24.4%
571946,Cutter,3.6%
571946,Changeup,2.3%
571946,Sinker,1.2%
643290,4-Seam Fastball,53.6%
643290,Curveball,22.7%
643290,Slider,16.5%
643290,Changeup,6.2%
643290,Sinker,1%
592869,4-Seam Fastball,49.6%
592869,Curveball,20.6%
592869,Sinker,19.1%
592869,Changeup,6.9%
592869,Cutter,3.8%
505447,NA,NA
123801,NA,NA
444382,NA,NA
425794,Curveball,38.3%
425794,Sinker,27.1%
425794,Cutter,22.9%
425794,4-Seam Fastball,9.2%
425794,Changeup,2.5%
462956,NA,NA
523848,4-Seam Fastball,73.3%
523848,Slider,18.3%
523848,Changeup,8.4%
228594,NA,NA
493547,NA,NA
594815,4-Seam Fastball,54.5%
594815,Changeup,31.4%
594815,Slider,10.5%
594815,Curveball,3.1%
594815,Sinker,0.5%
460156,Slider,30.3%
460156,4-Seam Fastball,26.4%
460156,Split Finger,22.2%
460156,Sinker,13.5%
460156,Curveball,7.6%
459967,Sinker,42.9%
459967,Changeup,20.8%
459967,Curveball,19.5%
459967,4-Seam Fastball,13.2%
459967,Slider,3.6%
454537,NA,NA
518764,Curveball,36.8%
518764,Sinker,31.6%
518764,Changeup,19.3%
518764,4-Seam Fastball,7%
518764,Slider,5.3%
502102,NA,NA
605400,Changeup,27.4%
605400,Curveball,26.7%
605400,4-Seam Fastball,25.3%
605400,Sinker,20.7%
592614,4-Seam Fastball,45.5%
592614,Changeup,34%
592614,Curveball,11.8%
592614,Slider,8.3%
592614,Sinker,0.5%
444447,NA,NA
453241,NA,NA
582494,Sinker,48.8%
582494,Slider,38.4%
582494,Curveball,7.9%
582494,Changeup,3%
582494,4-Seam Fastball,1.8%
461212,NA,NA
475054,Slider,58.5%
475054,Sinker,20.1%
475054,Cutter,15.7%
475054,4-Seam Fastball,5.7%
595897,4-Seam Fastball,54.3%
595897,Slider,43.5%
595897,Curveball,2.2%
430634,Sinker,64.8%
430634,Slider,23.9%
430634,Changeup,11.4%
621249,4-Seam Fastball,43%
621249,Changeup,28.4%
621249,Curveball,23%
621249,Sinker,3.3%
621249,Slider,2.4%
643511,4-Seam Fastball,52.2%
643511,Curveball,36.2%
643511,Sinker,11.6%
448178,4-Seam Fastball,61.7%
448178,Curveball,34.4%
448178,Changeup,3.9%
435620,NA,NA
543859,Sinker,32.5%
543859,4-Seam Fastball,32.2%
543859,Slider,29.5%
543859,Cutter,5.8%
477195,NA,NA
477229,4-Seam Fastball,54.5%
477229,Slider,27.3%
477229,Changeup,18.2%
544759,4-Seam Fastball,70.8%
544759,Cutter,16.2%
544759,Slider,10.4%
544759,Changeup,1.9%
544759,Sinker,0.8%
607309,Sinker,39.8%
607309,Slider,30.3%
607309,4-Seam Fastball,19.6%
607309,Changeup,5.6%
607309,Curveball,4.8%
605359,Changeup,38.6%
605359,Curveball,31.6%
605359,4-Seam Fastball,20.4%
605359,Sinker,9.4%
623406,4-Seam Fastball,32.5%
623406,Sinker,25.8%
623406,Curveball,23.3%
623406,Cutter,8.3%
623406,Slider,7.5%
623406,Split Finger,2.5%
664042,Cutter,40.9%
664042,4-Seam Fastball,33.6%
664042,Curveball,22.3%
664042,Changeup,3.2%
518445,4-Seam Fastball,34.1%
518445,Slider,30.1%
518445,Cutter,21.1%
518445,Sinker,10.6%
518445,Changeup,4.1%
572140,4-Seam Fastball,50.4%
572140,Curveball,33.7%
572140,Changeup,15.9%
276530,NA,NA
489150,NA,NA
605130,Slider,41.8%
605130,4-Seam Fastball,36.5%
605130,Curveball,21.5%
605130,Sinker,0.2%
445590,4-Seam Fastball,31.3%
445590,Slider,25.6%
445590,Changeup,19.9%
445590,Sinker,19.3%
445590,Curveball,3.9%
502087,Sinker,49%
502087,Slider,28.6%
502087,Changeup,14.3%
502087,Curveball,8.2%
660875,Sinker,69.6%
660875,Changeup,16.5%
660875,4-Seam Fastball,7.6%
660875,Slider,6.3%
527054,Sinker,34.4%
527054,4-Seam Fastball,25.9%
527054,Slider,19.1%
527054,Changeup,11.2%
527054,Curveball,9.4%
285079,Knuckleball,80.8%
285079,4-Seam Fastball,17.5%
285079,Eephus,1.7%
608638,Slider,58.8%
608638,Sinker,32%
608638,4-Seam Fastball,9.3%
642397,Sinker,75.1%
642397,Slider,20.3%
642397,4-Seam Fastball,4.6%
657053,4-Seam Fastball,36%
657053,Curveball,28.9%
657053,Split Finger,20.4%
657053,Slider,9.6%
657053,Sinker,5.1%
448656,NA,NA
623167,4-Seam Fastball,58.4%
623167,Slider,21.9%
623167,Changeup,12.8%
623167,Curveball,3.6%
623167,Sinker,3.3%
592704,NA,NA
543809,NA,NA
543391,4-Seam Fastball,37.4%
543391,Curveball,24.9%
543391,Sinker,16.1%
543391,Changeup,10.8%
543391,Slider,10.8%
571439,4-Seam Fastball,65.2%
571439,Slider,22.8%
571439,Changeup,12%
459983,NA,NA
592769,4-Seam Fastball,61.5%
592769,Changeup,32.1%
592769,Slider,6.4%
592127,4-Seam Fastball,49.2%
592127,Slider,22%
592127,Changeup,16.7%
592127,Sinker,8.3%
592127,Curveball,3.8%
572750,4-Seam Fastball,34.1%
572750,Sinker,29.6%
572750,Changeup,12.4%
572750,Cutter,12.4%
572750,Curveball,11.5%
570810,4-Seam Fastball,35.6%
570810,Changeup,27.1%
570810,Curveball,23.3%
570810,Sinker,14%
467850,NA,NA
488984,Sinker,41.7%
488984,Cutter,33.2%
488984,Curveball,23.2%
488984,4-Seam Fastball,2%
430664,NA,NA
446213,NA,NA
542914,Sinker,54%
542914,Slider,39%
542914,Split Finger,6.8%
542914,4-Seam Fastball,0.3%
622774,4-Seam Fastball,41.6%
622774,Curveball,24.7%
622774,Slider,19.5%
622774,Sinker,14.3%
571760,4-Seam Fastball,57.8%
571760,Curveball,24.8%
571760,Changeup,17.4%
543754,NA,NA
429985,NA,NA
599998,4-Seam Fastball,47.3%
599998,Slider,46.9%
599998,Changeup,3.5%
599998,Sinker,2.2%
453222,Sinker,58.1%
453222,Changeup,16.3%
453222,Slider,14%
453222,4-Seam Fastball,7%
453222,Curveball,4.7%
449104,4-Seam Fastball,81.9%
449104,Slider,18.1%
570649,Sinker,31.3%
570649,Curveball,25.3%
570649,4-Seam Fastball,23.2%
570649,Changeup,18.5%
570649,Cutter,1.6%
661255,4-Seam Fastball,54.7%
661255,Slider,45.3%
502162,4-Seam Fastball,76.1%
502162,Curveball,18.2%
502162,Changeup,5.7%
542888,Cutter,46%
542888,4-Seam Fastball,43%
542888,Slider,11%
452657,Cutter,31.8%
452657,4-Seam Fastball,27.8%
452657,Sinker,14.1%
452657,Changeup,13.5%
452657,Curveball,12.8%
516589,Sinker,35.1%
516589,Cutter,32%
516589,Curveball,12.2%
516589,4-Seam Fastball,10.2%
516589,Slider,7.6%
516589,Changeup,2.8%
276056,NA,NA
407296,NA,NA
218596,Sinker,47.3%
218596,Cutter,22.8%
218596,Curveball,11.6%
218596,Split Finger,11.2%
218596,4-Seam Fastball,7%
234194,4-Seam Fastball,58.5%
234194,Sinker,24.6%
234194,Slider,13.6%
234194,Changeup,3.4%
605396,4-Seam Fastball,68%
605396,Curveball,24.3%
605396,Slider,5.8%
605396,Changeup,1.9%
623433,4-Seam Fastball,64.1%
623433,Curveball,35%
623433,Sinker,0.8%
592254,Sinker,69.3%
592254,Changeup,22.1%
592254,Slider,8.6%
608371,4-Seam Fastball,48.1%
608371,Curveball,31.9%
608371,Slider,18.5%
608371,Changeup,1.5%
460072,NA,NA
467785,4-Seam Fastball,60.5%
467785,Slider,20.8%
467785,Sinker,12.6%
467785,Changeup,6.1%
543548,4-Seam Fastball,42.8%
543548,Changeup,39%
543548,Slider,11.5%
543548,Curveball,4.2%
543548,Sinker,2.6%
573589,Sinker,41.6%
573589,Slider,25.1%
573589,Curveball,16.5%
573589,4-Seam Fastball,10.9%
573589,Changeup,5.9%
622786,Sinker,62.5%
622786,Curveball,22.2%
622786,Slider,9.7%
622786,4-Seam Fastball,5.6%
592741,4-Seam Fastball,51.2%
592741,Split Finger,40.8%
592741,Slider,8.1%
432934,Slider,56.5%
432934,4-Seam Fastball,42.7%
432934,Changeup,0.7%
622382,Changeup,38.4%
622382,4-Seam Fastball,36.5%
622382,Slider,19.3%
622382,Sinker,5.6%
622382,Curveball,0.2%
621052,4-Seam Fastball,48.8%
621052,Slider,18.7%
621052,Curveball,16.8%
621052,Sinker,11.7%
621052,Changeup,4.1%
572971,Sinker,32.3%
572971,Cutter,30.9%
572971,Changeup,27.9%
572971,Slider,6.6%
572971,4-Seam Fastball,2.3%
543964,Slider,39.3%
543964,Sinker,33.2%
543964,4-Seam Fastball,27.3%
543964,Curveball,0.2%
571858,4-Seam Fastball,60.2%
571858,Changeup,23.9%
571858,Slider,15.9%
572193,Cutter,43.6%
572193,Sinker,31.7%
572193,4-Seam Fastball,14.4%
572193,Slider,5.1%
572193,Changeup,5.1%
670280,4-Seam Fastball,59.3%
670280,Split Finger,26.3%
670280,Curveball,14.4%
605164,4-Seam Fastball,33.6%
605164,Slider,25%
605164,Changeup,21.3%
605164,Curveball,11.7%
605164,Sinker,8.3%
430681,NA,NA
643615,Sinker,48.1%
643615,Cutter,21.1%
643615,Slider,15.7%
643615,4-Seam Fastball,8.1%
643615,Changeup,7%
622694,4-Seam Fastball,58.9%
622694,Slider,35.1%
622694,Changeup,6%
607162,4-Seam Fastball,49.6%
607162,Changeup,20.2%
607162,Slider,17.6%
607162,Sinker,12.6%
605151,4-Seam Fastball,59.8%
605151,Curveball,22.5%
605151,Changeup,11.6%
605151,Sinker,6.2%
465657,4-Seam Fastball,65.5%
465657,Slider,19.9%
465657,Changeup,9%
465657,Curveball,5%
465657,Cutter,0.5%
621281,Cutter,34.5%
621281,4-Seam Fastball,28.3%
621281,Changeup,21.4%
621281,Curveball,13.8%
621281,Sinker,2.1%
673633,Split Finger,54.4%
673633,4-Seam Fastball,45.2%
673633,Slider,0.4%
499877,NA,NA
519151,Slider,41.9%
519151,4-Seam Fastball,37.1%
519151,Curveball,21%
656322,Sinker,31.3%
656322,4-Seam Fastball,27.9%
656322,Changeup,18.9%
656322,Slider,13.8%
656322,Cutter,5.7%
656322,Curveball,2.4%
450172,Sinker,41.7%
450172,Changeup,30.6%
450172,Curveball,18.5%
450172,4-Seam Fastball,9.3%
150249,NA,NA
445163,4-Seam Fastball,47.6%
445163,Cutter,25%
445163,Curveball,15.2%
445163,Slider,7.4%
445163,Changeup,2.7%
445163,Sinker,2%
570240,Sinker,42%
570240,Slider,30.4%
570240,Changeup,21.1%
570240,4-Seam Fastball,6.5%
519175,NA,NA
668683,Sinker,59.1%
668683,Curveball,36%
668683,4-Seam Fastball,3.7%
668683,Changeup,1.2%
644428,4-Seam Fastball,46.9%
644428,Changeup,22.4%
644428,Slider,16.3%
644428,Curveball,14.3%
452764,NA,NA
115629,4-Seam Fastball,73.8%
115629,Slider,16.1%
115629,Changeup,8%
115629,Sinker,1.6%
115629,Curveball,0.5%
543031,Sinker,31.5%
543031,Cutter,28%
543031,4-Seam Fastball,22.6%
543031,Curveball,12.5%
543031,Changeup,5.4%
517414,Changeup,35.1%
517414,4-Seam Fastball,28.2%
517414,Sinker,25.2%
517414,Curveball,9.9%
517414,Slider,1.5%
475115,Cutter,36.7%
475115,4-Seam Fastball,34%
475115,Slider,28.1%
475115,Sinker,1.2%
425562,NA,NA
596112,Slider,65.9%
596112,4-Seam Fastball,30.1%
596112,Split Finger,4%
554374,4-Seam Fastball,65.7%
554374,Curveball,26.7%
554374,Changeup,6.5%
554374,Sinker,1.2%
456662,NA,NA
592865,Slider,54.8%
592865,4-Seam Fastball,43.8%
592865,Sinker,1.5%
119469,NA,NA
462515,Changeup,40.8%
462515,4-Seam Fastball,40.8%
462515,Slider,18.4%
595798,Slider,37.4%
595798,Sinker,26.7%
595798,4-Seam Fastball,23.7%
595798,Changeup,11.5%
595798,Curveball,0.8%
500674,NA,NA
475095,NA,NA
487675,Slider,71.7%
487675,4-Seam Fastball,22%
487675,Changeup,4.7%
487675,Sinker,1.6%
119215,NA,NA
593969,4-Seam Fastball,49.4%
593969,Cutter,23.2%
593969,Changeup,19%
593969,Curveball,8%
593969,Sinker,0.4%
592094,4-Seam Fastball,53.5%
592094,Curveball,31.2%
592094,Changeup,15.4%
593833,Cutter,81.6%
593833,Changeup,13.3%
593833,Curveball,5.1%
488683,NA,NA
657277,4-Seam Fastball,33.7%
657277,Changeup,30.8%
657277,Slider,15.3%
657277,Sinker,14.9%
657277,Cutter,5.3%
548384,Cutter,44.3%
548384,Slider,18.8%
548384,4-Seam Fastball,11.6%
548384,Sinker,11.3%
548384,Curveball,10.7%
548384,Changeup,3.3%
400291,NA,NA
425835,4-Seam Fastball,61.1%
425835,Slider,36.1%
425835,Curveball,2.8%
605194,4-Seam Fastball,33.8%
605194,Slider,22.6%
605194,Changeup,21.6%
605194,Sinker,13.5%
605194,Curveball,8.6%
460657,NA,NA
502165,NA,NA
400104,NA,NA
621345,Cutter,42.6%
621345,4-Seam Fastball,38.8%
621345,Changeup,18.6%
642231,Sinker,65.4%
642231,Changeup,25%
642231,Slider,9.6%
502033,NA,NA
488674,Sinker,59.4%
488674,Split Finger,25.1%
488674,Slider,15.4%
488674,4-Seam Fastball,0.1%
641816,4-Seam Fastball,54.9%
641816,Slider,32.4%
641816,Split Finger,11.7%
641816,Curveball,0.9%
543208,Sinker,49.3%
543208,Slider,23.9%
543208,Curveball,20.9%
543208,Changeup,4.5%
543208,4-Seam Fastball,1.5%
113296,NA,NA
592145,4-Seam Fastball,45%
592145,Slider,30%
592145,Curveball,25%
543901,Sinker,50.9%
543901,Curveball,21.7%
543901,Changeup,17.8%
543901,Cutter,8.4%
543901,4-Seam Fastball,1.2%
463645,NA,NA
622097,Changeup,28.5%
622097,Slider,25.7%
622097,4-Seam Fastball,24.3%
622097,Sinker,21.5%
592169,Curveball,37.3%
592169,4-Seam Fastball,34.5%
592169,Sinker,27%
592169,Changeup,1.1%
119984,NA,NA
457779,Sinker,65%
457779,Slider,27.5%
457779,Changeup,7.5%
518533,NA,NA
456043,NA,NA
471896,NA,NA
501638,NA,NA
407835,NA,NA
445156,NA,NA
501687,NA,NA
453385,Sinker,56.9%
453385,Slider,26%
453385,4-Seam Fastball,15.4%
453385,Changeup,1.8%
462382,Sinker,59.3%
462382,Curveball,27.4%
462382,4-Seam Fastball,9%
462382,Changeup,4.3%
542432,4-Seam Fastball,62.6%
542432,Changeup,26.5%
542432,Slider,11%
502253,NA,NA
607030,Curveball,56.7%
607030,Cutter,36.7%
607030,4-Seam Fastball,6.7%
518693,Sinker,43.1%
518693,4-Seam Fastball,27.5%
518693,Curveball,21.1%
518693,Split Finger,8.3%
543054,Sinker,57.1%
543054,Curveball,13%
543054,4-Seam Fastball,10.7%
543054,Slider,10.3%
543054,Changeup,8.5%
543054,Cutter,0.4%
446488,NA,NA
605452,Sinker,38%
605452,4-Seam Fastball,24.9%
605452,Slider,20.7%
605452,Curveball,9%
605452,Changeup,7.6%
608678,Slider,35.6%
608678,Cutter,29.8%
608678,4-Seam Fastball,20.9%
608678,Sinker,13.6%
460008,4-Seam Fastball,57.9%
460008,Curveball,22.8%
460008,Changeup,19.3%
594902,4-Seam Fastball,51.9%
594902,Curveball,44.4%
594902,Sinker,3.7%
642121,4-Seam Fastball,57.5%
642121,Changeup,26%
642121,Slider,16.6%
476011,NA,NA
605200,Sinker,42.2%
605200,Changeup,41.3%
605200,Cutter,13.6%
605200,Curveball,2.8%
592779,Sinker,48.8%
592779,Slider,32.5%
592779,Changeup,13.4%
592779,4-Seam Fastball,5.3%
592238,Sinker,58.7%
592238,Slider,23.9%
592238,Changeup,17.4%
572119,Sinker,44.9%
572119,Curveball,43.1%
572119,Changeup,12%
606424,4-Seam Fastball,48.6%
606424,Slider,33.1%
606424,Changeup,18.3%
639373,4-Seam Fastball,62.9%
639373,Slider,35.5%
639373,Changeup,1.5%
592644,4-Seam Fastball,50.2%
592644,Slider,32.7%
592644,Curveball,12.6%
592644,Changeup,4.5%
571510,4-Seam Fastball,50.3%
571510,Slider,22.7%
571510,Changeup,17.2%
571510,Curveball,7.5%
571510,Sinker,2.4%
334492,NA,NA
407297,NA,NA
448614,Cutter,42.5%
448614,4-Seam Fastball,24.7%
448614,Curveball,15.1%
448614,Sinker,12.3%
448614,Slider,5.5%
517451,NA,NA
425848,NA,NA
605488,Sinker,46.9%
605488,Slider,27.2%
605488,Changeup,25.9%
451482,NA,NA
669160,Sinker,51.4%
669160,Cutter,24.6%
669160,Curveball,13.4%
669160,4-Seam Fastball,5.5%
669160,Changeup,5.1%
607352,Sinker,45.8%
607352,4-Seam Fastball,17.8%
607352,Curveball,17.8%
607352,Changeup,10.2%
607352,Cutter,8.5%
656186,Slider,53.2%
656186,4-Seam Fastball,46.8%
570632,Sinker,41.7%
570632,Slider,32.3%
570632,4-Seam Fastball,18.9%
570632,Changeup,7.1%
460284,NA,NA
570714,4-Seam Fastball,62.7%
570714,Slider,24.5%
570714,Curveball,4.8%
570714,Changeup,3%
570714,Cutter,2.8%
570714,Sinker,2.2%
457425,NA,NA
150359,Sinker,50.1%
150359,Curveball,29.4%
150359,4-Seam Fastball,11.7%
150359,Changeup,8.8%
459411,NA,NA
469802,NA,NA
448200,NA,NA
518865,NA,NA
621111,4-Seam Fastball,53.8%
621111,Curveball,16%
621111,Cutter,14.3%
621111,Sinker,8.7%
621111,Slider,7.2%
446454,NA,NA
570666,Slider,54.4%
570666,4-Seam Fastball,16.9%
570666,Sinker,14.2%
570666,Changeup,12.5%
570666,Curveball,1.9%
502032,Cutter,36.1%
502032,Sinker,29.7%
502032,4-Seam Fastball,26.5%
502032,Slider,7.4%
502032,Changeup,0.2%
545333,4-Seam Fastball,40.9%
545333,Cutter,19.7%
545333,Slider,16.5%
545333,Curveball,15.7%
545333,Sinker,7%
545333,Changeup,0.3%
489334,Sinker,58.6%
489334,Slider,20.7%
489334,Curveball,12.2%
489334,4-Seam Fastball,6.9%
489334,Changeup,1.6%
543271,NA,NA
542266,4-Seam Fastball,57%
542266,Curveball,17.2%
542266,Sinker,13.5%
542266,Changeup,12.3%
430900,NA,NA
444371,NA,NA
543900,4-Seam Fastball,48.1%
543900,Changeup,18.5%
543900,Slider,18.5%
543900,Sinker,14.8%
502171,Sinker,47.5%
502171,Split Finger,35.2%
502171,Curveball,16.7%
502171,4-Seam Fastball,0.6%
475479,Cutter,26.9%
475479,Curveball,26.6%
475479,Sinker,24.1%
475479,4-Seam Fastball,22.4%
598271,4-Seam Fastball,36.5%
598271,Curveball,34.6%
598271,Slider,26.7%
598271,Changeup,1.6%
598271,Sinker,0.6%
573166,4-Seam Fastball,66%
573166,Changeup,19.1%
573166,Curveball,10.6%
573166,Slider,4.3%
605177,4-Seam Fastball,38%
605177,Sinker,35.3%
605177,Slider,26.6%
608648,Curveball,55.6%
608648,4-Seam Fastball,42.5%
608648,Sinker,2%
543193,4-Seam Fastball,54.4%
543193,Changeup,32.2%
543193,Curveball,9.7%
543193,Slider,3.7%
592570,4-Seam Fastball,54.4%
592570,Changeup,34.9%
592570,Slider,10.7%
571800,4-Seam Fastball,53.3%
571800,Slider,31%
571800,Changeup,11.5%
571800,Sinker,4.3%
499856,NA,NA
623395,4-Seam Fastball,64%
623395,Curveball,14.8%
623395,Sinker,12%
623395,Changeup,9.1%
457447,NA,NA
571786,NA,NA
676220,Sinker,64.9%
676220,Slider,35.1%
282567,NA,NA
451788,Cutter,33.7%
451788,4-Seam Fastball,26.8%
451788,Changeup,18.5%
451788,Sinker,10.1%
451788,Curveball,8%
451788,Slider,2.9%
213711,NA,NA
543426,NA,NA
657140,Sinker,31.7%
657140,Slider,24.2%
657140,4-Seam Fastball,16.7%
657140,Changeup,14.4%
657140,Curveball,13.1%
502154,Sinker,80.3%
502154,Slider,19.7%
545064,Slider,42%
545064,Sinker,36%
545064,4-Seam Fastball,22%
456899,NA,NA
489294,4-Seam Fastball,50.5%
489294,Curveball,49.5%
592454,Changeup,65%
592454,4-Seam Fastball,35%
543652,Sinker,42.7%
543652,Slider,23.4%
543652,Changeup,12.6%
543652,4-Seam Fastball,11.8%
543652,Curveball,9.5%
501852,NA,NA
434884,NA,NA
150407,NA,NA
489119,Cutter,49.5%
489119,Changeup,23.5%
489119,Curveball,10.9%
489119,4-Seam Fastball,10.9%
489119,Sinker,3.9%
489119,Slider,1.4%
445197,Slider,44.9%
445197,4-Seam Fastball,43.9%
445197,Curveball,8.3%
445197,Sinker,3%
400067,NA,NA
458094,NA,NA
600968,Slider,42.4%
600968,Sinker,40%
600968,4-Seam Fastball,14.1%
600968,Changeup,3.5%
624133,Sinker,35.1%
624133,4-Seam Fastball,25.5%
624133,Slider,20.2%
624133,Changeup,19.1%
451216,NA,NA
477132,4-Seam Fastball,41.1%
477132,Slider,39.9%
477132,Curveball,18.8%
477132,Changeup,0.2%
500872,4-Seam Fastball,70.9%
500872,Curveball,16.9%
500872,Slider,10.1%
500872,Changeup,2%
572125,Slider,59%
572125,4-Seam Fastball,40.4%
572125,Sinker,0.6%
444884,NA,NA
474699,Sinker,42.4%
474699,Cutter,36.9%
474699,4-Seam Fastball,13.5%
474699,Curveball,6.8%
474699,Changeup,0.5%
641793,4-Seam Fastball,54.7%
641793,Slider,34.2%
641793,Changeup,11.1%
592547,4-Seam Fastball,56.1%
592547,Slider,21.4%
592547,Curveball,12.4%
592547,Changeup,9.8%
592547,Sinker,0.3%
445926,Sinker,39.7%
445926,Cutter,33.8%
445926,Slider,14.1%
445926,4-Seam Fastball,7.2%
445926,Changeup,5.2%
488787,NA,NA
544930,4-Seam Fastball,68.4%
544930,Curveball,22.4%
544930,Cutter,6.6%
544930,Sinker,2.6%
592826,4-Seam Fastball,52.8%
592826,Curveball,16.2%
592826,Changeup,14.3%
592826,Slider,12%
592826,Sinker,4.8%
662253,4-Seam Fastball,66.1%
662253,Slider,32.5%
662253,Cutter,0.7%
662253,Sinker,0.7%
425532,Sinker,36%
425532,Cutter,29.8%
425532,Changeup,18%
425532,4-Seam Fastball,12.8%
425532,Slider,2.8%
425532,Curveball,0.7%
488776,NA,NA
475243,4-Seam Fastball,46.9%
475243,Cutter,20.3%
475243,Sinker,9.7%
475243,Slider,9.6%
475243,Changeup,8.8%
475243,Curveball,4.8%
501992,4-Seam Fastball,62.6%
501992,Curveball,19.8%
501992,Changeup,17.6%
660623,Slider,47.4%
660623,4-Seam Fastball,42.6%
660623,Changeup,9.7%
660623,Sinker,0.3%
605155,Cutter,43.5%
605155,Curveball,32.8%
605155,Slider,21.3%
605155,4-Seam Fastball,1.6%
605155,Sinker,0.8%
621094,4-Seam Fastball,65.4%
621094,Slider,26.9%
621094,Split Finger,7.7%
518790,Sinker,58.7%
518790,Slider,18.1%
518790,4-Seam Fastball,9.4%
518790,Curveball,7.2%
518790,Changeup,6.5%
456167,4-Seam Fastball,51.7%
456167,Curveball,30.4%
456167,Changeup,11.1%
456167,Cutter,5.7%
456167,Sinker,1.1%
660853,4-Seam Fastball,58.5%
660853,Changeup,19.3%
660853,Slider,18.8%
660853,Curveball,3.4%
594762,4-Seam Fastball,65.1%
594762,Cutter,20.9%
594762,Curveball,14%
572889,Changeup,50%
572889,Sinker,37.5%
572889,Slider,12.5%
430599,Slider,34.1%
430599,4-Seam Fastball,28.2%
430599,Changeup,15.4%
430599,Curveball,11.9%
430599,Sinker,10.3%
664028,4-Seam Fastball,67.4%
664028,Slider,24.1%
664028,Changeup,8.5%
621381,4-Seam Fastball,29.2%
621381,Sinker,26.6%
621381,Curveball,21.1%
621381,Slider,12.7%
621381,Changeup,10.4%
641627,4-Seam Fastball,63.6%
641627,Curveball,25.3%
641627,Slider,7.8%
641627,Changeup,2.3%
641627,Sinker,0.9%
592120,Sinker,50.7%
592120,Slider,17.6%
592120,Changeup,13.5%
592120,4-Seam Fastball,12.8%
592120,Cutter,5.4%
592102,4-Seam Fastball,53.8%
592102,Curveball,46.2%
474668,Sinker,37.9%
474668,4-Seam Fastball,35.3%
474668,Curveball,19%
474668,Changeup,7.8%
276371,NA,NA
514639,NA,NA
500721,4-Seam Fastball,59.6%
500721,Curveball,33.2%
500721,Sinker,4.4%
500721,Changeup,2.8%
455949,NA,NA
430912,4-Seam Fastball,35.4%
430912,Curveball,23.2%
430912,Sinker,20%
430912,Changeup,10.9%
430912,Slider,10.5%
595918,Slider,45.4%
595918,4-Seam Fastball,34.4%
595918,Cutter,9.7%
595918,Changeup,7.9%
595918,Curveball,2.6%
516853,NA,NA
572102,4-Seam Fastball,58.1%
572102,Slider,19%
572102,Curveball,11.8%
572102,Changeup,11.1%
466412,NA,NA
592836,4-Seam Fastball,38.3%
592836,Cutter,21.5%
592836,Split Finger,18.7%
592836,Sinker,11.3%
592836,Curveball,10.1%
591693,Slider,54.4%
591693,4-Seam Fastball,36.5%
591693,Changeup,9.1%
623184,4-Seam Fastball,52%
623184,Slider,43.3%
623184,Changeup,4.5%
623184,Sinker,0.2%
434442,Sinker,62.8%
434442,Curveball,28.3%
434442,Changeup,7.9%
434442,4-Seam Fastball,1%
620982,Sinker,66.7%
620982,Changeup,33.3%
642545,Slider,45.8%
642545,4-Seam Fastball,31.5%
642545,Sinker,11.5%
642545,Changeup,11.2%
544993,4-Seam Fastball,69.7%
544993,Slider,19.1%
544993,Split Finger,11.2%
621261,4-Seam Fastball,48.4%
621261,Slider,25.6%
621261,Changeup,18.8%
621261,Sinker,5.4%
621261,Curveball,1.8%
573188,4-Seam Fastball,43.8%
573188,Cutter,38.3%
573188,Curveball,11.7%
573188,Changeup,6.3%
642098,Slider,46.7%
642098,4-Seam Fastball,44.4%
642098,Curveball,5.6%
642098,Changeup,3.3%
435221,Sinker,37.1%
435221,Cutter,31.5%
435221,Curveball,23.6%
