team,league,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,url
Oakland Athletics,AL,--,--,5.86,--,--,--,--,--,0,109.0,77,81,71,6,3,25,73,0.94,.212,https://www.mlb.com/athletics
Cincinnati Reds,NL,--,--,6.11,--,--,--,--,--,0,101.2,72,73,69,8,5,38,67,1.08,.217,https://www.mlb.com/reds
Atlanta Braves,NL,--,--,6.46,--,--,--,--,--,0,100.1,70,84,72,8,3,34,82,1.04,.217,https://www.mlb.com/braves
Tampa Bay Rays,AL,--,--,6.54,--,--,--,--,--,0,95.0,82,79,69,8,3,28,90,1.16,.252,https://www.mlb.com/rays
Arizona Diamondbacks,NL,--,--,6.79,--,--,--,--,--,0,100.2,78,85,76,4,5,22,80,0.99,.226,https://www.mlb.com/dbacks
Minnesota Twins,AL,--,--,6.81,--,--,--,--,--,0,109.2,88,95,83,8,6,27,52,1.05,.235,https://www.mlb.com/twins
San Francisco Giants,NL,--,--,6.86,--,--,--,--,--,0,106.1,89,86,81,6,6,38,82,1.19,.243,https://www.mlb.com/giants
San Diego Padres,NL,--,--,6.95,--,--,--,--,--,0,102.1,81,89,79,6,4,33,77,1.11,.231,https://www.mlb.com/padres
Baltimore Orioles,AL,--,--,7.15,--,--,--,--,--,0,113.1,104,104,90,10,7,25,95,1.14,.259,https://www.mlb.com/orioles
Detroit Tigers,AL,--,--,7.28,--,--,--,--,--,0,101.1,77,90,82,9,3,27,90,1.03,.221,https://www.mlb.com/tigers
Toronto Blue Jays,AL,--,--,7.33,--,--,--,--,--,0,109.1,84,94,89,12,2,36,90,1.10,.226,https://www.mlb.com/bluejays
Miami Marlins,NL,--,--,7.53,--,--,--,--,--,0,112.1,103,105,94,5,7,36,80,1.24,.260,https://www.mlb.com/marlins
Washington Nationals,NL,--,--,7.69,--,--,--,--,--,0,96.0,75,85,82,5,4,27,69,1.06,.234,https://www.mlb.com/nationals
Houston Astros,AL,--,--,7.93,--,--,--,--,--,0,109.0,99,104,96,13,5,36,69,1.24,.258,https://www.mlb.com/astros
Los Angeles Dodgers,NL,--,--,7.97,--,--,--,--,--,0,105.0,91,101,93,6,4,29,83,1.14,.254,https://www.mlb.com/dodgers
St. Louis Cardinals,NL,--,--,8.09,--,--,--,--,--,0,109.0,92,107,98,12,7,35,77,1.17,.248,https://www.mlb.com/cardinals
Chicago White Sox,AL,--,--,8.22,--,--,--,--,--,0,104.0,77,99,95,15,9,34,90,1.07,.223,https://www.mlb.com/whitesox
Kansas City Royals,AL,--,--,8.27,--,--,--,--,--,0,124.0,104,127,114,14,5,31,89,1.09,.248,https://www.mlb.com/royals
Milwaukee Brewers,NL,--,--,8.53,--,--,--,--,--,0,101.1,91,102,96,7,3,33,81,1.22,.253,https://www.mlb.com/brewers
New York Yankees,AL,--,--,8.58,--,--,--,--,--,0,85.0,78,92,81,9,2,29,72,1.26,.254,https://www.mlb.com/yankees
Los Angeles Angels,AL,--,--,9.09,--,--,--,--,--,0,97.0,81,106,98,15,3,32,67,1.16,.233,https://www.mlb.com/angels
Pittsburgh Pirates,NL,--,--,9.18,--,--,--,--,--,0,98.0,84,111,100,15,2,30,69,1.16,.247,https://www.mlb.com/pirates
Boston Red Sox,AL,--,--,9.19,--,--,--,--,--,0,95.0,84,100,97,14,4,41,76,1.32,.258,https://www.mlb.com/redsox
Texas Rangers,AL,--,--,9.27,--,--,--,--,--,0,87.1,85,100,90,10,4,28,80,1.29,.271,https://www.mlb.com/rangers
Colorado Rockies,NL,--,--,9.28,--,--,--,--,--,0,118.1,109,134,122,17,3,23,77,1.12,.265,https://www.mlb.com/rockies
Cleveland Indians,AL,--,--,9.56,--,--,--,--,--,0,102.2,108,124,109,12,3,34,71,1.38,.285,https://www.mlb.com/indians
Seattle Mariners,AL,--,--,9.67,--,--,--,--,--,0,98.2,88,110,106,16,3,21,78,1.10,.261,https://www.mlb.com/mariners
Chicago Cubs,NL,--,--,9.72,--,--,--,--,--,0,96.1,95,113,104,18,3,41,58,1.41,.274,https://www.mlb.com/cubs
New York Mets,NL,--,--,10.07,--,--,--,--,--,0,103.2,100,125,116,13,2,27,102,1.23,.265,https://www.mlb.com/mets
Philadelphia Phillies,NL,--,--,10.47,--,--,--,--,--,0,87.2,98,112,102,11,5,32,84,1.48,.293,https://www.mlb.com/phillies
