team,league,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,url
Kansas City Royals,AL,--,--,2.99,--,--,--,--,--,0,719.2,626,264,239,70,27,212,609,1.16,.235,https://www.mlb.com/royals
Los Angeles Dodgers,NL,--,--,3.21,--,--,--,--,--,0,933.2,827,376,333,82,29,263,801,1.17,.240,https://www.mlb.com/dodgers
Atlanta Braves,NL,--,--,3.32,--,--,--,--,--,0,867.0,787,337,320,80,33,233,728,1.18,.243,https://www.mlb.com/braves
Washington Nationals,NL,--,--,3.35,--,--,--,--,--,0,854.0,774,350,318,77,38,232,757,1.18,.242,https://www.mlb.com/nationals
St. Louis Cardinals,NL,--,--,3.38,--,--,--,--,--,0,823.0,752,335,309,66,44,219,727,1.18,.245,https://www.mlb.com/cardinals
Pittsburgh Pirates,NL,--,--,3.38,--,--,--,--,--,0,923.1,797,374,347,69,29,310,809,1.20,.234,https://www.mlb.com/pirates
Cincinnati Reds,NL,--,--,3.40,--,--,--,--,--,0,820.2,696,335,310,90,40,239,750,1.14,.232,https://www.mlb.com/reds
Texas Rangers,AL,--,--,3.49,--,--,--,--,--,0,814.2,739,344,316,78,19,279,721,1.25,.243,https://www.mlb.com/rangers
Tampa Bay Rays,AL,--,--,3.54,--,--,--,--,--,0,793.1,686,330,312,72,24,246,687,1.17,.234,https://www.mlb.com/rays
Oakland Athletics,AL,--,--,3.55,--,--,--,--,--,0,777.1,692,333,307,88,23,197,638,1.14,.236,https://www.mlb.com/athletics
Milwaukee Brewers,NL,--,--,3.68,--,--,--,--,--,0,778.0,764,349,318,75,23,198,581,1.24,.260,https://www.mlb.com/brewers
Miami Marlins,NL,--,--,3.74,--,--,--,--,--,0,792.0,723,350,329,61,27,223,652,1.19,.248,https://www.mlb.com/marlins
Chicago White Sox,AL,--,--,3.74,--,--,--,--,--,0,882.2,845,417,367,104,35,282,763,1.28,.252,https://www.mlb.com/whitesox
Cleveland Indians,AL,--,--,3.75,--,--,--,--,--,0,725.2,685,328,302,70,38,253,715,1.29,.249,https://www.mlb.com/indians
Detroit Tigers,AL,--,--,3.81,--,--,--,--,--,0,698.1,635,323,296,61,30,201,676,1.20,.243,https://www.mlb.com/tigers
Boston Red Sox,AL,--,--,3.93,--,--,--,--,--,0,789.2,775,366,345,94,36,283,665,1.34,.257,https://www.mlb.com/redsox
Arizona Diamondbacks,NL,--,--,3.95,--,--,--,--,--,0,923.1,887,428,405,109,41,296,743,1.28,.254,https://www.mlb.com/dbacks
New York Mets,NL,--,--,3.97,--,--,--,--,--,0,842.0,844,416,371,89,41,224,678,1.27,.261,https://www.mlb.com/mets
Toronto Blue Jays,AL,--,--,3.99,--,--,--,--,--,0,793.2,774,384,352,100,36,258,679,1.30,.255,https://www.mlb.com/bluejays
San Diego Padres,NL,--,--,4.00,--,--,--,--,--,0,829.2,818,410,369,86,21,265,666,1.31,.259,https://www.mlb.com/padres
New York Yankees,AL,--,--,4.01,--,--,--,--,--,0,802.0,818,379,357,100,25,226,639,1.30,.264,https://www.mlb.com/yankees
Baltimore Orioles,AL,--,--,4.06,--,--,--,--,--,0,753.0,720,353,340,94,28,225,596,1.25,.253,https://www.mlb.com/orioles
Chicago Cubs,NL,--,--,4.29,--,--,--,--,--,0,838.2,799,428,400,110,35,307,639,1.32,.252,https://www.mlb.com/cubs
Los Angeles Angels,AL,--,--,4.37,--,--,--,--,--,0,770.1,794,404,374,90,29,278,625,1.39,.267,https://www.mlb.com/angels
San Francisco Giants,NL,--,--,4.38,--,--,--,--,--,0,891.0,877,467,434,100,34,299,744,1.32,.259,https://www.mlb.com/giants
Seattle Mariners,AL,--,--,4.40,--,--,--,--,--,0,777.2,801,416,380,96,29,241,685,1.34,.265,https://www.mlb.com/mariners
Minnesota Twins,AL,--,--,4.51,--,--,--,--,--,0,790.0,874,428,396,85,28,230,507,1.40,.282,https://www.mlb.com/twins
Houston Astros,AL,--,--,4.56,--,--,--,--,--,0,793.2,837,446,402,109,33,315,637,1.45,.269,https://www.mlb.com/astros
Philadelphia Phillies,NL,--,--,4.56,--,--,--,--,--,0,926.2,948,503,470,108,34,294,786,1.34,.266,https://www.mlb.com/phillies
Colorado Rockies,NL,--,--,4.76,--,--,--,--,--,0,849.0,939,483,449,91,30,282,646,1.44,.283,https://www.mlb.com/rockies
