team,league,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,url
Pittsburgh Pirates,NL,--,--,1.78,--,--,--,--,--,0,299.0,285,62,59,21,15,55,210,1.14,.282,https://www.mlb.com/pirates
St. Louis Cardinals,NL,--,--,1.80,--,--,--,--,--,0,320.2,257,68,64,22,6,83,230,1.06,.241,https://www.mlb.com/cardinals
Washington Nationals,NL,--,--,2.04,--,--,--,--,--,0,300.0,249,71,68,18,11,47,228,0.99,.244,https://www.mlb.com/nationals
Toronto Blue Jays,AL,--,--,2.06,--,--,--,--,--,0,293.0,258,76,67,26,10,62,189,1.09,.257,https://www.mlb.com/bluejays
New York Mets,NL,--,--,2.20,--,--,--,--,--,0,278.1,247,74,68,26,10,55,192,1.09,.259,https://www.mlb.com/mets
Minnesota Twins,AL,--,--,2.24,--,--,--,--,--,0,293.1,285,76,73,28,3,64,180,1.19,.274,https://www.mlb.com/twins
Cleveland Indians,AL,--,--,2.37,--,--,--,--,--,0,269.1,251,75,71,24,7,53,203,1.13,.270,https://www.mlb.com/indians
San Francisco Giants,NL,--,--,2.47,--,--,--,--,--,0,269.2,261,78,74,25,13,54,169,1.17,.277,https://www.mlb.com/giants
Miami Marlins,NL,--,--,2.47,--,--,--,--,--,0,284.0,271,81,78,29,11,66,185,1.19,.279,https://www.mlb.com/marlins
Oakland Athletics,AL,--,--,2.56,--,--,--,--,--,0,302.2,266,93,86,33,3,95,205,1.19,.257,https://www.mlb.com/athletics
Arizona Diamondbacks,NL,--,--,2.65,--,--,--,--,--,0,285.2,279,92,84,27,9,81,168,1.26,.280,https://www.mlb.com/dbacks
Boston Red Sox,AL,--,--,2.65,--,--,--,--,--,0,302.2,253,92,89,31,16,78,229,1.09,.243,https://www.mlb.com/redsox
Texas Rangers,AL,--,--,2.65,--,--,--,--,--,0,312.1,282,95,92,31,15,90,175,1.19,.260,https://www.mlb.com/rangers
Tampa Bay Rays,AL,--,--,2.66,--,--,--,--,--,0,270.2,245,82,80,31,10,85,211,1.22,.263,https://www.mlb.com/rays
Chicago Cubs,NL,--,--,2.69,--,--,--,--,--,0,261.0,225,83,78,28,6,49,190,1.05,.261,https://www.mlb.com/cubs
Detroit Tigers,AL,--,--,2.78,--,--,--,--,--,0,294.1,281,97,91,32,7,67,181,1.18,.281,https://www.mlb.com/tigers
Los Angeles Dodgers,NL,--,--,2.80,--,--,--,--,--,0,286.0,262,90,89,35,6,43,225,1.07,.271,https://www.mlb.com/dodgers
Houston Astros,AL,--,--,2.81,--,--,--,--,--,0,278.2,239,91,87,31,7,61,216,1.08,.252,https://www.mlb.com/astros
Los Angeles Angels,AL,--,--,2.86,--,--,--,--,--,0,279.2,261,90,89,38,8,65,190,1.17,.266,https://www.mlb.com/angels
Cincinnati Reds,NL,--,--,2.90,--,--,--,--,--,0,288.2,262,97,93,33,8,83,198,1.20,.267,https://www.mlb.com/reds
Baltimore Orioles,AL,--,--,2.94,--,--,--,--,--,0,284.1,309,95,93,34,5,67,198,1.32,.299,https://www.mlb.com/orioles
Kansas City Royals,AL,--,--,2.96,--,--,--,--,--,0,289.0,289,97,95,34,12,82,190,1.28,.283,https://www.mlb.com/royals
Atlanta Braves,NL,--,--,2.98,--,--,--,--,--,0,313.2,298,105,104,36,12,76,210,1.19,.280,https://www.mlb.com/braves
Seattle Mariners,AL,--,--,3.03,--,--,--,--,--,0,285.0,301,99,96,35,10,64,210,1.28,.296,https://www.mlb.com/mariners
San Diego Padres,NL,--,--,3.05,--,--,--,--,--,0,277.1,254,96,94,27,8,57,231,1.12,.273,https://www.mlb.com/padres
Milwaukee Brewers,NL,--,--,3.12,--,--,--,--,--,0,282.1,283,102,98,33,7,61,200,1.22,.289,https://www.mlb.com/brewers
Chicago White Sox,AL,--,--,3.22,--,--,--,--,--,0,274.1,295,104,98,36,13,68,201,1.32,.300,https://www.mlb.com/whitesox
New York Yankees,AL,--,--,3.22,--,--,--,--,--,0,274.1,277,104,98,37,11,74,245,1.28,.283,https://www.mlb.com/yankees
Colorado Rockies,NL,--,--,3.27,--,--,--,--,--,0,277.2,294,106,101,35,11,88,175,1.38,.303,https://www.mlb.com/rockies
Philadelphia Phillies,NL,--,--,3.47,--,--,--,--,--,0,288.0,318,114,111,37,9,85,201,1.40,.304,https://www.mlb.com/phillies
