team,league,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,url
St. Louis Cardinals,NL,--,--,3.54,--,--,--,--,--,0,526.2,581,232,207,57,16,0,365,1.10,.285,https://www.mlb.com/cardinals
Los Angeles Dodgers,NL,--,--,3.65,--,--,--,--,--,0,552.1,515,243,224,54,13,0,432,0.93,.249,https://www.mlb.com/dodgers
New York Mets,NL,--,--,3.66,--,--,--,--,--,0,522.0,504,230,212,51,14,0,380,0.97,.255,https://www.mlb.com/mets
Pittsburgh Pirates,NL,--,--,3.70,--,--,--,--,--,0,530.2,550,249,218,45,34,0,378,1.04,.270,https://www.mlb.com/pirates
Kansas City Royals,AL,--,--,3.75,--,--,--,--,--,0,515.1,518,227,215,50,23,0,343,1.01,.265,https://www.mlb.com/royals
Baltimore Orioles,AL,--,--,3.91,--,--,--,--,--,0,520.0,519,242,226,60,21,0,354,1.00,.262,https://www.mlb.com/orioles
Cleveland Indians,AL,--,--,3.93,--,--,--,--,--,0,508.0,485,242,222,55,25,0,391,0.95,.252,https://www.mlb.com/indians
Chicago Cubs,NL,--,--,3.94,--,--,--,--,--,0,519.0,508,254,227,59,21,0,408,0.98,.255,https://www.mlb.com/cubs
Los Angeles Angels,AL,--,--,4.05,--,--,--,--,--,0,537.1,508,257,242,60,34,0,382,0.95,.249,https://www.mlb.com/angels
Minnesota Twins,AL,--,--,4.14,--,--,--,--,--,0,526.2,557,264,242,57,15,0,294,1.06,.273,https://www.mlb.com/twins
Houston Astros,AL,--,--,4.16,--,--,--,--,--,0,534.2,519,265,247,57,16,0,371,0.97,.255,https://www.mlb.com/astros
Oakland Athletics,AL,--,--,4.18,--,--,--,--,--,0,514.1,529,267,239,60,18,0,335,1.03,.268,https://www.mlb.com/athletics
Toronto Blue Jays,AL,--,--,4.21,--,--,--,--,--,0,515.1,508,259,241,66,31,0,296,0.99,.258,https://www.mlb.com/bluejays
Chicago White Sox,AL,--,--,4.21,--,--,--,--,--,0,530.0,537,269,248,55,31,0,377,1.01,.265,https://www.mlb.com/whitesox
San Francisco Giants,NL,--,--,4.23,--,--,--,--,--,0,523.2,546,256,246,66,19,0,319,1.04,.269,https://www.mlb.com/giants
New York Yankees,AL,--,--,4.26,--,--,--,--,--,0,519.2,524,267,246,65,19,0,404,1.01,.261,https://www.mlb.com/yankees
Seattle Mariners,AL,--,--,4.28,--,--,--,--,--,0,528.1,578,262,251,65,39,0,355,1.09,.279,https://www.mlb.com/mariners
Milwaukee Brewers,NL,--,--,4.29,--,--,--,--,--,0,509.2,558,267,243,59,26,0,360,1.09,.283,https://www.mlb.com/brewers
Washington Nationals,NL,--,--,4.31,--,--,--,--,--,0,493.1,539,276,236,67,22,1,373,1.09,.277,https://www.mlb.com/nationals
Cincinnati Reds,NL,--,--,4.34,--,--,--,--,--,0,527.0,547,268,254,66,35,0,382,1.04,.271,https://www.mlb.com/reds
Miami Marlins,NL,--,--,4.36,--,--,--,--,--,0,528.0,521,270,256,62,22,0,311,0.99,.264,https://www.mlb.com/marlins
Arizona Diamondbacks,NL,--,--,4.38,--,--,--,--,--,0,544.1,576,284,265,83,24,0,327,1.06,.274,https://www.mlb.com/dbacks
Atlanta Braves,NL,--,--,4.44,--,--,--,--,--,0,482.0,542,261,238,61,25,0,306,1.12,.291,https://www.mlb.com/braves
Tampa Bay Rays,AL,--,--,4.48,--,--,--,--,--,0,506.2,522,269,252,76,20,0,374,1.03,.267,https://www.mlb.com/rays
Texas Rangers,AL,--,--,4.60,--,--,--,--,--,0,515.0,558,275,263,64,23,0,363,1.08,.278,https://www.mlb.com/rangers
Boston Red Sox,AL,--,--,4.62,--,--,--,--,--,0,534.1,581,297,274,78,23,0,354,1.09,.278,https://www.mlb.com/redsox
San Diego Padres,NL,--,--,4.74,--,--,--,--,--,0,507.1,518,298,267,63,19,0,431,1.02,.268,https://www.mlb.com/padres
Detroit Tigers,AL,--,--,5.00,--,--,--,--,--,0,522.0,592,310,290,68,18,0,318,1.13,.291,https://www.mlb.com/tigers
Philadelphia Phillies,NL,--,--,5.07,--,--,--,--,--,0,513.1,627,316,289,85,20,0,324,1.22,.301,https://www.mlb.com/phillies
Colorado Rockies,NL,--,--,5.43,--,--,--,--,--,0,520.1,628,338,314,72,17,0,333,1.21,.306,https://www.mlb.com/rockies
