team,league,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,url
Los Angeles Dodgers,NL,--,--,3.56,--,--,--,--,--,0,449.2,356,196,178,51,7,167,519,1.16,.209,https://www.mlb.com/dodgers
Boston Red Sox,AL,--,--,3.89,--,--,--,--,--,0,467.1,403,223,202,51,9,159,541,1.20,.225,https://www.mlb.com/redsox
Chicago Cubs,NL,--,--,3.98,--,--,--,--,--,0,450.1,362,227,199,55,23,219,496,1.29,.213,https://www.mlb.com/cubs
Cleveland Indians,AL,--,--,4.03,--,--,--,--,--,0,446.1,418,223,200,43,12,144,569,1.26,.239,https://www.mlb.com/indians
Arizona Diamondbacks,NL,--,--,4.10,--,--,--,--,--,0,452.2,407,234,206,47,17,200,493,1.34,.231,https://www.mlb.com/dbacks
Milwaukee Brewers,NL,--,--,4.11,--,--,--,--,--,0,449.0,392,227,205,43,19,199,443,1.32,.227,https://www.mlb.com/brewers
Tampa Bay Rays,AL,--,--,4.17,--,--,--,--,--,0,457.2,378,246,212,52,13,188,459,1.24,.216,https://www.mlb.com/rays
St. Louis Cardinals,NL,--,--,4.42,--,--,--,--,--,0,452.0,439,250,222,52,22,195,466,1.40,.246,https://www.mlb.com/cardinals
Washington Nationals,NL,--,--,4.74,--,--,--,--,--,0,454.0,403,264,239,59,21,183,485,1.29,.228,https://www.mlb.com/nationals
New York Yankees,AL,--,--,4.76,--,--,--,--,--,0,463.2,405,273,245,58,16,183,534,1.27,.226,https://www.mlb.com/yankees
Pittsburgh Pirates,NL,--,--,4.77,--,--,--,--,--,0,447.1,431,264,237,55,18,177,452,1.36,.245,https://www.mlb.com/pirates
Toronto Blue Jays,AL,--,--,4.84,--,--,--,--,--,0,456.0,446,274,245,54,9,186,460,1.39,.247,https://www.mlb.com/bluejays
Kansas City Royals,AL,--,--,4.93,--,--,--,--,--,0,447.2,452,271,245,55,15,195,431,1.45,.253,https://www.mlb.com/royals
Texas Rangers,AL,--,--,4.96,--,--,--,--,--,0,442.1,413,292,244,59,23,198,381,1.38,.237,https://www.mlb.com/rangers
San Francisco Giants,NL,--,--,5.03,--,--,--,--,--,0,456.0,456,283,255,60,22,184,422,1.40,.251,https://www.mlb.com/giants
Colorado Rockies,NL,--,--,5.08,--,--,--,--,--,0,442.2,422,267,250,53,12,186,385,1.37,.243,https://www.mlb.com/rockies
Minnesota Twins,AL,--,--,5.12,--,--,--,--,--,0,448.2,432,289,255,73,21,168,379,1.34,.243,https://www.mlb.com/twins
Los Angeles Angels,AL,--,--,5.13,--,--,--,--,--,0,452.2,440,280,258,70,13,180,448,1.37,.247,https://www.mlb.com/angels
Baltimore Orioles,AL,--,--,5.27,--,--,--,--,--,0,442.0,430,275,259,77,16,216,404,1.46,.245,https://www.mlb.com/orioles
Seattle Mariners,AL,--,--,5.29,--,--,--,--,--,0,454.2,428,291,267,76,21,168,462,1.31,.240,https://www.mlb.com/mariners
New York Mets,NL,--,--,5.38,--,--,--,--,--,0,452.0,444,291,270,58,12,204,512,1.43,.248,https://www.mlb.com/mets
Houston Astros,AL,--,--,5.40,--,--,--,--,--,0,452.0,408,289,271,64,21,183,540,1.31,.232,https://www.mlb.com/astros
Philadelphia Phillies,NL,--,--,5.44,--,--,--,--,--,0,447.0,460,295,270,63,20,194,446,1.46,.258,https://www.mlb.com/phillies
Atlanta Braves,NL,--,--,5.45,--,--,--,--,--,0,452.2,439,300,274,56,17,226,435,1.47,.245,https://www.mlb.com/braves
Oakland Athletics,AL,--,--,5.54,--,--,--,--,--,0,442.0,451,310,272,77,12,170,395,1.40,.254,https://www.mlb.com/athletics
Detroit Tigers,AL,--,--,5.85,--,--,--,--,--,0,443.0,464,308,288,72,23,199,413,1.50,.261,https://www.mlb.com/tigers
Chicago White Sox,AL,--,--,5.89,--,--,--,--,--,0,444.1,421,322,291,75,23,224,416,1.45,.242,https://www.mlb.com/whitesox
Cincinnati Reds,NL,--,--,6.01,--,--,--,--,--,0,446.1,441,319,298,72,24,240,419,1.53,.250,https://www.mlb.com/reds
Miami Marlins,NL,--,--,6.15,--,--,--,--,--,0,446.1,434,333,305,61,24,242,422,1.51,.246,https://www.mlb.com/marlins
San Diego Padres,NL,--,--,6.45,--,--,--,--,--,0,438.1,455,351,314,80,32,220,469,1.54,.258,https://www.mlb.com/padres
