team,league,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,url
Atlanta Braves,NL,--,--,3.61,--,--,--,--,--,0,491.1,455,209,197,41,9,150,400,1.23,.246,https://www.mlb.com/braves
Kansas City Royals,AL,--,--,3.76,--,--,--,--,--,0,548.1,513,248,229,56,17,169,427,1.24,.251,https://www.mlb.com/royals
Oakland Athletics,AL,--,--,3.83,--,--,--,--,--,0,461.0,403,220,196,51,12,140,355,1.18,.232,https://www.mlb.com/athletics
Washington Nationals,NL,--,--,4.11,--,--,--,--,--,0,475.2,469,234,217,45,10,129,418,1.26,.259,https://www.mlb.com/nationals
Los Angeles Dodgers,NL,--,--,4.13,--,--,--,--,--,0,457.1,424,240,210,45,22,185,398,1.33,.247,https://www.mlb.com/dodgers
Milwaukee Brewers,NL,--,--,4.15,--,--,--,--,--,0,564.1,539,303,260,69,15,175,429,1.27,.251,https://www.mlb.com/brewers
Cincinnati Reds,NL,--,--,4.15,--,--,--,--,--,0,440.0,392,210,203,50,16,135,354,1.20,.242,https://www.mlb.com/reds
St. Louis Cardinals,NL,--,--,4.17,--,--,--,--,--,0,425.0,380,215,197,44,20,142,355,1.23,.241,https://www.mlb.com/cardinals
Texas Rangers,AL,--,--,4.18,--,--,--,--,--,0,486.1,448,245,226,54,16,178,424,1.29,.247,https://www.mlb.com/rangers
Miami Marlins,NL,--,--,4.20,--,--,--,--,--,0,571.2,518,289,267,47,16,216,450,1.28,.245,https://www.mlb.com/marlins
Tampa Bay Rays,AL,--,--,4.21,--,--,--,--,--,0,472.2,424,234,221,58,16,151,419,1.22,.240,https://www.mlb.com/rays
Pittsburgh Pirates,NL,--,--,4.30,--,--,--,--,--,0,469.1,449,249,224,35,34,171,360,1.32,.253,https://www.mlb.com/pirates
Baltimore Orioles,AL,--,--,4.33,--,--,--,--,--,0,496.2,458,251,239,64,15,166,429,1.26,.246,https://www.mlb.com/orioles
Chicago White Sox,AL,--,--,4.37,--,--,--,--,--,0,570.1,553,318,277,64,28,222,465,1.36,.257,https://www.mlb.com/whitesox
Boston Red Sox,AL,--,--,4.46,--,--,--,--,--,0,420.0,404,231,208,44,18,161,360,1.35,.254,https://www.mlb.com/redsox
Cleveland Indians,AL,--,--,4.47,--,--,--,--,--,0,472.2,453,263,235,42,25,192,436,1.36,.252,https://www.mlb.com/indians
San Francisco Giants,NL,--,--,4.52,--,--,--,--,--,0,549.0,528,297,276,57,20,193,462,1.31,.254,https://www.mlb.com/giants
Chicago Cubs,NL,--,--,4.60,--,--,--,--,--,0,536.1,478,288,274,57,30,219,437,1.30,.240,https://www.mlb.com/cubs
Arizona Diamondbacks,NL,--,--,4.60,--,--,--,--,--,0,532.0,494,292,272,77,19,176,441,1.26,.247,https://www.mlb.com/dbacks
Toronto Blue Jays,AL,--,--,4.65,--,--,--,--,--,0,574.1,555,331,297,84,25,211,447,1.33,.253,https://www.mlb.com/bluejays
San Diego Padres,NL,--,--,4.74,--,--,--,--,--,0,543.1,553,321,286,60,19,201,452,1.39,.266,https://www.mlb.com/padres
New York Yankees,AL,--,--,4.74,--,--,--,--,--,0,543.0,562,310,286,78,26,188,482,1.38,.267,https://www.mlb.com/yankees
Detroit Tigers,AL,--,--,4.80,--,--,--,--,--,0,397.2,403,231,212,36,11,131,360,1.34,.264,https://www.mlb.com/tigers
Los Angeles Angels,AL,--,--,4.80,--,--,--,--,--,0,502.2,502,292,268,59,12,218,395,1.43,.261,https://www.mlb.com/angels
Colorado Rockies,NL,--,--,4.96,--,--,--,--,--,0,541.0,601,322,298,54,13,184,380,1.45,.284,https://www.mlb.com/rockies
New York Mets,NL,--,--,4.97,--,--,--,--,--,0,522.0,518,316,288,63,16,172,395,1.32,.260,https://www.mlb.com/mets
Minnesota Twins,AL,--,--,4.97,--,--,--,--,--,0,657.2,696,396,363,68,15,217,430,1.39,.273,https://www.mlb.com/twins
Philadelphia Phillies,NL,--,--,5.20,--,--,--,--,--,0,571.2,608,361,330,60,29,229,485,1.46,.273,https://www.mlb.com/phillies
Houston Astros,AL,--,--,5.59,--,--,--,--,--,0,604.0,635,413,375,80,29,248,449,1.46,.270,https://www.mlb.com/astros
Seattle Mariners,AL,--,--,5.79,--,--,--,--,--,0,524.0,576,361,337,78,17,167,488,1.42,.277,https://www.mlb.com/mariners
