team,league,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,url
Los Angeles Dodgers,NL,--,--,1.79,--,--,--,--,--,0,50.1,31,16,10,5,1,81,72,2.23,.171,https://www.mlb.com/dodgers
Tampa Bay Rays,AL,--,--,1.91,--,--,--,--,--,0,56.2,42,13,12,5,1,92,75,2.36,.208,https://www.mlb.com/rays
San Diego Padres,NL,--,--,1.99,--,--,--,--,--,0,63.1,41,19,14,4,0,92,103,2.10,.181,https://www.mlb.com/padres
Minnesota Twins,AL,--,--,2.24,--,--,--,--,--,0,68.1,42,17,17,9,2,100,113,2.08,.171,https://www.mlb.com/twins
Oakland Athletics,AL,--,--,2.29,--,--,--,--,--,0,55.0,34,17,14,3,0,86,73,2.18,.176,https://www.mlb.com/athletics
Cleveland Indians,AL,--,--,2.34,--,--,--,--,--,0,69.1,39,20,18,6,1,85,123,1.79,.163,https://www.mlb.com/indians
Milwaukee Brewers,NL,--,--,2.50,--,--,--,--,--,0,72.0,32,23,20,6,3,102,126,1.86,.131,https://www.mlb.com/brewers
Washington Nationals,NL,--,--,2.56,--,--,--,--,--,0,63.1,46,21,18,4,0,104,109,2.37,.196,https://www.mlb.com/nationals
Baltimore Orioles,AL,--,--,2.66,--,--,--,--,--,0,64.1,40,23,19,6,0,100,111,2.18,.175,https://www.mlb.com/orioles
Chicago White Sox,AL,--,--,2.73,--,--,--,--,--,0,66.0,38,20,20,5,1,115,87,2.32,.167,https://www.mlb.com/whitesox
Arizona Diamondbacks,NL,--,--,2.96,--,--,--,--,--,0,54.2,45,19,18,5,0,125,92,3.11,.213,https://www.mlb.com/dbacks
Chicago Cubs,NL,--,--,2.97,--,--,--,--,--,0,57.2,37,22,19,9,0,83,90,2.08,.178,https://www.mlb.com/cubs
St. Louis Cardinals,NL,--,--,3.19,--,--,--,--,--,0,62.0,35,22,22,6,1,104,82,2.24,.163,https://www.mlb.com/cardinals
Kansas City Royals,AL,--,--,3.36,--,--,--,--,--,0,64.1,39,28,24,9,0,105,94,2.24,.173,https://www.mlb.com/royals
Cincinnati Reds,NL,--,--,3.42,--,--,--,--,--,0,79.0,42,33,30,9,1,112,130,1.95,.152,https://www.mlb.com/reds
Pittsburgh Pirates,NL,--,--,3.55,--,--,--,--,--,0,71.0,36,28,28,5,0,126,106,2.28,.150,https://www.mlb.com/pirates
San Francisco Giants,NL,--,--,3.57,--,--,--,--,--,0,63.0,40,28,25,5,0,111,94,2.40,.175,https://www.mlb.com/giants
Toronto Blue Jays,AL,--,--,3.59,--,--,--,--,--,0,77.2,53,37,31,10,1,135,123,2.42,.188,https://www.mlb.com/bluejays
Atlanta Braves,NL,--,--,3.69,--,--,--,--,--,0,61.0,48,27,25,4,5,113,94,2.64,.207,https://www.mlb.com/braves
Seattle Mariners,AL,--,--,3.77,--,--,--,--,--,0,59.2,32,26,25,4,2,114,92,2.45,.156,https://www.mlb.com/mariners
New York Yankees,AL,--,--,4.08,--,--,--,--,--,0,57.1,45,28,26,9,0,96,85,2.46,.213,https://www.mlb.com/yankees
Houston Astros,AL,--,--,4.45,--,--,--,--,--,0,54.2,53,29,27,8,5,114,82,3.05,.254,https://www.mlb.com/astros
Detroit Tigers,AL,--,--,4.50,--,--,--,--,--,0,62.0,50,33,31,11,5,108,85,2.55,.214,https://www.mlb.com/tigers
Miami Marlins,NL,--,--,4.50,--,--,--,--,--,0,60.0,40,32,30,6,1,106,95,2.43,.188,https://www.mlb.com/marlins
New York Mets,NL,--,--,4.55,--,--,--,--,--,0,61.1,44,32,31,8,4,103,117,2.40,.194,https://www.mlb.com/mets
Boston Red Sox,AL,--,--,4.64,--,--,--,--,--,0,64.0,57,34,33,8,0,130,96,2.92,.238,https://www.mlb.com/redsox
Philadelphia Phillies,NL,--,--,4.78,--,--,--,--,--,0,58.1,41,34,31,8,0,91,89,2.26,.195,https://www.mlb.com/phillies
Los Angeles Angels,AL,--,--,5.49,--,--,--,--,--,0,62.1,40,39,38,4,2,106,114,2.34,.178,https://www.mlb.com/angels
Colorado Rockies,NL,--,--,5.63,--,--,--,--,--,0,56.0,56,37,35,11,3,109,63,2.95,.259,https://www.mlb.com/rockies
Texas Rangers,AL,--,--,7.02,--,--,--,--,--,0,59.0,55,49,46,11,3,119,84,2.95,.240,https://www.mlb.com/rangers
