name,team,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,url
Hiroki Kuroda,NYY,--,--,4.01,--,--,--,--,--,--,94.1,91,45,42,14,4,0,62,0.96,.256,https://www.mlb.com/player/493133
Justin Verlander,DET,--,--,2.64,--,--,--,--,--,--,88.2,65,27,26,10,4,0,73,0.73,.202,https://www.mlb.com/player/434378
James Shields,TB,--,--,3.00,--,--,--,--,--,--,87.0,79,32,29,6,5,0,67,0.91,.239,https://www.mlb.com/player/448306
Matt Cain,SF,--,--,2.98,--,--,--,--,--,--,84.2,66,28,28,11,7,0,62,0.78,.225,https://www.mlb.com/player/430912
Bronson Arroyo,CIN,--,--,3.32,--,--,--,--,--,--,84.0,90,32,31,13,1,0,37,1.07,.280,https://www.mlb.com/player/276520
Ian Kennedy,ARI,--,--,3.98,--,--,--,--,--,--,83.2,86,39,37,12,8,0,56,1.03,.267,https://www.mlb.com/player/453178
Clayton Richard,SD,--,--,3.78,--,--,--,--,--,--,83.1,89,40,35,12,3,0,23,1.07,.276,https://www.mlb.com/player/453385
R.A. Dickey,NYM,--,--,2.93,--,--,--,--,--,--,83.0,65,28,27,6,3,0,58,0.78,.222,https://www.mlb.com/player/285079
Cole Hamels,PHI,--,--,2.84,--,--,--,--,--,--,82.1,77,31,26,11,2,0,56,0.94,.253,https://www.mlb.com/player/430935
Trevor Cahill,ARI,--,--,3.07,--,--,--,--,--,--,82.0,66,33,28,4,5,0,63,0.80,.227,https://www.mlb.com/player/502239
Felix Hernandez,SEA,--,--,3.29,--,--,--,--,--,--,82.0,94,33,30,6,8,0,68,1.15,.289,https://www.mlb.com/player/433587
David Price,TB,--,--,2.74,--,--,--,--,--,--,82.0,75,27,25,10,2,0,61,0.91,.251,https://www.mlb.com/player/456034
Yovani Gallardo,MIL,--,--,4.08,--,--,--,--,--,--,81.2,76,37,37,12,0,0,71,0.93,.255,https://www.mlb.com/player/451596
Zack Greinke,LAA,--,--,3.71,--,--,--,--,--,--,80.0,77,34,33,7,1,0,62,0.96,.252,https://www.mlb.com/player/425844
Edwin Jackson,WSH,--,--,3.94,--,--,--,--,--,--,80.0,78,37,35,9,2,0,60,0.98,.256,https://www.mlb.com/player/429719
Johnny Cueto,CIN,--,--,2.39,--,--,--,--,--,--,79.0,76,24,21,5,9,0,61,0.96,.254,https://www.mlb.com/player/456501
Mat Latos,CIN,--,--,2.97,--,--,--,--,--,--,78.2,67,28,26,8,1,0,43,0.85,.235,https://www.mlb.com/player/502009
Tommy Milone,OAK,--,--,4.81,--,--,--,--,--,--,78.2,95,46,42,13,1,0,48,1.21,.300,https://www.mlb.com/player/543548
Bruce Chen,KC,--,--,5.77,--,--,--,--,--,--,78.0,95,51,50,19,1,0,46,1.22,.303,https://www.mlb.com/player/136600
