player,position,team,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,url
Ryder Jones,3B,SF,--,2,1,2,0,0,1,2,0,0,0,0,1.000,1.000,2.500,3.500,https://www.mlb.com/player/624507
Enny Romero,P,KC,--,1,0,1,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,https://www.mlb.com/player/544836
Dennis Santana,P,LAD,--,1,0,1,1,0,0,2,0,0,0,0,1.000,1.000,2.000,3.000,https://www.mlb.com/player/642701
Rick Porcello,P,BOS,--,2,0,2,1,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,https://www.mlb.com/player/519144
Nolan Fontana,SS,LAA,--,2,1,1,0,0,1,1,0,1,0,0,.500,.500,2.000,2.500,https://www.mlb.com/player/545337
Ryan Schimpf,3B,LAA,--,2,2,1,0,0,1,2,0,0,0,0,.500,.500,2.000,2.500,https://www.mlb.com/player/572114
Randy Rosario,P,CHC,--,1,1,1,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/600968
Taylor Davis,C,CHC,--,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/543089
Sean Manaea,P,OAK,--,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/640455
Ryan Lavarnway,C,PIT,--,2,1,2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/543432
Derek Law,P,SF,--,1,1,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/571882
Christian Bergman,P,SEA,--,1,0,1,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/548357
Vidal Nuno,P,TB,--,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/573064
Marcus Stroman,P,TOR,--,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/573186
Michael Lorenzen,P,CIN,--,9,2,4,1,0,2,2,0,1,0,0,.444,.444,1.222,1.667,https://www.mlb.com/player/547179
Dan Jennings,P,MIL,--,3,0,2,1,0,0,0,0,1,0,0,.667,.667,1.000,1.667,https://www.mlb.com/player/543359
Yu Darvish,P,CHC,--,2,0,1,1,0,0,0,0,1,0,0,.500,.500,1.000,1.500,https://www.mlb.com/player/506433
Beau Taylor,C,OAK,--,2,0,1,1,0,0,0,0,0,0,0,.500,.500,1.000,1.500,https://www.mlb.com/player/607333
Sam Gaviglio,P,TOR,--,2,0,1,1,0,0,0,0,1,0,0,.500,.500,1.000,1.500,https://www.mlb.com/player/543208
Adam Rosales,2B,CLE,--,5,3,2,0,0,1,2,0,1,0,0,.400,.400,1.000,1.400,https://www.mlb.com/player/489267
Carlos Martinez,P,STL,--,12,1,6,2,0,1,4,0,1,0,0,.500,.462,.917,1.378,https://www.mlb.com/player/593372
Chris Rusin,P,COL,--,3,0,2,0,0,0,0,0,0,0,0,.667,.667,.667,1.333,https://www.mlb.com/player/543734
Harold Castro,3B,DET,--,3,1,2,0,0,0,0,0,0,0,0,.667,.667,.667,1.333,https://www.mlb.com/player/605612
Trevor Plouffe,3B,PHI,--,7,1,3,0,0,1,3,0,3,0,0,.429,.429,.857,1.286,https://www.mlb.com/player/461858
Patrick Wisdom,3B,STL,--,19,7,8,1,0,2,3,0,6,2,0,.421,.476,.789,1.266,https://www.mlb.com/player/621550
