player,position,team,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,url
Tyler Cravy,P,MIL,8,2,1,1,0,0,1,1,0,0,0,0,.500,.500,2.000,2.500,https://www.mlb.com/player/572788
Christian Bergman,P,COL,6,1,1,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/548357
Yefri Perez,SS,MIA,6,1,2,1,0,0,0,0,0,0,2,1,1.000,1.000,1.000,2.000,https://www.mlb.com/player/570639
Chris Parmelee,1B,NYY,4,8,4,4,1,0,2,4,0,3,0,0,.500,.500,1.375,1.875,https://www.mlb.com/player/476633
Trey Mancini,LF,BAL,4,11,3,5,1,0,3,5,0,2,0,0,.455,.500,1.364,1.864,https://www.mlb.com/player/641820
Mat Latos,P,WSH,3,3,1,1,0,0,1,1,0,1,0,0,.333,.333,1.333,1.667,https://www.mlb.com/player/502009
Tom Murphy,C,COL,10,25,6,11,2,0,5,12,1,9,0,0,.440,.481,1.120,1.601,https://www.mlb.com/player/608596
Andre Ethier,RF,LAD,5,5,2,2,1,0,1,1,0,1,0,0,.400,.400,1.200,1.600,https://www.mlb.com/player/444843
John Hicks,1B,DET,1,2,1,1,1,0,0,0,0,0,0,0,.500,.500,1.000,1.500,https://www.mlb.com/player/543308
Ty Blach,P,SF,1,3,0,2,0,0,0,0,0,0,0,0,.667,.667,.667,1.333,https://www.mlb.com/player/621389
Gavin Cecchini,SS,NYM,3,5,2,2,2,0,0,2,0,1,0,0,.400,.500,.800,1.300,https://www.mlb.com/player/608325
Jacob Stallings,C,PIT,3,7,0,4,1,0,0,2,0,1,0,0,.571,.571,.714,1.286,https://www.mlb.com/player/607732
Jesus Sucre,C,SEA,5,11,1,6,1,0,0,2,2,5,0,0,.545,.643,.636,1.279,https://www.mlb.com/player/491696
Michael Lorenzen,P,CIN,18,4,1,1,0,0,1,3,0,2,0,0,.250,.250,1.000,1.250,https://www.mlb.com/player/547179
Brandon Snyder,3B,ATL,25,27,6,9,4,1,3,8,1,11,0,0,.333,.357,.889,1.246,https://www.mlb.com/player/474319
Hunter Renfroe,RF,SD,8,26,7,9,1,0,4,12,1,4,0,0,.346,.370,.846,1.217,https://www.mlb.com/player/592669
David Ortiz,DH,BOS,78,276,44,92,34,1,20,73,48,42,2,0,.333,.427,.681,1.108,https://www.mlb.com/player/120074
Kyle Jensen,1B,ARI,8,15,3,5,0,0,2,6,1,7,0,0,.333,.375,.733,1.108,https://www.mlb.com/player/571812
Trevor Story,SS,COL,46,176,39,55,13,3,16,40,20,59,4,2,.313,.393,.693,1.086,https://www.mlb.com/player/596115
Jordan Patterson,RF,COL,5,14,1,7,1,0,0,2,0,0,0,1,.500,.500,.571,1.071,https://www.mlb.com/player/641958
Jose Martinez,1B,STL,5,6,1,3,0,0,0,1,1,0,0,0,.500,.571,.500,1.071,https://www.mlb.com/player/500874
DJ LeMahieu,2B,COL,76,281,69,110,25,5,7,43,46,33,5,5,.391,.473,.591,1.064,https://www.mlb.com/player/518934
J.D. Martinez,RF,DET,60,224,35,81,20,1,13,43,19,47,1,1,.362,.407,.634,1.041,https://www.mlb.com/player/502110
Nolan Arenado,3B,COL,79,311,68,97,23,3,25,85,38,48,1,1,.312,.384,.646,1.030,https://www.mlb.com/player/571448
Josh Donaldson,3B,TOR,77,290,66,86,20,1,21,58,53,58,5,1,.297,.414,.590,1.004,https://www.mlb.com/player/518626
Tyler Austin,1B,NYY,18,50,6,15,2,0,5,11,5,26,1,0,.300,.364,.640,1.004,https://www.mlb.com/player/592122
Rio Ruiz,3B,ATL,4,6,1,2,0,1,0,2,0,2,1,0,.333,.333,.667,1.000,https://www.mlb.com/player/547004
Dariel Alvarez,RF,BAL,1,3,0,1,1,0,0,0,0,0,0,0,.333,.333,.667,1.000,https://www.mlb.com/player/645848
