player,position,team,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,url
Jung Ho Kang,3B,PIT,--,113,19,22,6,0,8,20,0,42,2,0,.195,.244,.460,.704,https://www.mlb.com/player/628356
Yadier Molina,C,STL,--,180,17,54,6,1,3,18,0,37,0,0,.300,.308,.394,.702,https://www.mlb.com/player/425877
Patrick Kivlehan,LF,CIN,--,10,2,2,0,0,1,1,0,6,0,0,.200,.200,.500,.700,https://www.mlb.com/player/623182
Mookie Betts,RF,BOS,--,227,40,64,9,2,6,20,0,42,7,1,.282,.281,.419,.699,https://www.mlb.com/player/605141
Justin Turner,3B,LAD,--,195,14,52,11,2,5,29,0,58,0,0,.267,.279,.421,.699,https://www.mlb.com/player/457759
Jose Peraza,2B,CIN,--,95,4,30,1,1,1,7,0,22,6,1,.316,.320,.379,.698,https://www.mlb.com/player/606299
Matt Joyce,RF,PIT,--,61,13,14,2,1,3,10,0,22,0,0,.230,.254,.443,.697,https://www.mlb.com/player/459964
Mark Trumbo,RF,BAL,--,250,23,61,13,1,12,29,0,92,2,0,.244,.247,.448,.695,https://www.mlb.com/player/444432
Devon Travis,2B,TOR,--,160,13,44,9,1,4,12,0,47,3,0,.275,.275,.419,.694,https://www.mlb.com/player/581527
T.J. Rivera,2B,NYM,--,43,3,12,3,0,1,6,0,14,0,0,.279,.273,.419,.691,https://www.mlb.com/player/608061
Francisco Lindor,SS,CLE,--,222,24,68,9,1,2,20,0,44,7,2,.306,.308,.383,.691,https://www.mlb.com/player/596019
Josh Rutledge,3B,BOS,--,29,2,8,4,0,0,2,0,15,0,0,.276,.276,.414,.690,https://www.mlb.com/player/592710
Ryan Schimpf,3B,SD,--,92,15,16,5,3,6,12,0,51,0,0,.174,.200,.489,.689,https://www.mlb.com/player/572114
