name,team,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,url
Aaron Civale,CLE,--,--,1.85,--,--,--,--,--,--,43.2,38,9,9,4,0,10,69,1.10,.238,https://www.mlb.com/player/650644
Cam Hill,CLE,--,--,2.19,--,--,--,--,--,--,12.1,3,3,3,0,1,3,16,0.49,.079,https://www.mlb.com/player/657611
Brent Suter,MIL,--,--,0.89,--,--,--,--,--,--,20.1,15,3,2,0,0,1,38,0.79,.200,https://www.mlb.com/player/608718
Joe Biagini,HOU,--,--,23.63,--,--,--,--,--,--,2.2,3,7,7,1,0,3,4,2.25,.273,https://www.mlb.com/player/607352
Chris Paddack,SD,--,--,2.21,--,--,--,--,--,--,36.2,26,11,9,4,0,8,58,0.93,.191,https://www.mlb.com/player/663978
Jake Odorizzi,MIN,--,--,6.97,--,--,--,--,--,--,10.1,9,8,8,4,1,2,12,1.06,.237,https://www.mlb.com/player/543606
Dan Winkler,CHC,--,--,1.86,--,--,--,--,--,--,9.2,5,3,2,0,1,4,18,0.93,.147,https://www.mlb.com/player/595465
Roel Ramirez,STL,--,--,108.00,--,--,--,--,--,--,0.1,2,4,4,2,0,0,1,6.00,.667,https://www.mlb.com/player/641995
Thomas Hatch,TOR,--,--,2.08,--,--,--,--,--,--,13.0,6,3,3,0,0,8,23,1.08,.133,https://www.mlb.com/player/641672
Josh A. Smith,MIA,--,--,2.38,--,--,--,--,--,--,11.1,12,4,3,0,0,3,18,1.32,.261,https://www.mlb.com/player/595001
Trevor Rosenthal,SD,--,--,1.59,--,--,--,--,--,--,17.0,4,3,3,2,0,4,38,0.47,.075,https://www.mlb.com/player/572096
Liam Hendriks,OAK,--,--,0.96,--,--,--,--,--,--,18.2,6,2,2,1,0,1,37,0.38,.098,https://www.mlb.com/player/521230
Michael Fulmer,DET,--,--,1.98,--,--,--,--,--,--,13.2,11,3,3,2,1,5,20,1.17,.216,https://www.mlb.com/player/605242
Jose Suarez,LAA,--,--,20.25,--,--,--,--,--,--,1.1,3,3,3,1,1,4,2,5.25,.429,https://www.mlb.com/player/660761
Diego Castillo,TB,--,--,0.69,--,--,--,--,--,--,13.0,1,1,1,1,0,6,23,0.54,.026,https://www.mlb.com/player/650895
Joe Mantiply,ARI,--,--,13.50,--,--,--,--,--,--,2.0,1,3,3,0,0,2,2,1.50,.143,https://www.mlb.com/player/573009
Darren O'Day,ATL,--,--,0.00,--,--,--,--,--,--,10.1,3,0,0,0,3,3,22,0.58,.086,https://www.mlb.com/player/503285
Ryan Thompson,TB,--,--,1.88,--,--,--,--,--,--,14.1,6,4,3,0,0,3,23,0.63,.125,https://www.mlb.com/player/657044
Zach Davies,SD,--,--,1.35,--,--,--,--,--,--,40.0,15,6,6,2,0,5,63,0.50,.114,https://www.mlb.com/player/605200
Brandon Bielak,HOU,--,--,5.40,--,--,--,--,--,--,18.1,17,12,11,4,0,10,26,1.47,.250,https://www.mlb.com/player/656232
Andrew Kittredge,TB,--,--,2.25,--,--,--,--,--,--,4.0,5,1,1,0,0,1,3,1.50,.313,https://www.mlb.com/player/552640
Paolo Espino,WSH,--,--,4.50,--,--,--,--,--,--,4.0,4,2,2,1,0,1,7,1.25,.250,https://www.mlb.com/player/502179
Kevin McCarthy,KC,--,--,3.38,--,--,--,--,--,--,2.2,2,1,1,1,0,0,2,0.75,.222,https://www.mlb.com/player/641838
Nick Pivetta,BOS,--,--,4.35,--,--,--,--,--,--,10.1,10,5,5,1,1,3,17,1.26,.250,https://www.mlb.com/player/601713
Paul Sewald,NYM,--,--,3.00,--,--,--,--,--,--,3.0,4,1,1,0,0,0,2,1.33,.308,https://www.mlb.com/player/623149
Daniel Hudson,WSH,--,--,2.70,--,--,--,--,--,--,13.1,5,4,4,3,1,8,28,0.98,.111,https://www.mlb.com/player/543339
Tzu-Wei Lin,BOS,--,--,0.00,--,--,--,--,--,--,0.1,1,0,0,0,0,0,0,3.00,.500,https://www.mlb.com/player/624407
Dillon Peters,LAA,--,--,0.00,--,--,--,--,--,--,1.1,0,0,0,0,0,0,2,0.00,.000,https://www.mlb.com/player/596071
Rob Kaminsky,STL,--,--,3.38,--,--,--,--,--,--,2.2,2,2,1,0,0,2,3,1.50,.222,https://www.mlb.com/player/641739
Triston McKenzie,CLE,--,--,1.90,--,--,--,--,--,--,23.2,13,5,5,2,1,5,42,0.76,.163,https://www.mlb.com/player/663474
Frankie Montas,OAK,--,--,0.25,--,--,--,--,--,--,35.2,16,1,1,0,0,12,60,0.79,.133,https://www.mlb.com/player/593423
Adrian Morejon,SD,--,--,2.53,--,--,--,--,--,--,10.2,11,4,3,3,0,2,25,1.22,.256,https://www.mlb.com/player/670970
Ian Kennedy,KC,--,--,8.31,--,--,--,--,--,--,8.2,8,9,8,3,0,3,15,1.27,.242,https://www.mlb.com/player/453178
Brad Boxberger,MIA,--,--,1.42,--,--,--,--,--,--,12.2,8,2,2,1,0,2,18,0.79,.174,https://www.mlb.com/player/502202
Taylor Clarke,ARI,--,--,3.04,--,--,--,--,--,--,23.2,15,9,8,3,0,6,40,0.89,.179,https://www.mlb.com/player/664199
Zack Godley,BOS,--,--,4.96,--,--,--,--,--,--,16.1,10,9,9,3,1,7,28,1.04,.169,https://www.mlb.com/player/643327
Keone Kela,PIT,--,--,6.75,--,--,--,--,--,--,1.1,2,1,1,1,0,1,3,2.25,.333,https://www.mlb.com/player/605309
Phil Bickford,MIL,--,--,27.00,--,--,--,--,--,--,0.2,2,2,2,0,2,0,2,3.00,.500,https://www.mlb.com/player/641360
Ben Heller,NYY,--,--,4.91,--,--,--,--,--,--,3.2,3,2,2,2,0,0,6,0.82,.214,https://www.mlb.com/player/621294
Yonny Chirinos,TB,--,--,0.00,--,--,--,--,--,--,7.0,3,1,0,0,0,2,10,0.71,.136,https://www.mlb.com/player/630023
Adrian Houser,MIL,--,--,4.20,--,--,--,--,--,--,30.0,19,16,14,3,0,13,44,1.07,.178,https://www.mlb.com/player/605288
Hunter Strickland,NYM,--,--,0.00,--,--,--,--,--,--,1.2,3,1,0,0,0,0,4,1.80,.429,https://www.mlb.com/player/519326
Jonathan Hernandez,TEX,--,--,1.35,--,--,--,--,--,--,20.0,10,3,3,0,0,1,31,0.55,.149,https://www.mlb.com/player/642546
