name,team,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,url
Roy Halladay,PHI,--,--,1.82,--,--,--,--,--,--,119.0,105,27,24,7,3,11,109,0.97,.236,https://www.mlb.com/player/136880
Adam Wainwright,STL,--,--,1.35,--,--,--,--,--,--,113.2,74,17,17,5,0,29,96,0.91,.187,https://www.mlb.com/player/425794
Carl Pavano,MIN,--,--,3.41,--,--,--,--,--,--,111.0,111,44,42,13,2,16,59,1.14,.258,https://www.mlb.com/player/134321
Jon Lester,BOS,--,--,2.60,--,--,--,--,--,--,104.0,76,34,30,5,8,44,126,1.15,.203,https://www.mlb.com/player/452657
Trevor Cahill,OAK,--,--,2.63,--,--,--,--,--,--,102.2,81,33,30,7,1,38,64,1.16,.221,https://www.mlb.com/player/502239
John Danks,CWS,--,--,3.14,--,--,--,--,--,--,100.1,80,36,35,8,1,37,71,1.17,.214,https://www.mlb.com/player/433579
Gio Gonzalez,OAK,--,--,2.57,--,--,--,--,--,--,98.0,84,28,28,9,1,39,77,1.26,.230,https://www.mlb.com/player/461829
Tim Hudson,ATL,--,--,2.44,--,--,--,--,--,--,96.0,82,27,26,8,5,32,56,1.19,.235,https://www.mlb.com/player/218596
Bronson Arroyo,CIN,--,--,3.66,--,--,--,--,--,--,93.1,91,38,38,12,1,22,51,1.21,.256,https://www.mlb.com/player/276520
Chris Carpenter,STL,--,--,3.47,--,--,--,--,--,--,93.1,94,41,36,10,6,21,65,1.23,.262,https://www.mlb.com/player/112020
Tim Lincecum,SF,--,--,2.53,--,--,--,--,--,--,92.2,80,26,26,6,1,27,108,1.15,.230,https://www.mlb.com/player/453311
Mike Pelfrey,NYM,--,--,2.56,--,--,--,--,--,--,91.1,89,28,26,5,1,23,55,1.23,.270,https://www.mlb.com/player/460059
Ricky Romero,TOR,--,--,2.59,--,--,--,--,--,--,90.1,81,30,26,5,1,32,77,1.25,.239,https://www.mlb.com/player/460069
Felix Hernandez,SEA,--,--,1.31,--,--,--,--,--,--,89.0,56,16,13,3,3,21,91,0.87,.178,https://www.mlb.com/player/433587
Shaun Marcum,TOR,--,--,3.05,--,--,--,--,--,--,88.2,88,34,30,10,3,20,66,1.22,.255,https://www.mlb.com/player/451788
Matt Cain,SF,--,--,2.21,--,--,--,--,--,--,85.2,54,23,21,6,1,14,72,0.79,.175,https://www.mlb.com/player/430912
Johan Santana,NYM,--,--,2.66,--,--,--,--,--,--,84.2,73,26,25,7,0,25,53,1.16,.234,https://www.mlb.com/player/276371
Cliff Lee,TEX,--,--,2.99,--,--,--,--,--,--,84.1,85,33,28,5,0,4,81,1.06,.252,https://www.mlb.com/player/424324
Wandy Rodriguez,HOU,--,--,3.14,--,--,--,--,--,--,83.0,69,37,29,8,6,26,89,1.14,.223,https://www.mlb.com/player/434643
Dan Haren,LAA,--,--,3.92,--,--,--,--,--,--,82.2,94,41,36,10,0,19,85,1.37,.282,https://www.mlb.com/player/429717
Mat Latos,SD,--,--,2.07,--,--,--,--,--,--,82.2,59,20,19,6,1,22,92,0.98,.194,https://www.mlb.com/player/502009
Ricky Nolasco,FLA,--,--,3.61,--,--,--,--,--,--,82.1,73,36,33,12,1,18,78,1.11,.233,https://www.mlb.com/player/445060
Roy Oswalt,PHI,--,--,1.97,--,--,--,--,--,--,82.1,53,19,18,8,1,19,77,0.87,.183,https://www.mlb.com/player/400061
Josh Johnson,FLA,--,--,1.44,--,--,--,--,--,--,81.1,70,16,13,5,1,18,82,1.08,.231,https://www.mlb.com/player/435178
Brett Myers,HOU,--,--,3.26,--,--,--,--,--,--,80.0,80,35,29,7,0,23,62,1.29,.254,https://www.mlb.com/player/408206
Mark Buehrle,CWS,--,--,3.29,--,--,--,--,--,--,79.1,90,29,29,6,0,19,45,1.37,.283,https://www.mlb.com/player/279824
John Lackey,BOS,--,--,4.67,--,--,--,--,--,--,79.0,86,42,41,10,3,25,50,1.41,.278,https://www.mlb.com/player/407793
Ervin Santana,LAA,--,--,3.19,--,--,--,--,--,--,79.0,72,30,28,11,4,26,55,1.24,.238,https://www.mlb.com/player/429722
C.J. Wilson,TEX,--,--,2.77,--,--,--,--,--,--,78.0,56,26,24,5,4,33,62,1.14,.201,https://www.mlb.com/player/450351
Anibal Sanchez,FLA,--,--,2.58,--,--,--,--,--,--,76.2,70,25,22,3,3,28,53,1.28,.243,https://www.mlb.com/player/434671
David Price,TB,--,--,3.18,--,--,--,--,--,--,76.1,71,31,27,6,2,37,66,1.41,.241,https://www.mlb.com/player/456034
Kevin Slowey,MIN,--,--,4.38,--,--,--,--,--,--,76.0,83,39,37,9,4,11,62,1.24,.270,https://www.mlb.com/player/458713
Chris Volstad,FLA,--,--,4.42,--,--,--,--,--,--,75.1,85,38,37,8,5,26,37,1.47,.286,https://www.mlb.com/player/458690
Joe Saunders,ARI,--,--,3.27,--,--,--,--,--,--,74.1,65,31,27,6,1,15,36,1.08,.236,https://www.mlb.com/player/434578
Matt Garza,TB,--,--,4.00,--,--,--,--,--,--,74.1,75,34,33,10,1,24,51,1.33,.267,https://www.mlb.com/player/490063
Joe Blanton,PHI,--,--,4.95,--,--,--,--,--,--,72.2,82,42,40,15,0,20,59,1.40,.280,https://www.mlb.com/player/430599
Dallas Braden,OAK,--,--,2.50,--,--,--,--,--,--,72.0,56,21,20,4,1,15,36,0.99,.215,https://www.mlb.com/player/460284
Johnny Cueto,CIN,--,--,3.77,--,--,--,--,--,--,71.2,65,30,30,7,3,20,55,1.19,.238,https://www.mlb.com/player/456501
Chad Billingsley,LAD,--,--,3.68,--,--,--,--,--,--,71.0,72,32,29,4,2,21,67,1.31,.260,https://www.mlb.com/player/451532
R.A. Dickey,NYM,--,--,3.17,--,--,--,--,--,--,71.0,74,28,25,7,1,19,43,1.31,.266,https://www.mlb.com/player/285079
Jaime Garcia,STL,--,--,3.42,--,--,--,--,--,--,71.0,70,29,27,6,0,31,56,1.42,.255,https://www.mlb.com/player/448802
Francisco Liriano,MIN,--,--,3.33,--,--,--,--,--,--,70.1,69,26,26,2,3,17,67,1.22,.252,https://www.mlb.com/player/434538
Clayton Richard,SD,--,--,4.73,--,--,--,--,--,--,70.1,84,37,37,5,1,30,50,1.62,.299,https://www.mlb.com/player/453385
Randy Wells,CHC,--,--,3.34,--,--,--,--,--,--,70.0,80,26,26,8,2,20,50,1.43,.289,https://www.mlb.com/player/448694
Jonathan Sanchez,SF,--,--,3.47,--,--,--,--,--,--,70.0,55,27,27,11,5,34,84,1.27,.212,https://www.mlb.com/player/456043
Clayton Kershaw,LAD,--,--,2.97,--,--,--,--,--,--,69.2,54,26,23,4,3,27,69,1.16,.209,https://www.mlb.com/player/477132
Kyle Kendrick,PHI,--,--,4.30,--,--,--,--,--,--,69.0,76,36,33,11,0,16,27,1.33,.280,https://www.mlb.com/player/452718
Jonathon Niese,NYM,--,--,3.93,--,--,--,--,--,--,68.2,70,35,30,9,6,20,63,1.31,.262,https://www.mlb.com/player/477003
Ryan Dempster,CHC,--,--,3.61,--,--,--,--,--,--,67.1,68,32,27,9,4,19,64,1.29,.261,https://www.mlb.com/player/133225
Zack Greinke,KC,--,--,4.48,--,--,--,--,--,--,66.1,62,34,33,8,1,14,55,1.15,.246,https://www.mlb.com/player/425844
Derek Lowe,ATL,--,--,3.70,--,--,--,--,--,--,65.2,80,28,27,6,1,14,44,1.43,.297,https://www.mlb.com/player/117955
Jason Hammel,COL,--,--,5.62,--,--,--,--,--,--,65.2,81,41,41,10,3,18,53,1.51,.299,https://www.mlb.com/player/434628
Jason Vargas,SEA,--,--,3.56,--,--,--,--,--,--,65.2,62,28,26,10,0,16,38,1.19,.244,https://www.mlb.com/player/450306
Colby Lewis,TEX,--,--,3.60,--,--,--,--,--,--,65.0,57,29,26,7,2,18,74,1.15,.228,https://www.mlb.com/player/407890
Cole Hamels,PHI,--,--,2.38,--,--,--,--,--,--,64.1,53,18,17,6,4,22,49,1.17,.226,https://www.mlb.com/player/430935
Jeff Niemann,TB,--,--,4.99,--,--,--,--,--,--,61.1,64,35,34,12,2,24,42,1.43,.268,https://www.mlb.com/player/435298
Hiroki Kuroda,LAD,--,--,2.95,--,--,--,--,--,--,61.0,60,25,20,3,1,13,46,1.20,.252,https://www.mlb.com/player/493133
Dave Bush,MIL,--,--,4.72,--,--,--,--,--,--,61.0,64,34,32,13,1,20,35,1.38,.267,https://www.mlb.com/player/433657
Tommy Hanson,ATL,--,--,2.37,--,--,--,--,--,--,60.2,46,17,16,2,4,13,47,0.97,.208,https://www.mlb.com/player/462102
Freddy Garcia,CWS,--,--,4.45,--,--,--,--,--,--,60.2,66,32,30,9,2,17,44,1.37,.277,https://www.mlb.com/player/150119
Chris Narveson,MIL,--,--,5.25,--,--,--,--,--,--,60.0,61,35,35,8,1,22,52,1.38,.265,https://www.mlb.com/player/429780
Brandon Morrow,TOR,--,--,5.40,--,--,--,--,--,--,60.0,61,36,36,6,4,31,70,1.53,.266,https://www.mlb.com/player/453344
Daisuke Matsuzaka,BOS,--,--,4.53,--,--,--,--,--,--,59.2,57,31,30,7,2,21,38,1.31,.249,https://www.mlb.com/player/493137
Joel Pineiro,LAA,--,--,3.03,--,--,--,--,--,--,59.1,53,20,20,5,1,10,35,1.06,.236,https://www.mlb.com/player/334492
Nick Blackburn,MIN,--,--,5.19,--,--,--,--,--,--,59.0,68,34,34,9,2,11,23,1.34,.288,https://www.mlb.com/player/448147
Max Scherzer,DET,--,--,1.99,--,--,--,--,--,--,58.2,48,13,13,2,1,26,59,1.26,.227,https://www.mlb.com/player/453286
Carlos Marmol,CHC,--,--,2.78,--,--,--,--,--,--,58.1,31,18,18,0,6,41,106,1.23,.150,https://www.mlb.com/player/461791
John Lannan,WSH,--,--,5.71,--,--,--,--,--,--,58.1,75,39,37,5,2,26,27,1.73,.311,https://www.mlb.com/player/458709
Francisco Cordero,CIN,--,--,4.19,--,--,--,--,--,--,58.0,62,28,27,4,2,31,48,1.60,.273,https://www.mlb.com/player/150188
