name,team,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,url
John Ely,LAD,--,--,8.10,--,--,--,--,--,--,40.0,43,37,36,8,0,0,22,1.08,.291,https://www.mlb.com/player/518655
Felipe Paulino,HOU,--,--,5.90,--,--,--,--,--,--,39.2,42,31,26,2,2,0,20,1.06,.280,https://www.mlb.com/player/462956
Kris Medlen,ATL,--,--,3.43,--,--,--,--,--,--,39.1,45,18,15,8,0,0,22,1.14,.300,https://www.mlb.com/player/450665
Ross Ohlendorf,PIT,--,--,3.43,--,--,--,--,--,--,39.1,33,17,15,5,2,0,20,0.84,.232,https://www.mlb.com/player/456027
Barry Enright,ARI,--,--,4.85,--,--,--,--,--,--,39.0,43,21,21,11,1,0,12,1.10,.291,https://www.mlb.com/player/446264
Luke Hochevar,KC,--,--,4.85,--,--,--,--,--,--,39.0,36,26,21,1,2,0,21,0.92,.242,https://www.mlb.com/player/460024
Jeff Francis,COL,--,--,4.34,--,--,--,--,--,--,37.1,42,19,18,2,0,0,21,1.13,.292,https://www.mlb.com/player/433585
Brett Anderson,OAK,--,--,3.38,--,--,--,--,--,--,37.1,51,17,14,3,1,0,23,1.37,.327,https://www.mlb.com/player/474463
Kyle Lohse,STL,--,--,5.11,--,--,--,--,--,--,37.0,53,26,21,4,1,0,16,1.43,.344,https://www.mlb.com/player/346798
J.A. Happ,HOU,--,--,2.97,--,--,--,--,--,--,36.1,29,12,12,3,0,0,31,0.80,.223,https://www.mlb.com/player/457918
Madison Bumgarner,SF,--,--,2.97,--,--,--,--,--,--,36.1,46,13,12,4,3,0,17,1.27,.311,https://www.mlb.com/player/518516
Travis Wood,CIN,--,--,5.35,--,--,--,--,--,--,35.1,34,23,21,6,2,0,22,0.96,.248,https://www.mlb.com/player/475243
Daniel Hudson,ARI,--,--,4.11,--,--,--,--,--,--,35.0,28,16,16,6,2,0,21,0.80,.224,https://www.mlb.com/player/543339
Carlos Monasterios,LAD,--,--,3.09,--,--,--,--,--,--,35.0,31,14,12,5,1,0,17,0.89,.242,https://www.mlb.com/player/467856
Nate Robertson,PHI,--,--,6.17,--,--,--,--,--,0,35.0,43,29,24,7,1,0,15,1.23,.321,https://www.mlb.com/player/425146
Homer Bailey,CIN,--,--,4.46,--,--,--,--,--,--,34.1,35,17,17,4,2,0,31,1.02,.265,https://www.mlb.com/player/456701
Ryan Rowland-Smith,SEA,--,--,10.22,--,--,--,--,--,--,34.1,57,43,39,10,3,0,10,1.66,.373,https://www.mlb.com/player/434884
Kenshin Kawakami,ATL,--,--,4.76,--,--,--,--,--,--,34.0,42,20,18,4,0,0,24,1.24,.304,https://www.mlb.com/player/499877
Matt Belisle,COL,--,--,2.65,--,--,--,--,--,--,34.0,37,10,10,2,0,0,27,1.09,.282,https://www.mlb.com/player/279571
Mark Hendrickson,BAL,--,--,3.48,--,--,--,--,--,--,33.2,41,13,13,3,1,0,13,1.22,.301,https://www.mlb.com/player/424805
Luke French,SEA,--,--,3.24,--,--,--,--,--,--,33.1,34,12,12,2,2,0,12,1.02,.258,https://www.mlb.com/player/448287
Tim Stauffer,SD,--,--,3.00,--,--,--,--,--,--,33.0,31,11,11,2,1,0,17,0.94,.252,https://www.mlb.com/player/431162
Brian Tallet,TOR,--,--,6.55,--,--,--,--,--,--,33.0,37,25,24,8,1,0,15,1.12,.276,https://www.mlb.com/player/425226
Tyler Clippard,WSH,--,--,3.00,--,--,--,--,--,--,33.0,33,11,11,2,2,0,37,1.00,.268,https://www.mlb.com/player/461325
Nelson Figueroa,HOU,--,--,3.38,--,--,--,--,--,--,32.0,35,12,12,3,0,0,20,1.09,.276,https://www.mlb.com/player/150153
Vicente Padilla,LAD,--,--,4.02,--,--,--,--,--,--,31.1,37,15,14,8,4,0,13,1.18,.296,https://www.mlb.com/player/218894
Miguel Batista,WSH,--,--,2.59,--,--,--,--,--,--,31.1,23,10,9,3,3,0,23,0.73,.204,https://www.mlb.com/player/110683
Brian Burres,PIT,--,--,4.35,--,--,--,--,--,--,31.0,33,15,15,3,2,0,16,1.06,.275,https://www.mlb.com/player/434638
Nick Masset,CIN,--,--,2.64,--,--,--,--,--,--,30.2,18,11,9,2,1,0,26,0.59,.180,https://www.mlb.com/player/434665
Blake Hawksworth,STL,--,--,4.40,--,--,--,--,--,--,30.2,38,17,15,4,0,0,17,1.24,.309,https://www.mlb.com/player/458003
Rich Harden,TEX,--,--,6.75,--,--,--,--,--,--,30.2,38,23,23,3,5,0,23,1.24,.299,https://www.mlb.com/player/425848
Matt Albers,BAL,--,--,4.15,--,--,--,--,--,--,30.1,29,16,14,4,1,0,16,0.96,.252,https://www.mlb.com/player/458006
D.J. Carrasco,ARI,--,--,2.70,--,--,--,--,--,--,30.0,22,12,9,2,2,0,17,0.73,.214,https://www.mlb.com/player/425647
