name,team,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,url
John Lackey,BOS,--,--,11.78,--,--,--,--,--,--,62.2,58,91,82,6,5,32,34,1.44,.256,https://www.mlb.com/player/407793
Brett Myers,HOU,--,--,7.57,--,--,--,--,--,--,60.2,46,59,51,1,2,24,45,1.15,.217,https://www.mlb.com/player/408206
Ervin Santana,LAA,--,--,9.85,--,--,--,--,--,--,60.1,49,73,66,3,7,22,54,1.18,.234,https://www.mlb.com/player/429722
Mike Pelfrey,NYM,--,--,10.01,--,--,--,--,--,--,59.1,52,70,66,2,3,25,30,1.30,.256,https://www.mlb.com/player/460059
Justin Masterson,CLE,--,--,12.05,--,--,--,--,--,--,59.0,59,91,79,3,2,25,49,1.42,.267,https://www.mlb.com/player/475416
Roy Halladay,PHI,--,--,6.29,--,--,--,--,--,--,58.2,32,47,41,2,1,14,49,0.78,.173,https://www.mlb.com/player/136880
Roberto Hernandez,CLE,--,--,10.46,--,--,--,--,--,--,57.2,46,77,67,1,4,18,29,1.11,.235,https://www.mlb.com/player/433584
Dan Haren,LAA,--,--,11.24,--,--,--,--,--,--,57.2,58,80,72,6,1,23,56,1.40,.272,https://www.mlb.com/player/429717
CC Sabathia,NYY,--,--,9.79,--,--,--,--,--,0,57.0,50,70,62,3,2,22,51,1.26,.256,https://www.mlb.com/player/282332
A.J. Burnett,NYY,--,--,13.66,--,--,--,--,--,0,55.1,52,92,84,8,5,20,52,1.30,.260,https://www.mlb.com/player/150359
Tim Lincecum,SF,--,--,9.82,--,--,--,--,--,--,55.0,45,63,60,5,2,18,56,1.15,.231,https://www.mlb.com/player/453311
James Shields,TB,--,--,12.76,--,--,--,--,--,0,55.0,54,88,78,6,1,18,53,1.31,.258,https://www.mlb.com/player/448306
Rodrigo Lopez,ARI,--,--,11.91,--,--,--,--,--,--,53.2,56,86,71,8,2,20,33,1.42,.281,https://www.mlb.com/player/150438
Randy Wells,CHC,--,--,11.74,--,--,--,--,--,--,53.2,50,75,70,5,2,14,36,1.19,.253,https://www.mlb.com/player/448694
Colby Lewis,TEX,--,--,10.06,--,--,--,--,--,--,53.2,35,67,60,3,3,24,46,1.10,.187,https://www.mlb.com/player/407890
Francisco Liriano,MIN,--,--,10.36,--,--,--,--,--,--,53.0,44,61,61,2,4,15,55,1.11,.237,https://www.mlb.com/player/434538
Felix Hernandez,SEA,--,--,7.30,--,--,--,--,--,--,53.0,39,60,43,2,1,14,42,1.00,.211,https://www.mlb.com/player/433587
Joe Saunders,ARI,--,--,12.47,--,--,--,--,--,--,52.2,52,92,73,5,2,23,31,1.42,.280,https://www.mlb.com/player/434578
Carl Pavano,MIN,--,--,10.77,--,--,--,--,--,--,52.2,50,66,63,4,2,18,30,1.29,.259,https://www.mlb.com/player/134321
Edwin Jackson,CWS,--,--,13.59,--,--,--,--,--,0,52.1,57,86,79,2,2,24,40,1.55,.289,https://www.mlb.com/player/429719
Mark Buehrle,CWS,--,--,13.41,--,--,--,--,--,--,52.1,57,82,78,5,0,15,27,1.38,.294,https://www.mlb.com/player/279824
Randy Wolf,MIL,--,--,10.66,--,--,--,--,--,0,52.1,45,69,62,4,3,30,33,1.43,.246,https://www.mlb.com/player/150116
Chris Carpenter,STL,--,--,10.73,--,--,--,--,--,--,52.0,46,77,62,5,3,20,41,1.27,.256,https://www.mlb.com/player/112020
Jon Lester,BOS,--,--,10.45,--,--,--,--,--,--,51.2,40,65,60,6,3,23,46,1.22,.225,https://www.mlb.com/player/452657
Yovani Gallardo,MIL,--,--,10.63,--,--,--,--,--,--,51.2,35,71,61,4,0,32,55,1.30,.200,https://www.mlb.com/player/451596
Tim Hudson,ATL,--,--,8.29,--,--,--,--,--,--,51.0,35,49,47,2,0,28,32,1.24,.207,https://www.mlb.com/player/218596
Ricky Romero,TOR,--,--,13.24,--,--,--,--,--,--,51.0,51,84,75,6,2,21,47,1.41,.270,https://www.mlb.com/player/460069
Derek Lowe,ATL,--,--,12.08,--,--,--,--,--,--,50.2,45,70,68,6,2,32,40,1.52,.256,https://www.mlb.com/player/117955
Josh Johnson,FLA,--,--,6.39,--,--,--,--,--,--,50.2,30,39,36,1,0,15,54,0.89,.181,https://www.mlb.com/player/435178
Adam Wainwright,STL,--,--,8.17,--,--,--,--,--,--,50.2,34,52,46,3,3,18,52,1.03,.200,https://www.mlb.com/player/425794
David Price,TB,--,--,6.75,--,--,--,--,--,--,50.2,31,44,38,3,1,17,46,0.95,.187,https://www.mlb.com/player/456034
Ubaldo Jimenez,COL,--,--,11.34,--,--,--,--,--,0,50.0,36,65,63,6,0,25,57,1.22,.212,https://www.mlb.com/player/434622
Jered Weaver,LAA,--,--,8.88,--,--,--,--,--,0,49.2,35,56,49,3,0,19,43,1.09,.205,https://www.mlb.com/player/450308
Chad Billingsley,LAD,--,--,11.96,--,--,--,--,--,--,49.2,40,72,66,1,4,24,46,1.29,.234,https://www.mlb.com/player/451532
Paul Maholm,PIT,--,--,14.32,--,--,--,--,--,--,49.2,70,92,79,2,2,19,28,1.79,.345,https://www.mlb.com/player/430904
Livan Hernandez,WSH,--,--,12.68,--,--,--,--,--,0,49.2,40,77,70,3,1,29,27,1.39,.242,https://www.mlb.com/player/115817
Cole Hamels,PHI,--,--,6.93,--,--,--,--,--,--,49.1,35,41,38,2,1,21,57,1.14,.202,https://www.mlb.com/player/430935
Jake Westbrook,STL,--,--,13.32,--,--,--,--,--,0,49.1,54,77,73,5,1,30,29,1.70,.290,https://www.mlb.com/player/150414
Justin Verlander,DET,--,--,11.39,--,--,--,--,--,0,49.0,46,66,62,2,1,28,49,1.51,.256,https://www.mlb.com/player/434378
Dave Bush,MIL,--,--,11.39,--,--,--,--,--,--,49.0,44,80,62,5,3,27,31,1.45,.243,https://www.mlb.com/player/433657
Clayton Richard,SD,--,--,11.76,--,--,--,--,--,--,49.0,50,69,64,3,1,22,35,1.47,.276,https://www.mlb.com/player/453385
Zack Greinke,KC,--,--,15.35,--,--,--,--,--,--,48.2,55,95,83,3,1,21,40,1.56,.297,https://www.mlb.com/player/425844
Jeremy Guthrie,BAL,--,--,11.44,--,--,--,--,--,0,48.0,42,64,61,5,3,16,21,1.21,.256,https://www.mlb.com/player/425386
