name,team,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,url
Roy Halladay,PHI,--,--,2.53,--,--,--,--,--,--,78.1,64,23,22,7,3,12,73,0.97,.216,https://www.mlb.com/player/136880
Felix Hernandez,SEA,--,--,2.52,--,--,--,--,--,--,75.0,59,32,21,4,1,23,89,1.09,.206,https://www.mlb.com/player/433587
Dan Haren,LAA,--,--,3.03,--,--,--,--,--,--,74.1,69,28,25,7,1,27,63,1.29,.241,https://www.mlb.com/player/429717
Jered Weaver,LAA,--,--,4.95,--,--,--,--,--,0,72.2,71,42,40,9,0,23,72,1.29,.250,https://www.mlb.com/player/450308
Brett Myers,HOU,--,--,3.75,--,--,--,--,--,--,72.0,62,32,30,4,2,28,63,1.25,.223,https://www.mlb.com/player/408206
Justin Verlander,DET,--,--,3.04,--,--,--,--,--,0,71.0,48,27,24,6,1,32,70,1.13,.187,https://www.mlb.com/player/434378
Adam Wainwright,STL,--,--,3.17,--,--,--,--,--,--,71.0,47,27,25,8,2,25,82,1.01,.181,https://www.mlb.com/player/425794
Chris Carpenter,STL,--,--,4.06,--,--,--,--,--,--,71.0,63,40,32,8,6,26,52,1.25,.230,https://www.mlb.com/player/112020
CC Sabathia,NYY,--,--,4.61,--,--,--,--,--,0,70.1,61,37,36,7,2,26,66,1.24,.229,https://www.mlb.com/player/282332
Matt Cain,SF,--,--,5.14,--,--,--,--,--,--,70.0,63,45,40,9,0,25,59,1.26,.234,https://www.mlb.com/player/430912
Tim Hudson,ATL,--,--,3.65,--,--,--,--,--,--,69.0,50,28,28,3,2,31,42,1.17,.195,https://www.mlb.com/player/218596
Ervin Santana,LAA,--,--,4.85,--,--,--,--,--,--,68.2,72,40,37,11,4,31,58,1.50,.259,https://www.mlb.com/player/429722
Carl Pavano,MIN,--,--,3.82,--,--,--,--,--,--,68.1,68,30,29,4,1,15,48,1.21,.252,https://www.mlb.com/player/134321
Bronson Arroyo,CIN,--,--,4.59,--,--,--,--,--,--,66.2,52,34,34,9,0,24,40,1.14,.207,https://www.mlb.com/player/276520
Roy Oswalt,PHI,--,--,3.11,--,--,--,--,--,--,66.2,46,24,23,8,2,22,64,1.02,.189,https://www.mlb.com/player/400061
Tim Lincecum,SF,--,--,4.73,--,--,--,--,--,--,66.2,62,36,35,4,0,22,81,1.26,.238,https://www.mlb.com/player/453311
Cliff Lee,TEX,--,--,2.84,--,--,--,--,--,--,66.2,54,24,21,5,0,6,60,0.90,.213,https://www.mlb.com/player/424324
Jeremy Guthrie,BAL,--,--,4.50,--,--,--,--,--,0,66.0,59,33,33,6,4,23,34,1.24,.228,https://www.mlb.com/player/425386
Randy Wolf,MIL,--,--,3.95,--,--,--,--,--,0,66.0,60,34,29,8,5,33,50,1.41,.234,https://www.mlb.com/player/150116
John Lackey,BOS,--,--,5.48,--,--,--,--,--,--,65.2,83,44,40,7,4,28,55,1.69,.302,https://www.mlb.com/player/407793
Ubaldo Jimenez,COL,--,--,4.39,--,--,--,--,--,0,65.2,58,33,32,4,2,31,77,1.36,.227,https://www.mlb.com/player/434622
Livan Hernandez,WSH,--,--,2.74,--,--,--,--,--,0,65.2,51,23,20,5,1,20,40,1.08,.209,https://www.mlb.com/player/115817
Ryan Dempster,CHC,--,--,6.75,--,--,--,--,--,--,65.1,71,62,49,12,6,32,65,1.58,.270,https://www.mlb.com/player/133225
Zack Greinke,KC,--,--,5.23,--,--,--,--,--,--,65.1,56,44,38,6,2,25,64,1.24,.221,https://www.mlb.com/player/425844
David Price,TB,--,--,2.63,--,--,--,--,--,--,65.0,53,23,19,2,0,23,63,1.17,.218,https://www.mlb.com/player/456034
John Danks,CWS,--,--,4.64,--,--,--,--,--,--,64.0,56,37,33,5,1,25,59,1.27,.225,https://www.mlb.com/player/433579
Cole Hamels,PHI,--,--,3.25,--,--,--,--,--,--,63.2,55,24,23,7,4,28,71,1.30,.225,https://www.mlb.com/player/430935
Tommy Hanson,ATL,--,--,4.83,--,--,--,--,--,--,63.1,60,37,34,4,2,23,55,1.31,.241,https://www.mlb.com/player/462102
Mark Buehrle,CWS,--,--,5.54,--,--,--,--,--,--,63.1,74,43,39,7,0,21,31,1.50,.284,https://www.mlb.com/player/279824
Clayton Kershaw,LAD,--,--,2.98,--,--,--,--,--,--,63.1,52,23,21,2,0,31,68,1.31,.218,https://www.mlb.com/player/477132
Edwin Jackson,CWS,--,--,6.00,--,--,--,--,--,0,63.0,62,43,42,4,3,34,70,1.52,.250,https://www.mlb.com/player/429719
Jon Lester,BOS,--,--,3.45,--,--,--,--,--,--,62.2,38,26,24,3,2,26,77,1.02,.169,https://www.mlb.com/player/452657
Colby Lewis,TEX,--,--,5.46,--,--,--,--,--,--,62.2,48,41,38,6,3,22,63,1.12,.198,https://www.mlb.com/player/407890
Hiroki Kuroda,LAD,--,--,2.74,--,--,--,--,--,--,62.1,47,28,19,3,1,18,54,1.04,.200,https://www.mlb.com/player/493133
James Shields,TB,--,--,7.36,--,--,--,--,--,0,62.1,70,57,51,13,1,20,63,1.44,.271,https://www.mlb.com/player/448306
Johan Santana,NYM,--,--,5.37,--,--,--,--,--,--,62.0,63,37,37,7,0,24,43,1.40,.253,https://www.mlb.com/player/276371
Gio Gonzalez,OAK,--,--,5.98,--,--,--,--,--,--,61.2,71,42,41,5,2,36,61,1.74,.275,https://www.mlb.com/player/461829
Matt Garza,TB,--,--,4.52,--,--,--,--,--,--,61.2,54,34,31,8,6,24,51,1.26,.229,https://www.mlb.com/player/490063
C.J. Wilson,TEX,--,--,3.50,--,--,--,--,--,--,61.2,42,27,24,3,3,37,61,1.28,.187,https://www.mlb.com/player/450351
Shaun Marcum,TOR,--,--,3.50,--,--,--,--,--,--,61.2,49,26,24,4,3,14,61,1.02,.213,https://www.mlb.com/player/451788
Rodrigo Lopez,ARI,--,--,7.48,--,--,--,--,--,--,61.1,69,59,51,16,2,26,40,1.55,.270,https://www.mlb.com/player/150438
Ricky Romero,TOR,--,--,4.84,--,--,--,--,--,--,61.1,66,40,33,4,3,27,57,1.52,.263,https://www.mlb.com/player/460069
Ted Lilly,LAD,--,--,3.54,--,--,--,--,--,0,61.0,45,25,24,8,2,19,61,1.05,.197,https://www.mlb.com/player/150404
Barry Zito,SF,--,--,6.34,--,--,--,--,--,0,61.0,51,48,43,7,2,39,57,1.48,.221,https://www.mlb.com/player/217096
Ian Kennedy,ARI,--,--,3.41,--,--,--,--,--,0,60.2,51,27,23,5,2,26,60,1.27,.220,https://www.mlb.com/player/453178
Wandy Rodriguez,HOU,--,--,3.56,--,--,--,--,--,--,60.2,48,34,24,5,3,26,60,1.22,.211,https://www.mlb.com/player/434643
Mike Pelfrey,NYM,--,--,5.04,--,--,--,--,--,--,60.2,64,38,34,5,2,27,35,1.50,.262,https://www.mlb.com/player/460059
Roberto Hernandez,CLE,--,--,5.07,--,--,--,--,--,--,60.1,60,38,34,4,2,26,38,1.43,.250,https://www.mlb.com/player/433584
Clayton Richard,SD,--,--,5.37,--,--,--,--,--,--,60.1,74,38,36,8,1,28,46,1.69,.291,https://www.mlb.com/player/453385
Jonathan Sanchez,SF,--,--,3.43,--,--,--,--,--,--,60.1,39,28,23,5,4,36,70,1.24,.179,https://www.mlb.com/player/456043
Jake Westbrook,STL,--,--,5.82,--,--,--,--,--,0,60.1,63,41,39,9,3,33,41,1.59,.260,https://www.mlb.com/player/150414
Joe Saunders,ARI,--,--,4.68,--,--,--,--,--,--,59.2,67,46,31,7,2,26,36,1.56,.275,https://www.mlb.com/player/434578
Jon Garland,SD,--,--,5.28,--,--,--,--,--,0,59.2,61,43,35,9,2,47,45,1.81,.256,https://www.mlb.com/player/279782
Anibal Sanchez,FLA,--,--,4.40,--,--,--,--,--,--,59.1,73,35,29,4,3,21,57,1.58,.291,https://www.mlb.com/player/434671
Francisco Liriano,MIN,--,--,5.01,--,--,--,--,--,--,59.1,56,33,33,4,4,20,72,1.28,.240,https://www.mlb.com/player/434538
Dallas Braden,OAK,--,--,4.70,--,--,--,--,--,--,59.1,44,35,31,3,2,9,35,0.89,.201,https://www.mlb.com/player/460284
