name,team,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,url
Roy Halladay,PHI,16,7,2.25,24,24,6,3,0,0,183.2,157,47,46,19,5,19,154,0.96,.231,https://www.mlb.com/player/136880
Dan Haren,LAA,8,9,3.84,26,26,2,0,0,0,178.1,186,83,76,23,5,39,175,1.26,.266,https://www.mlb.com/player/429717
Felix Hernandez,SEA,11,8,2.40,24,24,5,1,0,0,176.0,140,56,47,11,3,48,164,1.07,.216,https://www.mlb.com/player/433587
Cliff Lee,TEX,10,6,3.04,23,23,5,1,0,0,174.2,160,68,59,12,0,10,151,0.97,.239,https://www.mlb.com/player/424324
Joe Saunders,ARI,8,14,4.10,27,27,3,1,0,0,171.1,190,91,78,21,4,54,99,1.42,.287,https://www.mlb.com/player/434578
Brett Myers,HOU,11,7,3.21,25,25,1,0,0,0,171.0,154,71,61,17,3,53,140,1.21,.238,https://www.mlb.com/player/408206
Hiroki Kuroda,LAD,9,11,3.42,27,27,0,0,0,0,171.0,158,78,65,13,4,42,138,1.17,.245,https://www.mlb.com/player/493133
Tim Hudson,ATL,10,9,3.08,25,25,1,0,0,0,166.1,147,58,57,14,5,59,112,1.24,.241,https://www.mlb.com/player/218596
Chris Carpenter,STL,12,4,2.98,24,24,1,0,0,0,166.0,147,66,55,11,11,41,122,1.13,.241,https://www.mlb.com/player/112020
Matt Garza,TB,11,9,4.23,27,26,3,1,1,1,163.2,161,82,77,25,5,51,127,1.30,.256,https://www.mlb.com/player/490063
John Danks,CWS,11,9,4.08,24,24,0,0,0,0,159.0,148,77,72,15,3,52,127,1.26,.245,https://www.mlb.com/player/433579
John Lackey,BOS,12,6,3.89,24,24,0,0,0,0,157.1,163,75,68,13,9,47,115,1.33,.269,https://www.mlb.com/player/407793
Mark Buehrle,CWS,9,11,4.36,24,24,3,0,0,0,157.0,179,80,76,12,1,39,74,1.39,.290,https://www.mlb.com/player/279824
Edwin Jackson,CWS,8,10,4.49,24,24,1,1,0,0,156.1,154,83,78,14,5,60,143,1.37,.255,https://www.mlb.com/player/429719
Jeremy Guthrie,BAL,8,12,4.00,24,24,0,0,0,0,155.1,147,72,69,16,12,37,88,1.18,.248,https://www.mlb.com/player/425386
Chad Billingsley,LAD,10,10,4.23,25,25,1,1,0,0,153.1,150,78,72,8,7,58,127,1.36,.256,https://www.mlb.com/player/451532
Scott Baker,MIN,11,7,4.23,26,26,0,0,0,0,153.1,160,74,72,19,6,41,136,1.31,.268,https://www.mlb.com/player/435044
Barry Zito,SF,7,11,4.17,25,25,1,0,0,0,153.1,139,74,71,14,7,61,117,1.30,.247,https://www.mlb.com/player/217096
Roberto Hernandez,CLE,10,11,3.76,24,24,4,1,0,0,153.0,144,72,64,15,7,47,100,1.25,.253,https://www.mlb.com/player/433584
Jon Lester,BOS,14,6,3.48,24,24,1,0,0,0,152.2,123,64,59,12,9,59,177,1.19,.222,https://www.mlb.com/player/452657
Zack Greinke,KC,7,11,4.54,23,23,1,0,0,0,150.2,154,86,76,12,4,46,112,1.33,.266,https://www.mlb.com/player/425844
Matt Cain,SF,10,7,3.06,22,22,2,2,0,0,150.0,117,55,51,15,3,44,117,1.07,.215,https://www.mlb.com/player/430912
David Price,TB,12,4,2.46,23,22,1,0,0,0,150.0,118,46,41,10,4,58,127,1.17,.216,https://www.mlb.com/player/456034
