name,team,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,url
Andrew Bailey,OAK,--,--,0.00,--,--,--,--,--,--,6.0,2,0,0,0,0,2,8,0.67,.100,https://www.mlb.com/player/457732
Billy Wagner,ATL,--,--,0.00,--,--,--,--,--,--,5.2,2,1,0,0,1,4,10,1.06,.111,https://www.mlb.com/player/123790
Brian Fuentes,MIN,--,--,11.12,--,--,--,--,--,--,5.2,10,8,7,1,0,5,5,2.65,.370,https://www.mlb.com/player/150118
Mike Ekstrom,TB,--,--,4.76,--,--,--,--,--,--,5.2,3,3,3,0,0,6,2,1.59,.167,https://www.mlb.com/player/455091
Jose Valverde,DET,--,--,1.69,--,--,--,--,--,--,5.1,3,1,1,0,1,2,4,0.94,.176,https://www.mlb.com/player/407878
Henry Villar,HOU,--,--,5.06,--,--,--,--,--,--,5.1,4,3,3,0,1,3,2,1.31,.211,https://www.mlb.com/player/492821
Casey Daigle,HOU,--,--,20.25,--,--,--,--,--,--,5.1,19,12,12,3,0,3,4,4.13,.528,https://www.mlb.com/player/430664
LaTroy Hawkins,MIL,--,--,8.44,--,--,--,--,--,--,5.1,9,5,5,1,1,1,3,1.88,.391,https://www.mlb.com/player/115629
Jeremy Accardo,TOR,--,--,6.75,--,--,--,--,--,--,5.1,8,4,4,0,1,1,2,1.69,.348,https://www.mlb.com/player/435618
Mark Melancon,HOU,--,--,5.40,--,--,--,--,--,--,5.0,5,5,3,0,0,3,5,1.60,.238,https://www.mlb.com/player/453343
Jeremy Jeffress,MIL,--,--,5.40,--,--,--,--,--,--,5.0,5,4,3,0,0,3,3,1.60,.294,https://www.mlb.com/player/502026
Fernando Abad,HOU,--,--,6.23,--,--,--,--,--,--,4.1,5,3,3,2,0,2,3,1.62,.278,https://www.mlb.com/player/472551
Brad Lidge,PHI,--,--,2.08,--,--,--,--,--,--,4.1,5,1,1,1,0,2,5,1.62,.294,https://www.mlb.com/player/400058
Heath Bell,SD,--,--,4.15,--,--,--,--,--,--,4.1,2,2,2,0,0,2,7,0.92,.133,https://www.mlb.com/player/425514
Mark Lowe,TEX,--,--,8.31,--,--,--,--,--,--,4.1,8,5,4,1,0,4,5,2.77,.400,https://www.mlb.com/player/450275
Jim Johnson,BAL,--,--,2.25,--,--,--,--,--,--,4.0,6,2,1,0,0,2,4,2.00,.316,https://www.mlb.com/player/462382
Jonathan Papelbon,BOS,--,--,13.50,--,--,--,--,--,--,4.0,5,6,6,0,0,2,5,1.75,.294,https://www.mlb.com/player/449097
Aroldis Chapman,CIN,--,--,0.00,--,--,--,--,--,--,4.0,3,1,0,0,0,1,7,1.00,.214,https://www.mlb.com/player/547973
Luis Mendoza,KC,--,--,18.00,--,--,--,--,--,--,4.0,8,8,8,3,0,3,1,2.75,.400,https://www.mlb.com/player/434669
Waldis Joaquin,SF,--,--,11.25,--,--,--,--,--,--,4.0,5,6,5,0,0,7,1,3.00,.333,https://www.mlb.com/player/471183
Jordan Walden,LAA,--,--,2.45,--,--,--,--,--,--,3.2,3,1,1,0,0,1,6,1.09,.214,https://www.mlb.com/player/477229
Brandon Kintzler,MIL,--,--,12.27,--,--,--,--,--,--,3.2,6,5,5,2,0,2,6,2.18,.353,https://www.mlb.com/player/445213
Rafael Soriano,TB,--,--,2.70,--,--,--,--,--,--,3.1,4,1,1,0,0,1,3,1.50,.308,https://www.mlb.com/player/400089
Josh Rupe,KC,--,--,3.00,--,--,--,--,--,--,3.0,4,1,1,0,0,2,3,2.00,.333,https://www.mlb.com/player/434666
Marco Estrada,MIL,--,--,18.00,--,--,--,--,--,--,3.0,5,6,6,1,0,2,3,2.33,.357,https://www.mlb.com/player/462136
Francisco Cordero,CIN,--,--,0.00,--,--,--,--,--,--,2.2,1,0,0,0,0,0,2,0.38,.111,https://www.mlb.com/player/150188
Russ Ortiz,LAD,--,--,3.38,--,--,--,--,--,--,2.2,1,1,1,0,0,1,1,0.75,.111,https://www.mlb.com/player/133460
Mitch Stetter,MIL,--,--,20.25,--,--,--,--,--,--,2.2,7,6,6,1,1,3,3,3.75,.467,https://www.mlb.com/player/449777
Neftali Feliz,TEX,--,--,3.38,--,--,--,--,--,--,2.2,3,1,1,1,0,0,3,1.13,.300,https://www.mlb.com/player/491703
Anthony Slama,MIN,--,--,3.86,--,--,--,--,--,--,2.1,2,1,1,0,0,3,3,2.14,.222,https://www.mlb.com/player/460104
John Parrish,KC,--,--,0.00,--,--,--,--,--,--,2.0,1,0,0,0,0,1,1,1.00,.167,https://www.mlb.com/player/332292
Hunter Jones,FLA,--,--,0.00,--,--,--,--,--,--,1.2,0,0,0,0,1,0,3,0.00,.000,https://www.mlb.com/player/491220
Mariano Rivera,NYY,--,--,0.00,--,--,--,--,--,--,1.0,0,0,0,0,0,0,1,0.00,.000,https://www.mlb.com/player/121250
Joe Mather,STL,--,--,0.00,--,--,--,--,--,--,1.0,0,0,0,0,0,1,0,1.00,.000,https://www.mlb.com/player/458628
