name,team,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,url
Ubaldo Jimenez,COL,11,2,2.16,15,15,1,1,0,0,104.1,81,25,25,2,4,40,100,1.16,.218,https://www.mlb.com/player/434622
Shaun Marcum,TOR,7,4,3.56,17,17,0,0,0,0,103.2,94,44,41,10,3,25,96,1.15,.236,https://www.mlb.com/player/451788
Adam Wainwright,STL,11,3,1.89,15,15,1,0,0,0,100.0,85,24,21,5,0,20,95,1.05,.233,https://www.mlb.com/player/425794
Ryan Dempster,CHC,4,7,4.01,15,15,0,0,0,0,98.2,85,56,44,14,1,43,95,1.30,.231,https://www.mlb.com/player/133225
Justin Verlander,DET,9,1,3.34,14,14,1,0,0,0,97.0,78,36,36,4,3,31,99,1.12,.218,https://www.mlb.com/player/434378
Randy Wells,CHC,4,6,4.95,16,16,0,0,0,0,92.2,110,54,51,11,2,34,73,1.55,.293,https://www.mlb.com/player/448694
Ricky Romero,TOR,5,4,3.14,14,14,2,1,0,0,91.2,78,33,32,4,3,41,75,1.30,.235,https://www.mlb.com/player/460069
Rick Porcello,DET,7,6,4.63,15,15,0,0,0,0,91.1,96,53,47,8,5,25,46,1.32,.267,https://www.mlb.com/player/519144
CC Sabathia,NYY,8,3,2.67,13,13,1,0,0,0,91.0,61,29,27,8,3,25,61,0.95,.191,https://www.mlb.com/player/282332
Jered Weaver,LAA,4,6,2.37,13,13,0,0,0,0,87.1,68,30,23,3,0,20,109,1.01,.208,https://www.mlb.com/player/450308
Cole Hamels,PHI,5,3,3.34,14,14,0,0,0,0,86.1,81,33,32,10,4,26,83,1.24,.248,https://www.mlb.com/player/430935
Jon Garland,SD,6,5,3.19,14,14,0,0,0,0,84.2,72,35,30,9,2,38,57,1.30,.231,https://www.mlb.com/player/279782
Carl Pavano,MIN,7,5,3.54,12,12,3,1,0,0,84.0,77,34,33,6,4,10,38,1.04,.245,https://www.mlb.com/player/134321
Johan Santana,NYM,3,5,2.81,12,12,2,1,0,0,83.1,71,26,26,4,1,25,63,1.15,.237,https://www.mlb.com/player/276371
Livan Hernandez,WSH,3,4,2.73,12,12,2,1,0,0,82.1,75,25,25,7,1,16,40,1.11,.244,https://www.mlb.com/player/115817
Jason Vargas,SEA,2,4,3.33,13,13,0,0,0,0,81.0,76,34,30,8,1,20,44,1.19,.243,https://www.mlb.com/player/450306
Nick Blackburn,MIN,5,6,5.29,14,13,0,0,0,0,80.0,90,50,47,14,3,20,32,1.38,.286,https://www.mlb.com/player/448147
Derek Lowe,ATL,9,3,3.62,14,14,0,0,0,0,79.2,82,32,32,9,2,20,57,1.28,.267,https://www.mlb.com/player/117955
Bronson Arroyo,CIN,6,4,3.18,12,12,1,0,0,0,79.1,67,30,28,6,2,32,48,1.25,.229,https://www.mlb.com/player/276520
Kevin Slowey,MIN,6,4,4.48,16,14,0,0,0,0,76.1,81,41,38,14,3,22,61,1.35,.271,https://www.mlb.com/player/458713
Dallas Braden,OAK,6,5,3.43,12,12,2,1,0,0,76.0,61,29,29,8,2,21,43,1.08,.225,https://www.mlb.com/player/460284
Tim Lincecum,SF,5,3,3.21,12,12,0,0,0,0,75.2,72,29,27,4,1,30,84,1.35,.250,https://www.mlb.com/player/453311
Tom Gorzelanny,CHC,5,3,3.35,18,13,0,0,1,1,75.1,69,31,28,5,1,43,71,1.49,.245,https://www.mlb.com/player/452733
