name,team,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,url
Jered Weaver,LAA,--,--,2.40,--,--,--,--,--,--,30.0,14,8,8,0,0,34,40,1.60,.136,https://www.mlb.com/player/450308
Ubaldo Jimenez,COL,--,--,3.62,--,--,--,--,--,--,27.1,18,11,11,1,0,43,40,2.23,.194,https://www.mlb.com/player/434622
Ervin Santana,LAA,--,--,2.30,--,--,--,--,--,--,27.1,14,10,7,2,0,38,40,1.90,.146,https://www.mlb.com/player/429722
John Lackey,BOS,--,--,2.36,--,--,--,--,--,--,26.2,24,9,7,3,0,38,31,2.33,.231,https://www.mlb.com/player/407793
Zack Greinke,KC,--,--,1.38,--,--,--,--,--,--,26.0,13,4,4,1,0,28,33,1.58,.153,https://www.mlb.com/player/425844
C.J. Wilson,TEX,--,--,3.51,--,--,--,--,--,--,25.2,15,11,10,0,0,47,32,2.42,.170,https://www.mlb.com/player/450351
Ryan Dempster,CHC,--,--,3.91,--,--,--,--,--,--,25.1,19,12,11,3,1,36,46,2.17,.204,https://www.mlb.com/player/133225
Matt Garza,TB,--,--,6.39,--,--,--,--,--,--,25.1,24,18,18,7,0,29,31,2.09,.245,https://www.mlb.com/player/490063
Jake Westbrook,STL,--,--,6.12,--,--,--,--,--,--,25.0,31,17,17,6,0,33,23,2.56,.301,https://www.mlb.com/player/150414
Johnny Cueto,CIN,--,--,4.01,--,--,--,--,--,--,24.2,26,12,11,2,0,31,27,2.31,.274,https://www.mlb.com/player/456501
Trevor Cahill,OAK,--,--,4.01,--,--,--,--,--,--,24.2,12,11,11,3,2,25,25,1.50,.140,https://www.mlb.com/player/502239
Jeremy Guthrie,BAL,--,--,1.48,--,--,--,--,--,--,24.1,17,6,4,1,0,26,27,1.77,.193,https://www.mlb.com/player/425386
Livan Hernandez,WSH,--,--,1.13,--,--,--,--,--,--,24.0,17,3,3,2,1,29,28,1.92,.193,https://www.mlb.com/player/115817
Cole Hamels,PHI,--,--,2.28,--,--,--,--,--,--,23.2,10,6,6,2,0,33,38,1.82,.123,https://www.mlb.com/player/430935
Justin Verlander,DET,--,--,2.31,--,--,--,--,--,--,23.1,17,6,6,1,0,45,34,2.66,.200,https://www.mlb.com/player/434378
Ian Kennedy,ARI,--,--,3.91,--,--,--,--,--,--,23.0,13,10,10,3,1,36,33,2.13,.165,https://www.mlb.com/player/453178
Yovani Gallardo,MIL,--,--,1.57,--,--,--,--,--,--,23.0,13,4,4,0,0,32,34,1.96,.169,https://www.mlb.com/player/451596
Jon Garland,SD,--,--,3.52,--,--,--,--,--,--,23.0,15,10,9,1,0,46,32,2.65,.181,https://www.mlb.com/player/279782
Derek Lowe,ATL,--,--,3.97,--,--,--,--,--,--,22.2,19,10,10,3,1,23,24,1.85,.232,https://www.mlb.com/player/117955
Roy Halladay,PHI,--,--,1.99,--,--,--,--,--,--,22.2,17,6,5,2,0,19,32,1.59,.202,https://www.mlb.com/player/136880
CC Sabathia,NYY,--,--,4.03,--,--,--,--,--,--,22.1,12,10,10,1,0,34,30,2.06,.152,https://www.mlb.com/player/282332
Jon Lester,BOS,--,--,4.50,--,--,--,--,--,--,22.0,21,11,11,3,0,39,32,2.73,.241,https://www.mlb.com/player/452657
Clayton Kershaw,LAD,--,--,3.68,--,--,--,--,--,--,22.0,17,10,9,3,0,36,23,2.41,.207,https://www.mlb.com/player/477132
