player,position,team,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,url
Luis Campusano,C,SD,--,1,1,1,0,0,1,1,0,0,0,0,1.000,1.000,4.000,5.000,https://www.mlb.com/player/669134
Rafael Marchan,C,PHI,--,4,2,3,0,0,1,3,0,0,0,0,.750,.750,1.500,2.250,https://www.mlb.com/player/665561
Billy McKinney,LF,MIL,--,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/641856
Eduardo Nunez,2B,NYM,--,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/456488
Wyatt Mathisen,3B,ARI,--,9,3,4,0,0,2,5,3,4,0,0,.444,.615,1.111,1.726,https://www.mlb.com/player/621500
Yordan Alvarez,OF,HOU,--,3,2,1,0,0,1,3,0,0,0,0,.333,.333,1.333,1.667,https://www.mlb.com/player/670541
Andy Young,2B,ARI,--,8,2,4,1,0,1,3,1,1,0,0,.500,.600,1.000,1.600,https://www.mlb.com/player/670370
Tyler Stephenson,C,CIN,--,6,2,3,0,0,1,3,1,2,0,0,.500,.571,1.000,1.571,https://www.mlb.com/player/663886
Bobby Dalbec,3B,BOS,--,23,5,10,1,0,4,7,3,7,0,0,.435,.536,1.000,1.536,https://www.mlb.com/player/666915
Derek Fisher,RF,TOR,--,7,1,4,2,0,0,2,3,1,0,0,.571,.636,.857,1.494,https://www.mlb.com/player/605233
Andrew Stevenson,LF,WSH,--,15,5,6,2,1,1,7,1,4,1,0,.400,.438,.867,1.304,https://www.mlb.com/player/664057
Ke'Bryan Hayes,3B,PIT,--,30,9,14,3,0,2,4,3,5,0,0,.467,.515,.767,1.282,https://www.mlb.com/player/663647
Matt Thaiss,1B,LAA,--,6,2,2,0,0,1,1,1,2,0,0,.333,.429,.833,1.262,https://www.mlb.com/player/642136
William Contreras,C,ATL,--,4,0,2,1,0,0,1,0,2,0,0,.500,.500,.750,1.250,https://www.mlb.com/player/661388
Marcell Ozuna,LF,ATL,--,69,15,25,6,0,8,23,11,18,0,0,.362,.450,.797,1.247,https://www.mlb.com/player/542303
Shin-Soo Choo,LF,TEX,--,23,6,9,2,0,2,8,7,7,3,2,.391,.500,.739,1.239,https://www.mlb.com/player/425783
Juan Soto,LF,WSH,--,58,16,20,6,0,6,20,12,10,1,0,.345,.457,.759,1.216,https://www.mlb.com/player/665742
Brandon Belt,1B,SF,--,46,9,15,4,0,5,17,12,11,0,0,.326,.466,.739,1.205,https://www.mlb.com/player/474832
Tim Locastro,LF,ARI,--,18,7,7,3,0,1,2,1,2,1,0,.389,.476,.722,1.198,https://www.mlb.com/player/641796
Darin Ruf,1B,SF,--,29,5,10,2,0,3,8,6,10,0,0,.345,.457,.724,1.181,https://www.mlb.com/player/573131
Ryan Jeffers,C,MIN,--,18,3,7,0,0,2,4,1,4,0,0,.389,.450,.722,1.172,https://www.mlb.com/player/680777
