player,position,team,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,url
Carlos Rivero,3B,BOS,--,1,1,1,0,0,1,3,0,0,0,0,1.000,1.000,4.000,5.000,https://www.mlb.com/player/491640
Brad Penny,P,MIA,--,1,0,1,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,https://www.mlb.com/player/207267
Craig Stammen,P,WSH,--,1,0,1,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,https://www.mlb.com/player/489334
Jorge Polanco,SS,MIN,--,3,0,2,1,1,0,3,2,0,0,0,.667,.800,1.667,2.467,https://www.mlb.com/player/593871
Gus Schlosser,P,ATL,--,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/534576
Bud Norris,P,BAL,--,1,0,1,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/502032
Clay Buchholz,P,BOS,--,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/453329
Buddy Carlyle,P,NYM,--,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/234194
Adam Moore,C,SD,--,2,1,1,1,0,0,1,2,0,0,0,.500,.750,1.000,1.750,https://www.mlb.com/player/446192
Dean Anna,SS,PIT,--,5,2,2,1,0,1,2,0,1,0,0,.400,.333,1.200,1.533,https://www.mlb.com/player/542883
Samuel Deduno,P,HOU,--,2,0,1,1,0,0,0,0,1,0,0,.500,.500,1.000,1.500,https://www.mlb.com/player/465679
James Shields,P,KC,--,2,1,1,1,0,0,1,0,1,0,0,.500,.500,1.000,1.500,https://www.mlb.com/player/448306
Jackson Williams,C,LAA,--,6,1,3,0,0,1,3,0,2,0,0,.500,.500,1.000,1.500,https://www.mlb.com/player/519425
Donn Roach,P,SD,--,2,0,1,1,0,0,0,0,0,0,0,.500,.500,1.000,1.500,https://www.mlb.com/player/543698
Max Stassi,C,HOU,--,5,1,3,1,0,0,2,0,0,0,0,.600,.600,.800,1.400,https://www.mlb.com/player/545358
