name,team,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,url
Tanner Anderson,OAK,--,--,2.63,--,--,--,--,--,--,13.2,10,5,4,1,0,5,14,1.10,.196,https://www.mlb.com/player/664196
Dallas Keuchel,ATL,--,--,3.76,--,--,--,--,--,--,38.1,35,17,16,5,2,10,32,1.17,.238,https://www.mlb.com/player/572971
Sean Manaea,OAK,--,--,0.00,--,--,--,--,--,--,9.0,3,0,0,0,1,7,11,1.11,.111,https://www.mlb.com/player/640455
Brad Brach,NYM,--,--,4.50,--,--,--,--,--,--,12.0,13,6,6,2,0,6,15,1.58,.265,https://www.mlb.com/player/542960
Anthony Kay,TOR,--,--,5.14,--,--,--,--,--,--,7.0,8,4,4,0,0,0,5,1.14,.296,https://www.mlb.com/player/641743
David Robertson,PHI,--,--,4.50,--,--,--,--,--,--,2.0,1,1,1,0,0,4,2,2.50,.143,https://www.mlb.com/player/502085
Richard Bleier,BAL,--,--,2.70,--,--,--,--,--,--,6.2,9,2,2,1,0,0,1,1.35,.333,https://www.mlb.com/player/542947
Luke Bard,LAA,--,--,2.08,--,--,--,--,--,--,8.2,7,3,2,1,2,2,7,1.04,.219,https://www.mlb.com/player/572703
Seunghwan Oh,COL,--,--,0.00,--,--,--,--,--,--,5.0,0,0,0,0,0,1,5,0.20,.000,https://www.mlb.com/player/493200
Brian Johnson,BOS,--,--,6.17,--,--,--,--,--,--,11.2,19,8,8,1,0,7,5,2.23,.358,https://www.mlb.com/player/598271
Chris Bassitt,OAK,--,--,3.00,--,--,--,--,--,--,42.0,37,14,14,6,4,11,42,1.14,.239,https://www.mlb.com/player/605135
Elieser Hernandez,MIA,--,--,4.55,--,--,--,--,--,--,29.2,24,15,15,7,4,12,34,1.21,.218,https://www.mlb.com/player/622694
Xavier Cedeno,CHC,--,--,-.--,--,--,--,--,--,--,0.0,0,0,0,0,0,1,0,-.--,.000,https://www.mlb.com/player/458584
Wily Peralta,KC,--,--,9.00,--,--,--,--,--,--,5.0,6,5,5,2,1,4,4,2.00,.300,https://www.mlb.com/player/503449
Garrett Richards,SD,--,--,11.57,--,--,--,--,--,--,4.2,7,6,6,2,0,1,6,1.71,.333,https://www.mlb.com/player/572070
