player,position,team,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,url
Yonder Alonso,1B,SEA,--,11,6,2,1,0,0,5,0,1,0,0,.182,.182,.273,.454,https://www.mlb.com/player/475174
Shin-Soo Choo,LF,TEX,--,9,12,2,0,0,0,8,1,2,0,0,.222,.231,.222,.453,https://www.mlb.com/player/425783
Trevor Plouffe,3B,TB,--,6,2,1,0,0,0,2,1,1,0,0,.167,.286,.167,.452,https://www.mlb.com/player/461858
Adrian Gonzalez,1B,LAD,--,4,3,1,0,0,0,2,0,1,0,0,.250,.200,.250,.450,https://www.mlb.com/player/408236
David Freese,3B,PIT,--,5,11,1,0,0,0,6,0,1,0,0,.200,.250,.200,.450,https://www.mlb.com/player/501896
Danny Espinosa,SS,TB,--,9,3,2,0,0,0,5,0,4,0,0,.222,.222,.222,.444,https://www.mlb.com/player/457787
Carlos Gonzalez,RF,COL,--,12,8,2,0,0,0,9,2,5,0,0,.167,.250,.167,.417,https://www.mlb.com/player/471865
Lorenzo Cain,CF,KC,--,12,11,1,0,0,1,4,0,4,0,0,.083,.083,.333,.417,https://www.mlb.com/player/456715
Ehire Adrianza,SS,MIN,--,4,4,1,0,0,0,4,0,1,0,0,.250,.167,.250,.417,https://www.mlb.com/player/501303
Adam Rosales,SS,ARI,--,9,5,2,0,0,0,6,0,4,0,0,.222,.182,.222,.404,https://www.mlb.com/player/489267
Jake Marisnick,CF,HOU,--,5,7,1,0,0,0,2,0,3,0,0,.200,.200,.200,.400,https://www.mlb.com/player/545350
Zack Granite,CF,MIN,--,5,3,1,0,0,0,3,0,0,0,0,.200,.200,.200,.400,https://www.mlb.com/player/643335
Dustin Garneau,C,OAK,--,5,0,1,0,0,0,2,0,2,0,0,.200,.200,.200,.400,https://www.mlb.com/player/572863
Daniel Robertson,3B,TB,--,2,2,0,0,0,0,4,2,0,0,0,.000,.400,.000,.400,https://www.mlb.com/player/621002
Kevin Kiermaier,CF,TB,--,5,8,1,0,0,0,2,0,1,0,0,.200,.200,.200,.400,https://www.mlb.com/player/595281
Evan Longoria,3B,TB,--,12,11,2,0,0,0,5,1,3,0,0,.167,.231,.167,.397,https://www.mlb.com/player/446334
Justin Turner,3B,LAD,--,7,11,1,0,0,0,2,0,2,0,0,.143,.250,.143,.393,https://www.mlb.com/player/457759
Zack Cozart,SS,CIN,--,6,16,1,0,0,0,4,1,1,0,0,.167,.222,.167,.389,https://www.mlb.com/player/446359
DJ LeMahieu,2B,COL,--,9,15,1,0,0,0,4,2,2,0,0,.111,.273,.111,.384,https://www.mlb.com/player/518934
Jose Bautista,RF,TOR,--,12,15,2,0,0,0,6,1,4,0,0,.167,.214,.167,.381,https://www.mlb.com/player/430832
Adam Duvall,LF,CIN,--,25,15,3,0,0,1,15,1,7,0,0,.120,.129,.240,.369,https://www.mlb.com/player/594807
Jorge Bonifacio,RF,KC,--,5,9,1,0,0,0,3,0,4,0,0,.200,.167,.200,.367,https://www.mlb.com/player/593528
Martin Maldonado,C,LAA,--,11,8,2,0,0,0,4,0,2,0,0,.182,.182,.182,.364,https://www.mlb.com/player/455117
Juan Lagares,CF,NYM,--,8,3,1,1,0,0,3,0,2,0,0,.125,.111,.250,.361,https://www.mlb.com/player/501571
Jean Segura,SS,SEA,--,9,9,1,0,0,0,5,2,2,0,0,.111,.250,.111,.361,https://www.mlb.com/player/516416
Lucas Duda,1B,TB,--,8,2,1,1,0,0,5,0,1,0,0,.125,.111,.250,.361,https://www.mlb.com/player/446263
Justin Smoak,1B,TOR,--,9,13,1,0,0,0,6,2,4,0,0,.111,.250,.111,.361,https://www.mlb.com/player/475253
Brandon Crawford,SS,SF,--,12,6,2,0,0,0,9,1,3,0,0,.167,.188,.167,.354,https://www.mlb.com/player/543063
Billy Hamilton,CF,CIN,--,11,19,2,0,0,0,4,0,4,0,0,.182,.167,.182,.348,https://www.mlb.com/player/571740
Adam Frazier,2B,PIT,--,7,9,1,0,0,0,4,0,0,0,0,.143,.200,.143,.343,https://www.mlb.com/player/624428
J.J. Hardy,SS,BAL,--,6,2,1,0,0,0,2,0,1,0,0,.167,.167,.167,.333,https://www.mlb.com/player/429666
Gio Urshela,3B,CLE,--,2,2,0,0,0,0,2,1,0,0,0,.000,.333,.000,.333,https://www.mlb.com/player/570482
Clayton Kershaw,P,LAD,--,2,0,0,0,0,0,1,1,0,0,0,.000,.333,.000,.333,https://www.mlb.com/player/477132
Norichika Aoki,OF,NYM,--,2,5,0,0,0,0,3,1,0,0,0,.000,.333,.000,.333,https://www.mlb.com/player/493114
Robert Gsellman,P,NYM,--,2,0,0,0,0,0,1,1,1,0,0,.000,.333,.000,.333,https://www.mlb.com/player/607229
Todd Frazier,3B,NYY,--,15,10,1,1,0,0,8,2,5,0,0,.067,.200,.133,.333,https://www.mlb.com/player/453943
Brett Nicholas,C,TEX,--,2,1,0,0,0,0,1,1,1,0,0,.000,.333,.000,.333,https://www.mlb.com/player/592592
Drew Robinson,CF,TEX,--,2,0,0,0,0,0,1,1,1,0,0,.000,.333,.000,.333,https://www.mlb.com/player/592685
Darwin Barney,2B,TOR,--,9,6,1,1,0,0,3,0,1,0,0,.111,.111,.222,.333,https://www.mlb.com/player/446381
Ben Zobrist,2B,CHC,--,9,15,1,1,0,0,5,0,2,0,0,.111,.100,.222,.322,https://www.mlb.com/player/450314
Jose Iglesias,SS,DET,--,9,9,1,1,0,0,4,0,2,0,0,.111,.100,.222,.322,https://www.mlb.com/player/578428
Kris Bryant,3B,CHC,--,12,22,2,0,0,0,5,0,3,0,0,.167,.143,.167,.310,https://www.mlb.com/player/592178
