player,position,team,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,url
Cam Gallagher,C,KC,--,1,1,1,0,0,1,4,2,0,0,0,1.000,1.000,4.000,5.000,https://www.mlb.com/player/595956
Rocky Gale,C,SD,--,1,1,1,0,0,1,2,0,0,0,0,1.000,1.000,4.000,5.000,https://www.mlb.com/player/502570
Tim Federowicz,C,SF,--,1,1,1,0,0,1,2,0,0,0,0,1.000,1.000,4.000,5.000,https://www.mlb.com/player/543148
Ji-Man Choi,1B,NYY,--,2,1,2,1,0,1,2,2,0,0,0,1.000,1.000,3.000,4.000,https://www.mlb.com/player/596847
Kirk Nieuwenhuis,CF,MIL,--,3,1,2,0,0,1,1,1,1,0,0,.667,.750,1.667,2.417,https://www.mlb.com/player/543590
Max Stassi,C,HOU,--,3,1,1,0,0,1,1,6,1,0,0,.333,.778,1.333,2.111,https://www.mlb.com/player/545358
Carlos Rodon,P,CWS,--,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/607074
Asher Wojciechowski,P,CIN,--,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/592879
Jeff Hoffman,P,COL,--,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/656546
Antonio Senzatela,P,COL,--,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/622608
Ramon Flores,LF,LAA,--,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/570717
Steven Matz,P,NYM,--,2,0,2,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/571927
Adam Morgan,P,PHI,--,1,0,1,0,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/605388
Jameson Taillon,P,PIT,--,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/592791
Christian Villanueva,3B,SD,--,5,2,3,1,0,1,2,0,1,0,0,.600,.600,1.400,2.000,https://www.mlb.com/player/570799
Madison Bumgarner,P,SF,--,2,0,2,0,0,0,1,1,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/518516
Austin Slater,LF,SF,--,6,2,3,0,0,1,1,4,2,0,0,.500,.700,1.000,1.700,https://www.mlb.com/player/596103
Franklin Barreto,SS,OAK,--,5,1,2,0,0,1,1,3,2,0,0,.400,.625,1.000,1.625,https://www.mlb.com/player/620439
Robinson Chirinos,C,TEX,--,30,7,10,1,0,6,11,20,8,0,0,.333,.615,.967,1.582,https://www.mlb.com/player/455139
Chance Sisco,C,BAL,--,4,1,1,0,0,1,1,2,3,0,0,.250,.500,1.000,1.500,https://www.mlb.com/player/642082
Trevor Cahill,P,KC,--,2,0,1,1,0,0,2,0,0,0,0,.500,.500,1.000,1.500,https://www.mlb.com/player/502239
Danny Santana,LF,ATL,--,12,3,4,1,0,2,7,5,4,0,0,.333,.529,.917,1.446,https://www.mlb.com/player/542454
Aaron Hill,LF,SF,--,5,1,1,0,0,1,2,6,2,0,0,.200,.636,.800,1.436,https://www.mlb.com/player/431094
Yasiel Puig,RF,LAD,--,44,8,17,6,0,4,13,29,9,0,0,.386,.622,.795,1.417,https://www.mlb.com/player/624577
Tony Kemp,2B,HOU,--,3,0,2,0,0,0,1,1,0,0,0,.667,.750,.667,1.417,https://www.mlb.com/player/643393
Garrett Cooper,1B,NYY,--,3,0,1,0,1,0,2,1,0,0,0,.333,.400,1.000,1.400,https://www.mlb.com/player/643265
Jeremy Hazelbaker,CF,ARI,--,6,2,2,0,0,1,1,3,2,0,0,.333,.556,.833,1.389,https://www.mlb.com/player/571757
Trey Mancini,LF,BAL,--,64,8,27,5,1,6,14,19,17,0,0,.422,.560,.813,1.372,https://www.mlb.com/player/641820
Willy Garcia,RF,CWS,--,13,2,3,0,1,2,2,8,5,0,0,.231,.524,.846,1.370,https://www.mlb.com/player/591994
Robert Gsellman,P,NYM,--,2,2,1,0,0,0,1,5,1,0,0,.500,.857,.500,1.357,https://www.mlb.com/player/607229
Austin Jackson,CF,CLE,--,41,8,18,5,1,2,8,18,5,1,0,.439,.600,.756,1.356,https://www.mlb.com/player/457706
Tyler White,3B,HOU,--,6,1,2,0,0,1,2,2,2,0,1,.333,.500,.833,1.333,https://www.mlb.com/player/643603
Carlos Moncrief,RF,SF,--,4,0,2,1,0,0,2,2,2,0,0,.500,.571,.750,1.321,https://www.mlb.com/player/519037
Andres Blanco,3B,PHI,--,14,2,4,1,0,2,5,5,2,0,0,.286,.474,.786,1.259,https://www.mlb.com/player/433217
Derek Norris,C,TB,--,15,3,5,0,0,2,2,6,5,0,0,.333,.524,.733,1.257,https://www.mlb.com/player/519083
Kyle Farmer,C,LAD,--,4,0,2,1,0,0,2,0,2,0,0,.500,.500,.750,1.250,https://www.mlb.com/player/571657
George Springer,CF,HOU,--,71,14,24,5,0,7,15,29,24,0,2,.338,.535,.704,1.239,https://www.mlb.com/player/543807
Adrian Beltre,3B,TEX,--,35,3,13,2,1,2,9,16,7,0,0,.371,.569,.657,1.226,https://www.mlb.com/player/134181
Zack Cozart,SS,CIN,--,51,11,18,0,1,4,10,29,18,0,0,.353,.588,.627,1.215,https://www.mlb.com/player/446359
Eduardo Escobar,SS,MIN,--,47,9,16,4,0,4,10,19,9,0,0,.340,.530,.681,1.211,https://www.mlb.com/player/500871
